61
dghexu cnfxhe exbqos lamlar zydpmk ifkhss ascjbr pqyarz fducza dsgsoe kngjhj afjxgy
12 1 2 8 11 9 7 5 4 3 10 6
3 13 1 -1 -1 {1}
1 13 -1 -1 -1 {-1}
10 10 X 1 3 {1, -1}
20 8 X 3 10 {1, -1}
42 5 X 3 20 {1, -1}
32 7 X 20 1 {1, -1}
41 6 X 32 1 {1, -1}
43 5 X 3 41 {1, -1}
52 4 X 42 43 {1, -1}
51 4 X 20 41 {1, -1}
57 3 X 52 51 {1, -1}
59 2 X 3 57 {1, -1}
2 13 0 -1 -1 {0}
4 12 X 2 3 {0, 1}
8 11 X 4 3 {0, 1}
15 10 X 8 3 {0, 1}
19 9 X 15 3 {0, 1}
31 7 X 19 3 {0, 1}
5 12 X 3 2 {0, 1}
7 11 X 3 5 {0, 1}
12 10 X 3 7 {0, 1}
16 9 X 3 12 {0, 1}
22 8 X 3 16 {0, 1}
40 6 X 31 22 {0, 1}
50 5 X 40 3 {0, 1}
35 6 X 3 22 {0, 1}
47 5 X 35 3 {0, 1}
55 4 X 50 47 {0, 1}
6 11 X 2 3 {0, 1}
9 11 X 5 3 {0, 1}
14 10 X 6 9 {0, 1}
13 10 X 3 9 {0, 1}
18 9 X 13 3 {0, 1}
24 8 X 3 18 {0, 1}
30 7 X 14 24 {0, 1}
11 10 X 3 5 {0, 1}
26 8 X 13 11 {0, 1}
17 9 X 11 12 {0, 1}
23 8 X 3 17 {0, 1}
34 7 X 26 23 {0, 1}
39 6 X 30 34 {0, 1}
21 8 X 3 12 {0, 1}
27 7 X 3 21 {0, 1}
36 6 X 3 27 {0, 1}
49 5 X 39 36 {0, 1}
28 7 X 3 23 {0, 1}
37 6 X 27 28 {0, 1}
46 5 X 34 37 {0, 1}
54 4 X 49 46 {0, 1}
58 3 X 55 54 {0, 1}
44 5 X 12 3 {0, 1}
29 7 X 12 21 {0, 1}
45 5 X 29 27 {0, 1}
25 8 X 12 11 {0, 1}
33 7 X 25 23 {0, 1}
38 6 X 29 33 {0, 1}
48 5 X 38 37 {0, 1}
53 4 X 45 48 {0, 1}
56 3 X 44 53 {0, 1}
60 2 X 58 56 {0, 1}
61 1 X 59 60 {0, 1, -1}
