115
jqocqs tosraz ehuaoi mzgiay tiamck emmefe bczrjm jdjhxe xwgrfp dyeaoq benuzn ebvkzk ihibvj mwnyse
9 8 2 3 4 13 6 1 7 10 11 12 14 5
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
4 14 X 2 1 {0, -1}
7 13 X 1 4 {0, -1}
53 9 X 7 1 {0, -1}
3 14 X 1 2 {0, -1}
6 13 X 1 3 {0, -1}
14 12 X 1 6 {0, -1}
5 13 X 1 2 {0, -1}
13 12 X 1 5 {0, -1}
18 12 X 7 5 {0, -1}
32 11 X 13 18 {0, -1}
43 10 X 14 32 {0, -1}
59 9 X 43 1 {0, -1}
73 8 X 53 59 {0, -1}
80 7 X 1 73 {0, -1}
91 6 X 1 80 {0, -1}
10 13 X 4 1 {0, -1}
16 12 X 1 10 {0, -1}
24 11 X 1 16 {0, -1}
22 11 X 1 10 {0, -1}
46 10 X 24 22 {0, -1}
20 12 X 10 1 {0, -1}
26 11 X 1 20 {0, -1}
37 10 X 1 26 {0, -1}
60 9 X 46 37 {0, -1}
8 13 X 2 1 {0, -1}
21 12 X 10 8 {0, -1}
27 11 X 1 21 {0, -1}
38 10 X 1 27 {0, -1}
57 9 X 38 37 {0, -1}
75 8 X 60 57 {0, -1}
52 9 X 4 20 {0, -1}
11 12 X 1 2 {0, -1}
17 12 X 4 2 {0, -1}
30 11 X 11 17 {0, -1}
39 10 X 1 30 {0, -1}
58 9 X 39 37 {0, -1}
72 8 X 52 58 {0, -1}
87 7 X 75 72 {0, -1}
94 6 X 1 87 {0, -1}
51 9 X 1 46 {0, -1}
34 10 X 1 22 {0, -1}
49 9 X 1 34 {0, -1}
71 8 X 51 49 {0, -1}
12 12 X 1 4 {0, -1}
31 11 X 12 4 {0, -1}
40 10 X 1 31 {0, -1}
65 8 X 4 40 {0, -1}
85 7 X 71 65 {0, -1}
47 10 X 24 26 {0, -1}
62 9 X 47 37 {0, -1}
77 8 X 62 37 {0, -1}
89 7 X 77 72 {0, -1}
98 6 X 85 89 {0, -1}
102 5 X 94 98 {0, -1}
109 4 X 91 102 {0, -1}
66 8 X 7 43 {0, -1}
79 7 X 1 66 {0, -1}
90 6 X 1 79 {0, -1}
61 9 X 46 47 {0, -1}
76 8 X 61 57 {0, -1}
64 8 X 4 39 {0, -1}
88 7 X 76 64 {0, -1}
95 6 X 1 88 {0, -1}
70 8 X 47 37 {0, -1}
84 7 X 70 64 {0, -1}
97 6 X 85 84 {0, -1}
103 5 X 95 97 {0, -1}
108 4 X 90 103 {0, -1}
112 3 X 109 108 {0, -1}
45 10 X 24 1 {0, -1}
54 9 X 24 45 {0, -1}
35 10 X 1 24 {0, -1}
55 9 X 35 1 {0, -1}
74 8 X 54 55 {0, -1}
86 7 X 74 65 {0, -1}
99 6 X 86 87 {0, -1}
69 8 X 45 1 {0, -1}
83 7 X 69 65 {0, -1}
96 6 X 83 89 {0, -1}
104 5 X 99 96 {0, -1}
107 4 X 1 104 {0, -1}
111 3 X 107 1 {0, -1}
114 2 X 112 111 {0, -1}
9 13 X 3 1 {0, -1}
15 12 X 1 9 {0, -1}
23 11 X 1 15 {0, -1}
19 12 X 9 1 {0, -1}
25 11 X 1 19 {0, -1}
44 10 X 23 25 {0, -1}
36 10 X 1 25 {0, -1}
56 9 X 36 1 {0, -1}
68 8 X 44 56 {0, -1}
28 11 X 3 1 {0, -1}
29 11 X 9 1 {0, -1}
48 10 X 28 29 {0, -1}
42 10 X 3 9 {0, -1}
63 9 X 48 42 {0, -1}
33 11 X 15 9 {0, -1}
41 10 X 1 33 {0, -1}
50 9 X 1 41 {0, -1}
78 8 X 63 50 {0, -1}
82 7 X 68 78 {0, -1}
93 6 X 1 82 {0, -1}
101 5 X 1 93 {0, -1}
106 4 X 1 101 {0, -1}
67 8 X 44 36 {0, -1}
81 7 X 67 78 {0, -1}
92 6 X 1 81 {0, -1}
100 5 X 1 92 {0, -1}
105 4 X 1 100 {0, -1}
110 3 X 106 105 {0, -1}
113 2 X 106 110 {0, -1}
115 1 X 114 113 {0, -1}
