756
cdpdxt bipibo urycye ehsgtk olfhlw wcwuuy fbfkcc zgcarr bkvrik lboprq vlrjyv umfzrr dagdix rdondv plqdha wwjqlz mogknh qtrxrl
5 12 10 8 9 14 15 16 2 3 4 13 17 18 1 6 7 11
1 19 -1 -1 -1 {-1}
2 19 0 -1 -1 {0}
5 17 X 1 2 {0, -1}
29 15 X 5 1 {0, -1}
77 14 X 29 1 {0, -1}
4 18 X 2 1 {0, -1}
7 17 X 1 4 {0, -1}
32 15 X 7 1 {0, -1}
12 16 X 1 7 {0, -1}
45 15 X 12 7 {0, -1}
89 14 X 32 45 {0, -1}
164 13 X 77 89 {0, -1}
258 12 X 1 164 {0, -1}
10 16 X 1 5 {0, -1}
39 15 X 10 5 {0, -1}
73 14 X 5 39 {0, -1}
76 14 X 7 45 {0, -1}
158 13 X 73 76 {0, -1}
252 12 X 1 158 {0, -1}
387 11 X 258 252 {0, -1}
43 15 X 12 1 {0, -1}
88 14 X 32 43 {0, -1}
163 13 X 77 88 {0, -1}
257 12 X 1 163 {0, -1}
3 18 X 1 2 {0, -1}
6 17 X 1 3 {0, -1}
30 15 X 5 6 {0, -1}
40 15 X 10 6 {0, -1}
81 14 X 30 40 {0, -1}
168 13 X 81 88 {0, -1}
262 12 X 1 168 {0, -1}
386 11 X 257 262 {0, -1}
485 10 X 387 386 {0, -1}
570 9 X 485 1 {0, -1}
18 16 X 7 1 {0, -1}
28 15 X 1 18 {0, -1}
86 14 X 32 28 {0, -1}
161 13 X 77 86 {0, -1}
255 12 X 1 161 {0, -1}
384 11 X 255 252 {0, -1}
16 16 X 5 2 {0, -1}
46 15 X 16 1 {0, -1}
104 14 X 46 1 {0, -1}
19 16 X 7 4 {0, -1}
49 15 X 19 1 {0, -1}
108 14 X 49 1 {0, -1}
183 13 X 104 108 {0, -1}
277 12 X 1 183 {0, -1}
48 15 X 16 6 {0, -1}
8 16 X 1 2 {0, -1}
34 15 X 8 6 {0, -1}
107 14 X 48 34 {0, -1}
9 16 X 1 4 {0, -1}
35 15 X 9 1 {0, -1}
111 14 X 49 35 {0, -1}
187 13 X 107 111 {0, -1}
