518
ubnlqk ycstmk dfbxba oeepyx nxrzmu upvonc qzwmhe hfpcii cxdjmt biumbk qrdwwg radquv ipabsr tbycgf xsfngf hwjhbg eujvza wmvoco
2 5 1 11 18 3 4 9 13 16 6 7 12 14 8 10 15 17
1 19 -1 -1 -1 {-1}
2 19 0 -1 -1 {0}
4 18 X 2 1 {0, -1}
24 15 X 4 1 {0, -1}
130 12 X 1 24 {0, -1}
201 11 X 1 130 {0, -1}
314 10 X 201 1 {0, -1}
372 9 X 314 1 {0, -1}
395 8 X 1 372 {0, -1}
443 7 X 1 395 {0, -1}
10 16 X 1 4 {0, -1}
51 14 X 10 4 {0, -1}
32 15 X 10 1 {0, -1}
72 14 X 32 24 {0, -1}
106 13 X 51 72 {0, -1}
7 17 X 2 4 {0, -1}
13 16 X 1 7 {0, -1}
56 14 X 13 4 {0, -1}
3 18 X 1 2 {0, -1}
8 17 X 3 1 {0, -1}
14 16 X 1 8 {0, -1}
37 15 X 13 14 {0, -1}
84 14 X 37 24 {0, -1}
114 13 X 56 84 {0, -1}
187 12 X 106 114 {0, -1}
29 15 X 7 8 {0, -1}
69 14 X 29 24 {0, -1}
156 12 X 24 69 {0, -1}
256 11 X 187 156 {0, -1}
327 10 X 256 1 {0, -1}
384 9 X 327 1 {0, -1}
407 8 X 1 384 {0, -1}
213 11 X 106 24 {0, -1}
320 10 X 213 1 {0, -1}
378 9 X 320 1 {0, -1}
401 8 X 1 378 {0, -1}
451 7 X 407 401 {0, -1}
479 6 X 443 451 {0, -1}
331 9 X 201 1 {0, -1}
388 8 X 1 331 {0, -1}
440 7 X 1 388 {0, -1}
340 9 X 256 1 {0, -1}
393 8 X 1 340 {0, -1}
476 6 X 440 393 {0, -1}
499 5 X 479 476 {0, -1}
334 9 X 213 1 {0, -1}
391 8 X 1 334 {0, -1}
450 7 X 407 391 {0, -1}
475 6 X 1 450 {0, -1}
469 6 X 1 393 {0, -1}
498 5 X 475 469 {0, -1}
508 4 X 499 498 {0, -1}
88 13 X 1 32 {0, -1}
138 12 X 1 88 {0, -1}
204 11 X 1 138 {0, -1}
316 10 X 204 1 {0, -1}
374 9 X 316 1 {0, -1}
397 8 X 1 374 {0, -1}
445 7 X 1 397 {0, -1}
28 15 X 7 1 {0, -1}
68 14 X 28 24 {0, -1}
155 12 X 24 68 {0, -1}
255 11 X 187 155 {0, -1}
325 10 X 255 1 {0, -1}
382 9 X 325 1 {0, -1}
405 8 X 1 382 {0, -1}
185 12 X 106 88 {0, -1}
157 12 X 24 88 {0, -1}
253 11 X 185 157 {0, -1}
323 10 X 253 1 {0, -1}
380 9 X 323 1 {0, -1}
403 8 X 1 380 {0, -1}
448 7 X 405 403 {0, -1}
482 6 X 445 448 {0, -1}
332 9 X 204 1 {0, -1}
389 8 X 1 332 {0, -1}
441 7 X 1 389 {0, -1}
339 9 X 255 1 {0, -1}
392 8 X 1 339 {0, -1}
477 6 X 441 392 {0, -1}
500 5 X 482 477 {0, -1}
474 6 X 1 448 {0, -1}
471 6 X 1 405 {0, -1}
497 5 X 474 471 {0, -1}
509 4 X 500 497 {0, -1}
514 3 X 508 509 {0, -1}
9 17 X 4 1 {0, -1}
31 15 X 9 1 {0, -1}
131 12 X 1 31 {0, -1}
202 11 X 1 131 {0, -1}
48 14 X 1 31 {0, -1}
132 12 X 1 48 {0, -1}
203 11 X 1 132 {0, -1}
315 10 X 202 203 {0, -1}
373 9 X 315 1 {0, -1}
396 8 X 1 373 {0, -1}
444 7 X 1 396 {0, -1}
20 15 X 1 10 {0, -1}
18 15 X 1 4 {0, -1}
60 14 X 20 18 {0, -1}
120 13 X 60 1 {0, -1}
22 15 X 1 13 {0, -1}
62 14 X 22 18 {0, -1}
23 15 X 1 14 {0, -1}
63 14 X 23 1 {0, -1}
122 13 X 62 63 {0, -1}
195 12 X 120 122 {0, -1}
264 11 X 195 156 {0, -1}
44 14 X 1 18 {0, -1}
103 13 X 44 1 {0, -1}
47 14 X 1 24 {0, -1}
212 11 X 103 47 {0, -1}
330 10 X 264 212 {0, -1}
387 9 X 330 1 {0, -1}
410 8 X 1 387 {0, -1}
6 17 X 2 1 {0, -1}
12 16 X 1 6 {0, -1}
21 15 X 1 12 {0, -1}
19 15 X 1 9 {0, -1}
61 14 X 21 19 {0, -1}
121 13 X 61 63 {0, -1}
194 12 X 120 121 {0, -1}
27 15 X 6 8 {0, -1}
67 14 X 27 31 {0, -1}
154 12 X 24 67 {0, -1}
263 11 X 194 154 {0, -1}
45 14 X 1 19 {0, -1}
104 13 X 45 1 {0, -1}
181 12 X 103 104 {0, -1}
159 12 X 47 48 {0, -1}
249 11 X 181 159 {0, -1}
329 10 X 263 249 {0, -1}
386 9 X 329 1 {0, -1}
409 8 X 1 386 {0, -1}
452 7 X 410 409 {0, -1}
481 6 X 444 452 {0, -1}
496 5 X 1 481 {0, -1}
193 12 X 120 1 {0, -1}
152 12 X 24 1 {0, -1}
262 11 X 193 152 {0, -1}
179 12 X 103 1 {0, -1}
158 12 X 47 1 {0, -1}
247 11 X 179 158 {0, -1}
328 10 X 262 247 {0, -1}
385 9 X 328 1 {0, -1}
408 8 X 1 385 {0, -1}
472 6 X 1 408 {0, -1}
492 5 X 1 472 {0, -1}
507 4 X 496 492 {0, -1}
42 14 X 1 4 {0, -1}
101 13 X 42 47 {0, -1}
211 11 X 101 47 {0, -1}
326 10 X 255 211 {0, -1}
383 9 X 326 1 {0, -1}
406 8 X 1 383 {0, -1}
54 14 X 12 9 {0, -1}
35 15 X 12 14 {0, -1}
78 14 X 35 31 {0, -1}
111 13 X 54 78 {0, -1}
186 12 X 106 111 {0, -1}
26 15 X 6 1 {0, -1}
66 14 X 26 31 {0, -1}
153 12 X 24 66 {0, -1}
254 11 X 186 153 {0, -1}
43 14 X 1 9 {0, -1}
102 13 X 43 48 {0, -1}
178 12 X 101 102 {0, -1}
246 11 X 178 159 {0, -1}
324 10 X 254 246 {0, -1}
381 9 X 324 1 {0, -1}
404 8 X 1 381 {0, -1}
449 7 X 406 404 {0, -1}
480 6 X 444 449 {0, -1}
495 5 X 1 480 {0, -1}
184 12 X 106 1 {0, -1}
252 11 X 184 152 {0, -1}
322 10 X 252 1 {0, -1}
379 9 X 322 1 {0, -1}
402 8 X 1 379 {0, -1}
470 6 X 1 402 {0, -1}
491 5 X 1 470 {0, -1}
506 4 X 495 491 {0, -1}
513 3 X 507 506 {0, -1}
516 2 X 514 513 {0, -1}
52 14 X 10 18 {0, -1}
71 14 X 32 1 {0, -1}
108 13 X 52 71 {0, -1}
57 14 X 13 18 {0, -1}
83 14 X 37 1 {0, -1}
116 13 X 57 83 {0, -1}
190 12 X 108 116 {0, -1}
5 17 X 1 4 {0, -1}
25 15 X 5 1 {0, -1}
64 14 X 25 1 {0, -1}
134 12 X 1 64 {0, -1}
259 11 X 190 134 {0, -1}
306 10 X 1 259 {0, -1}
115 13 X 57 47 {0, -1}
143 12 X 1 115 {0, -1}
16 16 X 5 1 {0, -1}
40 15 X 16 1 {0, -1}
87 14 X 40 25 {0, -1}
125 13 X 64 87 {0, -1}
149 12 X 1 125 {0, -1}
221 11 X 143 149 {0, -1}
281 10 X 1 221 {0, -1}
365 9 X 306 281 {0, -1}
434 8 X 365 1 {0, -1}
107 13 X 52 47 {0, -1}
188 12 X 107 115 {0, -1}
257 11 X 188 149 {0, -1}
304 10 X 1 257 {0, -1}
369 9 X 306 304 {0, -1}
438 8 X 369 1 {0, -1}
464 7 X 434 438 {0, -1}
36 15 X 13 1 {0, -1}
80 14 X 36 1 {0, -1}
136 12 X 1 80 {0, -1}
215 11 X 136 134 {0, -1}
275 10 X 1 215 {0, -1}
81 14 X 36 24 {0, -1}
128 13 X 80 81 {0, -1}
150 12 X 1 128 {0, -1}
123 13 X 64 25 {0, -1}
147 12 X 1 123 {0, -1}
226 11 X 150 147 {0, -1}
286 10 X 1 226 {0, -1}
345 9 X 275 286 {0, -1}
415 8 X 345 1 {0, -1}
163 12 X 71 80 {0, -1}
232 11 X 163 134 {0, -1}
291 10 X 1 232 {0, -1}
126 13 X 71 32 {0, -1}
198 12 X 126 128 {0, -1}
268 11 X 198 147 {0, -1}
311 10 X 1 268 {0, -1}
356 9 X 291 311 {0, -1}
425 8 X 356 1 {0, -1}
456 7 X 415 425 {0, -1}
486 6 X 464 456 {0, -1}
117 13 X 57 84 {0, -1}
144 12 X 1 117 {0, -1}
222 11 X 144 147 {0, -1}
282 10 X 1 222 {0, -1}
366 9 X 306 282 {0, -1}
435 8 X 366 1 {0, -1}
55 14 X 12 19 {0, -1}
77 14 X 35 1 {0, -1}
112 13 X 55 77 {0, -1}
189 12 X 108 112 {0, -1}
258 11 X 189 1 {0, -1}
305 10 X 1 258 {0, -1}
109 13 X 52 72 {0, -1}
113 13 X 55 78 {0, -1}
191 12 X 109 113 {0, -1}
260 11 X 191 1 {0, -1}
307 10 X 1 260 {0, -1}
364 9 X 305 307 {0, -1}
271 10 X 1 202 {0, -1}
342 9 X 271 1 {0, -1}
433 8 X 364 342 {0, -1}
465 7 X 435 433 {0, -1}
335 9 X 215 226 {0, -1}
166 12 X 72 81 {0, -1}
235 11 X 166 155 {0, -1}
338 9 X 235 1 {0, -1}
413 8 X 335 338 {0, -1}
34 15 X 12 1 {0, -1}
75 14 X 34 1 {0, -1}
162 12 X 71 75 {0, -1}
231 11 X 162 1 {0, -1}
76 14 X 34 31 {0, -1}
127 13 X 75 76 {0, -1}
197 12 X 126 127 {0, -1}
266 11 X 197 1 {0, -1}
336 9 X 231 266 {0, -1}
165 12 X 72 76 {0, -1}
234 11 X 165 153 {0, -1}
337 9 X 234 1 {0, -1}
414 8 X 336 337 {0, -1}
455 7 X 413 414 {0, -1}
487 6 X 465 455 {0, -1}
502 5 X 486 487 {0, -1}
58 14 X 13 20 {0, -1}
49 14 X 1 32 {0, -1}
118 13 X 58 49 {0, -1}
145 12 X 1 118 {0, -1}
224 11 X 145 149 {0, -1}
284 10 X 1 224 {0, -1}
368 9 X 306 284 {0, -1}
437 8 X 368 1 {0, -1}
53 14 X 10 20 {0, -1}
110 13 X 53 49 {0, -1}
192 12 X 110 118 {0, -1}
261 11 X 192 149 {0, -1}
308 10 X 1 261 {0, -1}
370 9 X 306 308 {0, -1}
270 10 X 1 201 {0, -1}
341 9 X 270 1 {0, -1}
439 8 X 370 341 {0, -1}
468 7 X 437 439 {0, -1}
82 14 X 36 32 {0, -1}
129 13 X 80 82 {0, -1}
151 12 X 1 129 {0, -1}
228 11 X 151 147 {0, -1}
288 10 X 1 228 {0, -1}
347 9 X 275 288 {0, -1}
417 8 X 347 1 {0, -1}
199 12 X 126 129 {0, -1}
269 11 X 199 147 {0, -1}
312 10 X 1 269 {0, -1}
357 9 X 291 312 {0, -1}
210 11 X 72 24 {0, -1}
273 10 X 1 210 {0, -1}
344 9 X 273 1 {0, -1}
426 8 X 357 344 {0, -1}
459 7 X 417 426 {0, -1}
490 6 X 468 459 {0, -1}
59 14 X 14 1 {0, -1}
180 12 X 103 59 {0, -1}
248 11 X 180 1 {0, -1}
301 10 X 1 248 {0, -1}
