78
pgclrg trgaqn plkuxf jkukuj twvjvm kzwesv xcfgwb pzjhtv jsarxh srmlxw
4 7 3 9 10 8 6 5 1 2
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
5 9 X 1 3 {0, -1}
12 8 X 1 5 {0, -1}
31 7 X 5 12 {0, -1}
51 6 X 31 5 {0, -1}
4 9 X 1 2 {0, -1}
8 9 X 3 1 {0, -1}
20 8 X 8 5 {0, -1}
29 7 X 4 20 {0, -1}
22 7 X 1 2 {0, -1}
47 6 X 29 22 {0, -1}
66 4 X 51 47 {0, -1}
41 6 X 12 5 {0, -1}
59 5 X 41 51 {0, -1}
15 8 X 5 1 {0, -1}
37 7 X 15 20 {0, -1}
7 9 X 2 3 {0, -1}
18 8 X 7 5 {0, -1}
38 7 X 18 7 {0, -1}
56 6 X 37 38 {0, -1}
68 4 X 59 56 {0, -1}
73 3 X 66 68 {0, -1}
13 8 X 2 4 {0, -1}
25 7 X 1 13 {0, -1}
40 6 X 1 25 {0, -1}
36 7 X 12 20 {0, -1}
55 6 X 36 25 {0, -1}
58 5 X 40 55 {0, -1}
65 4 X 41 58 {0, -1}
54 6 X 36 18 {0, -1}
26 7 X 1 20 {0, -1}
45 6 X 26 18 {0, -1}
67 4 X 54 45 {0, -1}
72 3 X 65 67 {0, -1}
76 2 X 73 72 {0, -1}
9 9 X 3 2 {0, -1}
21 8 X 9 4 {0, -1}
30 7 X 4 21 {0, -1}
48 6 X 30 2 {0, -1}
28 7 X 4 5 {0, -1}
27 7 X 2 5 {0, -1}
46 6 X 28 27 {0, -1}
61 5 X 48 46 {0, -1}
17 8 X 7 2 {0, -1}
50 6 X 30 17 {0, -1}
14 8 X 3 2 {0, -1}
49 6 X 30 14 {0, -1}
62 5 X 50 49 {0, -1}
70 4 X 61 62 {0, -1}
11 8 X 1 4 {0, -1}
23 7 X 1 11 {0, -1}
10 8 X 1 2 {0, -1}
32 7 X 11 10 {0, -1}
43 6 X 23 32 {0, -1}
24 7 X 1 12 {0, -1}
33 7 X 11 12 {0, -1}
44 6 X 24 33 {0, -1}
60 5 X 43 44 {0, -1}
69 4 X 60 43 {0, -1}
74 3 X 70 69 {0, -1}
19 8 X 8 4 {0, -1}
34 7 X 11 19 {0, -1}
6 9 X 2 1 {0, -1}
16 8 X 6 4 {0, -1}
52 6 X 34 16 {0, -1}
63 5 X 52 33 {0, -1}
39 6 X 1 16 {0, -1}
35 7 X 12 1 {0, -1}
53 6 X 35 11 {0, -1}
57 5 X 39 53 {0, -1}
71 4 X 63 57 {0, -1}
42 6 X 23 11 {0, -1}
64 4 X 11 42 {0, -1}
75 3 X 71 64 {0, -1}
77 2 X 74 75 {0, -1}
78 1 X 76 77 {0, -1}
