307
lhowlo kkemes knkksu ajxpup hxedau jvdevj irwnwu kdvtoi nlkgrf ndpopg jmxcwj nyprfs skzves tswdlt knhaeb vpyuqc vflrvq tjawzq
12 1 5 16 11 9 15 14 17 7 6 10 3 2 18 4 13 8
1 19 -1 -1 -1 {-1}
2 19 0 -1 -1 {0}
5 17 X 1 2 {0, -1}
10 16 X 5 1 {0, -1}
21 15 X 10 1 {0, -1}
4 18 X 2 1 {0, -1}
7 17 X 1 4 {0, -1}
18 15 X 7 1 {0, -1}
39 14 X 21 18 {0, -1}
38 14 X 21 1 {0, -1}
64 13 X 39 38 {0, -1}
83 12 X 1 64 {0, -1}
111 11 X 64 83 {0, -1}
12 16 X 7 1 {0, -1}
25 15 X 12 1 {0, -1}
44 14 X 25 1 {0, -1}
65 13 X 39 44 {0, -1}
113 11 X 65 83 {0, -1}
181 9 X 111 113 {0, -1}
222 8 X 1 181 {0, -1}
40 14 X 21 25 {0, -1}
66 13 X 40 1 {0, -1}
84 12 X 1 66 {0, -1}
114 11 X 66 84 {0, -1}
206 8 X 1 114 {0, -1}
253 7 X 222 206 {0, -1}
47 13 X 1 38 {0, -1}
121 10 X 47 1 {0, -1}
48 13 X 1 44 {0, -1}
3 18 X 1 2 {0, -1}
6 17 X 1 3 {0, -1}
11 16 X 6 1 {0, -1}
23 15 X 11 1 {0, -1}
42 14 X 23 1 {0, -1}
68 13 X 42 38 {0, -1}
107 11 X 48 68 {0, -1}
154 10 X 107 1 {0, -1}
185 9 X 121 154 {0, -1}
226 8 X 1 185 {0, -1}
67 13 X 42 1 {0, -1}
97 11 X 1 67 {0, -1}
141 10 X 97 1 {0, -1}
169 9 X 1 141 {0, -1}
213 8 X 1 169 {0, -1}
256 7 X 226 213 {0, -1}
278 6 X 253 256 {0, -1}
63 13 X 39 1 {0, -1}
92 12 X 63 64 {0, -1}
118 11 X 92 83 {0, -1}
93 12 X 63 65 {0, -1}
120 11 X 93 83 {0, -1}
164 10 X 120 1 {0, -1}
183 9 X 118 164 {0, -1}
224 8 X 1 183 {0, -1}
159 10 X 114 1 {0, -1}
182 9 X 114 159 {0, -1}
223 8 X 1 182 {0, -1}
254 7 X 224 223 {0, -1}
73 12 X 1 47 {0, -1}
132 10 X 73 1 {0, -1}
74 12 X 1 48 {0, -1}
94 12 X 67 68 {0, -1}
115 11 X 74 94 {0, -1}
160 10 X 115 1 {0, -1}
191 9 X 132 160 {0, -1}
232 8 X 1 191 {0, -1}
261 7 X 232 213 {0, -1}
279 6 X 254 261 {0, -1}
292 5 X 278 279 {0, -1}
15 15 X 1 10 {0, -1}
71 12 X 1 15 {0, -1}
106 11 X 15 71 {0, -1}
16 15 X 1 11 {0, -1}
50 13 X 15 16 {0, -1}
76 12 X 1 50 {0, -1}
109 11 X 50 76 {0, -1}
153 10 X 106 109 {0, -1}
26 15 X 12 10 {0, -1}
35 14 X 10 26 {0, -1}
34 14 X 10 15 {0, -1}
58 13 X 35 34 {0, -1}
80 12 X 1 58 {0, -1}
101 11 X 1 80 {0, -1}
22 15 X 10 11 {0, -1}
41 14 X 22 16 {0, -1}
59 13 X 35 41 {0, -1}
81 12 X 1 59 {0, -1}
102 11 X 1 81 {0, -1}
146 10 X 101 102 {0, -1}
197 9 X 153 146 {0, -1}
237 8 X 1 197 {0, -1}
49 13 X 15 1 {0, -1}
75 12 X 1 49 {0, -1}
108 11 X 49 75 {0, -1}
57 13 X 35 1 {0, -1}
79 12 X 1 57 {0, -1}
100 11 X 1 79 {0, -1}
177 9 X 108 100 {0, -1}
220 8 X 1 177 {0, -1}
265 7 X 237 220 {0, -1}
45 13 X 1 15 {0, -1}
85 12 X 45 15 {0, -1}
29 14 X 1 16 {0, -1}
46 13 X 1 29 {0, -1}
138 10 X 85 46 {0, -1}
36 14 X 11 16 {0, -1}
61 13 X 36 34 {0, -1}
24 15 X 11 10 {0, -1}
43 14 X 24 15 {0, -1}
70 13 X 43 34 {0, -1}
91 12 X 61 70 {0, -1}
105 11 X 1 91 {0, -1}
95 11 X 1 46 {0, -1}
151 10 X 105 95 {0, -1}
195 9 X 138 151 {0, -1}
235 8 X 1 195 {0, -1}
133 10 X 75 1 {0, -1}
60 13 X 36 1 {0, -1}
69 13 X 43 1 {0, -1}
89 12 X 60 69 {0, -1}
103 11 X 1 89 {0, -1}
147 10 X 103 1 {0, -1}
192 9 X 133 147 {0, -1}
233 8 X 1 192 {0, -1}
263 7 X 235 233 {0, -1}
282 6 X 265 263 {0, -1}
86 12 X 49 15 {0, -1}
116 11 X 86 71 {0, -1}
87 12 X 49 50 {0, -1}
117 11 X 87 76 {0, -1}
162 10 X 116 117 {0, -1}
72 12 X 1 46 {0, -1}
98 11 X 1 72 {0, -1}
145 10 X 101 98 {0, -1}
202 9 X 162 145 {0, -1}
241 8 X 1 202 {0, -1}
143 10 X 100 1 {0, -1}
178 9 X 108 143 {0, -1}
221 8 X 1 178 {0, -1}
268 7 X 241 221 {0, -1}
131 10 X 71 72 {0, -1}
90 12 X 60 70 {0, -1}
104 11 X 1 90 {0, -1}
149 10 X 104 98 {0, -1}
189 9 X 131 149 {0, -1}
230 8 X 1 189 {0, -1}
259 7 X 230 233 {0, -1}
285 6 X 268 259 {0, -1}
294 5 X 282 285 {0, -1}
299 4 X 292 294 {0, -1}
19 15 X 7 6 {0, -1}
30 14 X 1 19 {0, -1}
53 13 X 30 1 {0, -1}
204 8 X 1 53 {0, -1}
27 15 X 12 11 {0, -1}
33 14 X 1 27 {0, -1}
56 13 X 33 1 {0, -1}
205 8 X 1 56 {0, -1}
247 7 X 204 205 {0, -1}
124 10 X 53 1 {0, -1}
209 8 X 1 124 {0, -1}
126 10 X 56 1 {0, -1}
210 8 X 1 126 {0, -1}
249 7 X 209 210 {0, -1}
274 6 X 247 249 {0, -1}
172 9 X 53 124 {0, -1}
215 8 X 1 172 {0, -1}
176 9 X 56 126 {0, -1}
219 8 X 1 176 {0, -1}
251 7 X 215 219 {0, -1}
14 15 X 1 6 {0, -1}
28 14 X 1 14 {0, -1}
51 13 X 28 1 {0, -1}
122 10 X 51 1 {0, -1}
207 8 X 1 122 {0, -1}
52 13 X 29 1 {0, -1}
123 10 X 52 1 {0, -1}
208 8 X 1 123 {0, -1}
248 7 X 207 208 {0, -1}
276 6 X 251 248 {0, -1}
290 5 X 274 276 {0, -1}
32 14 X 1 26 {0, -1}
55 13 X 32 1 {0, -1}
96 11 X 1 55 {0, -1}
174 9 X 55 96 {0, -1}
217 8 X 1 174 {0, -1}
125 10 X 55 1 {0, -1}
140 10 X 96 1 {0, -1}
186 9 X 125 140 {0, -1}
227 8 X 1 186 {0, -1}
272 6 X 217 227 {0, -1}
175 9 X 55 140 {0, -1}
218 8 X 1 175 {0, -1}
273 6 X 218 227 {0, -1}
289 5 X 272 273 {0, -1}
297 4 X 290 289 {0, -1}
302 3 X 299 297 {0, -1}
305 2 X 1 302 {0, -1}
8 17 X 3 1 {0, -1}
13 16 X 8 1 {0, -1}
17 15 X 1 13 {0, -1}
37 14 X 17 1 {0, -1}
62 13 X 37 1 {0, -1}
82 12 X 1 62 {0, -1}
165 9 X 1 82 {0, -1}
110 11 X 62 82 {0, -1}
179 9 X 110 82 {0, -1}
243 8 X 165 179 {0, -1}
156 10 X 110 1 {0, -1}
170 9 X 1 156 {0, -1}
157 10 X 110 62 {0, -1}
199 9 X 157 156 {0, -1}
246 8 X 170 199 {0, -1}
270 7 X 243 246 {0, -1}
127 10 X 62 1 {0, -1}
166 9 X 1 127 {0, -1}
135 10 X 82 1 {0, -1}
193 9 X 135 127 {0, -1}
244 8 X 166 193 {0, -1}
287 6 X 270 244 {0, -1}
168 9 X 1 135 {0, -1}
180 9 X 110 135 {0, -1}
245 8 X 168 180 {0, -1}
271 7 X 245 246 {0, -1}
288 6 X 271 244 {0, -1}
296 5 X 287 288 {0, -1}
301 4 X 296 1 {0, -1}
304 3 X 301 1 {0, -1}
9 16 X 1 7 {0, -1}
20 15 X 9 1 {0, -1}
31 14 X 1 20 {0, -1}
54 13 X 31 1 {0, -1}
