52
ischhz ankdcv ujsvdk bcpapa pbhpbl ajhfmp gwmqor qpqnhi snlakm udhzok
10 1 3 4 8 7 5 6 2 9
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
5 9 X 1 3 {0, -1}
6 8 X 1 5 {0, -1}
14 7 X 1 6 {0, -1}
22 6 X 1 14 {0, -1}
35 5 X 22 1 {0, -1}
40 4 X 1 35 {0, -1}
4 9 X 1 2 {0, -1}
12 8 X 5 4 {0, -1}
11 8 X 5 1 {0, -1}
20 7 X 12 11 {0, -1}
23 6 X 1 20 {0, -1}
13 7 X 1 5 {0, -1}
16 7 X 1 11 {0, -1}
25 6 X 13 16 {0, -1}
36 5 X 23 25 {0, -1}
10 8 X 3 5 {0, -1}
15 7 X 1 10 {0, -1}
26 6 X 15 1 {0, -1}
33 5 X 1 26 {0, -1}
45 4 X 36 33 {0, -1}
47 3 X 40 45 {0, -1}
9 8 X 3 1 {0, -1}
18 7 X 9 5 {0, -1}
28 6 X 18 14 {0, -1}
19 7 X 9 10 {0, -1}
31 6 X 19 14 {0, -1}
37 5 X 28 31 {0, -1}
41 4 X 1 37 {0, -1}
29 6 X 19 1 {0, -1}
43 4 X 20 29 {0, -1}
48 3 X 41 43 {0, -1}
51 2 X 47 48 {0, -1}
21 6 X 1 13 {0, -1}
34 5 X 21 1 {0, -1}
39 4 X 1 34 {0, -1}
32 5 X 1 21 {0, -1}
46 3 X 39 32 {0, -1}
30 6 X 19 13 {0, -1}
7 8 X 2 1 {0, -1}
8 8 X 2 5 {0, -1}
17 7 X 7 8 {0, -1}
27 6 X 17 13 {0, -1}
38 5 X 30 27 {0, -1}
42 4 X 1 38 {0, -1}
24 6 X 11 16 {0, -1}
44 4 X 24 31 {0, -1}
49 3 X 42 44 {0, -1}
50 2 X 46 49 {0, -1}
52 1 X 51 50 {0, -1}
