135
yngsno ywzgwu hnrdyi eudpjl iewwfj bgveoh wwpaco kfxlit ueidkm cssnvw uepvlg ewycrf bdltua ppdmdg
4 10 14 1 7 2 8 6 5 11 3 13 12 9
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
3 14 X 1 2 {0, -1}
5 13 X 3 1 {0, -1}
12 12 X 5 1 {0, -1}
27 11 X 12 1 {0, -1}
41 10 X 27 1 {0, -1}
53 9 X 41 1 {0, -1}
10 12 X 3 1 {0, -1}
23 11 X 10 1 {0, -1}
38 10 X 23 1 {0, -1}
54 9 X 41 38 {0, -1}
78 8 X 54 53 {0, -1}
77 8 X 54 1 {0, -1}
101 6 X 78 77 {0, -1}
114 5 X 53 101 {0, -1}
42 10 X 27 10 {0, -1}
22 11 X 1 12 {0, -1}
34 10 X 1 22 {0, -1}
56 9 X 42 34 {0, -1}
69 8 X 1 56 {0, -1}
20 11 X 1 10 {0, -1}
55 9 X 42 20 {0, -1}
68 8 X 1 55 {0, -1}
91 7 X 69 68 {0, -1}
44 10 X 27 23 {0, -1}
59 9 X 44 1 {0, -1}
70 8 X 1 59 {0, -1}
105 6 X 91 70 {0, -1}
37 10 X 20 22 {0, -1}
57 9 X 42 37 {0, -1}
79 8 X 54 57 {0, -1}
97 7 X 79 55 {0, -1}
81 8 X 59 1 {0, -1}
96 7 X 77 81 {0, -1}
109 6 X 97 96 {0, -1}
121 5 X 105 109 {0, -1}
124 4 X 114 121 {0, -1}
4 14 X 2 1 {0, -1}
6 13 X 4 1 {0, -1}
13 12 X 6 1 {0, -1}
28 11 X 13 1 {0, -1}
46 10 X 28 1 {0, -1}
62 9 X 46 1 {0, -1}
82 8 X 62 1 {0, -1}
11 12 X 4 1 {0, -1}
25 11 X 11 1 {0, -1}
40 10 X 25 1 {0, -1}
63 9 X 46 40 {0, -1}
83 8 X 63 62 {0, -1}
116 5 X 82 83 {0, -1}
47 10 X 28 11 {0, -1}
21 11 X 1 11 {0, -1}
64 9 X 47 21 {0, -1}
84 8 X 63 64 {0, -1}
99 7 X 84 64 {0, -1}
48 10 X 28 25 {0, -1}
65 9 X 48 1 {0, -1}
85 8 X 63 65 {0, -1}
100 7 X 85 65 {0, -1}
111 6 X 99 100 {0, -1}
113 5 X 1 111 {0, -1}
126 4 X 116 113 {0, -1}
130 3 X 124 126 {0, -1}
115 5 X 77 101 {0, -1}
24 11 X 10 3 {0, -1}
45 10 X 27 24 {0, -1}
16 11 X 1 5 {0, -1}
30 10 X 1 16 {0, -1}
61 9 X 45 30 {0, -1}
72 8 X 1 61 {0, -1}
14 11 X 1 3 {0, -1}
60 9 X 45 14 {0, -1}
71 8 X 1 60 {0, -1}
92 7 X 72 71 {0, -1}
106 6 X 92 1 {0, -1}
7 12 X 1 3 {0, -1}
17 11 X 1 7 {0, -1}
43 10 X 27 17 {0, -1}
9 12 X 1 5 {0, -1}
19 11 X 1 9 {0, -1}
39 10 X 23 19 {0, -1}
58 9 X 43 39 {0, -1}
80 8 X 58 61 {0, -1}
98 7 X 80 60 {0, -1}
110 6 X 98 1 {0, -1}
122 5 X 106 110 {0, -1}
125 4 X 115 122 {0, -1}
89 7 X 1 82 {0, -1}
87 7 X 1 62 {0, -1}
103 6 X 87 89 {0, -1}
118 5 X 89 103 {0, -1}
8 12 X 1 4 {0, -1}
18 11 X 1 8 {0, -1}
32 10 X 1 18 {0, -1}
26 11 X 11 4 {0, -1}
36 10 X 1 26 {0, -1}
15 11 X 1 4 {0, -1}
29 10 X 1 15 {0, -1}
52 9 X 36 29 {0, -1}
73 8 X 32 52 {0, -1}
49 10 X 28 26 {0, -1}
66 9 X 49 15 {0, -1}
93 7 X 73 66 {0, -1}
107 6 X 93 1 {0, -1}
112 5 X 1 107 {0, -1}
128 4 X 118 112 {0, -1}
131 3 X 125 128 {0, -1}
134 2 X 130 131 {0, -1}
76 8 X 53 57 {0, -1}
95 7 X 76 55 {0, -1}
119 5 X 91 95 {0, -1}
123 4 X 53 119 {0, -1}
129 3 X 123 1 {0, -1}
75 8 X 53 1 {0, -1}
88 7 X 1 75 {0, -1}
86 7 X 1 53 {0, -1}
102 6 X 86 88 {0, -1}
117 5 X 88 102 {0, -1}
35 10 X 1 24 {0, -1}
51 9 X 35 30 {0, -1}
67 8 X 1 51 {0, -1}
90 7 X 67 71 {0, -1}
104 6 X 90 1 {0, -1}
31 10 X 1 17 {0, -1}
33 10 X 1 19 {0, -1}
50 9 X 31 33 {0, -1}
74 8 X 50 51 {0, -1}
94 7 X 74 60 {0, -1}
108 6 X 94 1 {0, -1}
120 5 X 104 108 {0, -1}
127 4 X 117 120 {0, -1}
132 3 X 127 1 {0, -1}
133 2 X 129 132 {0, -1}
135 1 X 134 133 {0, -1}
