750
zvqadl qqbhdj gfsjfn dwsocp cddbfz rzumsu drkuzf jgoefx qjufkj kchzlk xpnkuz ojwvsw gxmdqy uhpfto mbgojy tivqna broujw vifkjo skfvct vnrtsj
15 7 20 1 19 5 9 6 18 2 8 4 12 13 14 17 16 11 10 3
1 21 -1 -1 -1 {-1}
2 21 0 -1 -1 {0}
4 20 X 2 1 {0, -1}
8 19 X 4 1 {0, -1}
21 18 X 8 1 {0, -1}
39 17 X 21 1 {0, -1}
59 16 X 39 1 {0, -1}
82 15 X 1 59 {0, -1}
14 18 X 1 8 {0, -1}
32 17 X 14 1 {0, -1}
53 16 X 32 1 {0, -1}
76 15 X 1 53 {0, -1}
166 13 X 82 76 {0, -1}
425 10 X 1 166 {0, -1}
133 13 X 1 76 {0, -1}
424 10 X 1 133 {0, -1}
524 9 X 425 424 {0, -1}
329 11 X 1 166 {0, -1}
435 10 X 1 329 {0, -1}
326 11 X 1 133 {0, -1}
432 10 X 1 326 {0, -1}
534 9 X 435 432 {0, -1}
620 8 X 524 534 {0, -1}
5 19 X 2 1 {0, -1}
11 18 X 1 5 {0, -1}
30 17 X 11 1 {0, -1}
50 16 X 30 1 {0, -1}
73 15 X 1 50 {0, -1}
165 13 X 82 73 {0, -1}
3 20 X 1 2 {0, -1}
7 19 X 3 1 {0, -1}
13 18 X 1 7 {0, -1}
23 17 X 1 13 {0, -1}
43 16 X 23 1 {0, -1}
40 17 X 21 13 {0, -1}
60 16 X 40 1 {0, -1}
86 15 X 43 60 {0, -1}
31 17 X 11 13 {0, -1}
51 16 X 31 1 {0, -1}
74 15 X 1 51 {0, -1}
196 13 X 86 74 {0, -1}
253 12 X 165 196 {0, -1}
9 18 X 1 2 {0, -1}
26 17 X 9 1 {0, -1}
46 16 X 26 1 {0, -1}
69 15 X 1 46 {0, -1}
28 17 X 9 11 {0, -1}
47 16 X 26 28 {0, -1}
70 15 X 1 47 {0, -1}
108 14 X 69 70 {0, -1}
173 13 X 82 108 {0, -1}
10 18 X 1 3 {0, -1}
27 17 X 9 10 {0, -1}
6 19 X 2 3 {0, -1}
12 18 X 1 6 {0, -1}
29 17 X 9 12 {0, -1}
49 16 X 27 29 {0, -1}
72 15 X 1 49 {0, -1}
115 14 X 74 72 {0, -1}
199 13 X 86 115 {0, -1}
256 12 X 173 199 {0, -1}
383 11 X 253 256 {0, -1}
462 10 X 1 383 {0, -1}
132 13 X 1 73 {0, -1}
149 13 X 43 74 {0, -1}
238 12 X 132 149 {0, -1}
131 13 X 1 69 {0, -1}
48 16 X 27 1 {0, -1}
71 15 X 1 48 {0, -1}
114 14 X 74 71 {0, -1}
154 13 X 43 114 {0, -1}
236 12 X 131 154 {0, -1}
373 11 X 238 236 {0, -1}
455 10 X 1 373 {0, -1}
551 9 X 462 455 {0, -1}
109 14 X 71 72 {0, -1}
198 13 X 86 109 {0, -1}
255 12 X 173 198 {0, -1}
340 11 X 1 255 {0, -1}
440 10 X 1 340 {0, -1}
67 15 X 1 43 {0, -1}
156 13 X 67 71 {0, -1}
237 12 X 131 156 {0, -1}
333 11 X 1 237 {0, -1}
436 10 X 1 333 {0, -1}
538 9 X 440 436 {0, -1}
628 8 X 551 538 {0, -1}
680 7 X 620 628 {0, -1}
25 17 X 8 1 {0, -1}
45 16 X 25 1 {0, -1}
68 15 X 1 45 {0, -1}
162 13 X 68 76 {0, -1}
248 12 X 162 166 {0, -1}
428 10 X 1 248 {0, -1}
247 12 X 162 133 {0, -1}
427 10 X 1 247 {0, -1}
526 9 X 428 427 {0, -1}
335 11 X 1 248 {0, -1}
438 10 X 1 335 {0, -1}
334 11 X 1 247 {0, -1}
437 10 X 1 334 {0, -1}
536 9 X 438 437 {0, -1}
622 8 X 526 536 {0, -1}
22 18 X 8 5 {0, -1}
42 17 X 22 1 {0, -1}
62 16 X 42 1 {0, -1}
84 15 X 1 62 {0, -1}
187 13 X 84 73 {0, -1}
270 12 X 187 196 {0, -1}
192 13 X 84 108 {0, -1}
285 12 X 192 199 {0, -1}
388 11 X 270 285 {0, -1}
464 10 X 1 388 {0, -1}
267 12 X 187 149 {0, -1}
185 13 X 84 69 {0, -1}
263 12 X 185 154 {0, -1}
387 11 X 267 263 {0, -1}
463 10 X 1 387 {0, -1}
552 9 X 464 463 {0, -1}
284 12 X 192 198 {0, -1}
350 11 X 1 284 {0, -1}
442 10 X 1 350 {0, -1}
264 12 X 185 156 {0, -1}
343 11 X 1 264 {0, -1}
441 10 X 1 343 {0, -1}
540 9 X 442 441 {0, -1}
629 8 X 552 540 {0, -1}
682 7 X 622 629 {0, -1}
719 6 X 680 682 {0, -1}
361 11 X 133 1 {0, -1}
449 10 X 1 361 {0, -1}
527 9 X 428 449 {0, -1}
535 9 X 438 1 {0, -1}
623 8 X 527 535 {0, -1}
188 13 X 84 76 {0, -1}
197 13 X 86 76 {0, -1}
276 12 X 188 197 {0, -1}
398 11 X 276 285 {0, -1}
471 10 X 1 398 {0, -1}
559 9 X 471 449 {0, -1}
539 9 X 442 1 {0, -1}
633 8 X 559 539 {0, -1}
683 7 X 623 633 {0, -1}
709 6 X 1 683 {0, -1}
735 5 X 719 709 {0, -1}
246 12 X 162 1 {0, -1}
426 10 X 1 246 {0, -1}
617 8 X 426 536 {0, -1}
272 12 X 188 1 {0, -1}
283 12 X 192 1 {0, -1}
394 11 X 272 283 {0, -1}
468 10 X 1 394 {0, -1}
262 12 X 185 1 {0, -1}
391 11 X 272 262 {0, -1}
466 10 X 1 391 {0, -1}
557 9 X 468 466 {0, -1}
632 8 X 557 540 {0, -1}
678 7 X 617 632 {0, -1}
706 6 X 1 678 {0, -1}
525 9 X 426 1 {0, -1}
621 8 X 525 535 {0, -1}
556 9 X 468 1 {0, -1}
631 8 X 556 539 {0, -1}
681 7 X 621 631 {0, -1}
708 6 X 1 681 {0, -1}
728 5 X 706 708 {0, -1}
743 4 X 735 728 {0, -1}
125 14 X 82 59 {0, -1}
208 13 X 125 76 {0, -1}
364 11 X 208 1 {0, -1}
452 10 X 1 364 {0, -1}
548 9 X 452 449 {0, -1}
98 14 X 1 73 {0, -1}
211 13 X 125 98 {0, -1}
128 14 X 86 60 {0, -1}
99 14 X 1 74 {0, -1}
223 13 X 128 99 {0, -1}
300 12 X 211 223 {0, -1}
406 11 X 300 1 {0, -1}
476 10 X 1 406 {0, -1}
139 13 X 1 98 {0, -1}
152 13 X 43 99 {0, -1}
240 12 X 139 152 {0, -1}
375 11 X 240 1 {0, -1}
457 10 X 1 375 {0, -1}
562 9 X 476 457 {0, -1}
159 13 X 67 99 {0, -1}
241 12 X 139 159 {0, -1}
376 11 X 241 1 {0, -1}
458 10 X 1 376 {0, -1}
563 9 X 476 458 {0, -1}
635 8 X 562 563 {0, -1}
670 7 X 548 635 {0, -1}
105 14 X 68 45 {0, -1}
205 13 X 105 76 {0, -1}
293 12 X 205 208 {0, -1}
431 10 X 1 293 {0, -1}
292 12 X 205 133 {0, -1}
430 10 X 1 292 {0, -1}
530 9 X 431 430 {0, -1}
127 14 X 84 62 {0, -1}
220 13 X 127 98 {0, -1}
317 12 X 220 223 {0, -1}
95 14 X 1 70 {0, -1}
219 13 X 127 95 {0, -1}
97 14 X 1 72 {0, -1}
222 13 X 128 97 {0, -1}
312 12 X 219 222 {0, -1}
412 11 X 317 312 {0, -1}
479 10 X 1 412 {0, -1}
313 12 X 220 152 {0, -1}
94 14 X 1 69 {0, -1}
218 13 X 127 94 {0, -1}
96 14 X 1 71 {0, -1}
151 13 X 43 96 {0, -1}
308 12 X 218 151 {0, -1}
410 11 X 313 308 {0, -1}
477 10 X 1 410 {0, -1}
564 9 X 479 477 {0, -1}
314 12 X 220 159 {0, -1}
158 13 X 67 96 {0, -1}
309 12 X 218 158 {0, -1}
411 11 X 314 309 {0, -1}
478 10 X 1 411 {0, -1}
565 9 X 479 478 {0, -1}
