166
augbsj zpdiie xzwzok wdketi iofubg schrpa efaunx eqsawy dmeqag eqidvz xcpehf eorkhq jifjjr pgvokz
1 4 5 3 6 14 11 8 12 13 2 9 7 10
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
3 14 X 1 2 {0, -1}
8 13 X 3 1 {0, -1}
23 12 X 8 1 {0, -1}
52 10 X 23 1 {0, -1}
77 9 X 1 52 {0, -1}
101 8 X 52 77 {0, -1}
4 14 X 2 1 {0, -1}
6 13 X 1 4 {0, -1}
45 10 X 6 1 {0, -1}
72 9 X 1 45 {0, -1}
35 11 X 6 1 {0, -1}
64 10 X 35 1 {0, -1}
80 9 X 1 64 {0, -1}
102 8 X 72 80 {0, -1}
134 6 X 102 72 {0, -1}
142 5 X 101 134 {0, -1}
128 6 X 1 101 {0, -1}
151 5 X 128 1 {0, -1}
154 4 X 142 151 {0, -1}
33 11 X 1 23 {0, -1}
62 10 X 33 1 {0, -1}
96 9 X 62 52 {0, -1}
26 11 X 1 8 {0, -1}
54 10 X 26 1 {0, -1}
9 13 X 3 2 {0, -1}
46 10 X 9 1 {0, -1}
93 9 X 54 46 {0, -1}
36 11 X 9 8 {0, -1}
65 10 X 36 1 {0, -1}
94 9 X 54 65 {0, -1}
111 8 X 93 94 {0, -1}
47 10 X 9 3 {0, -1}
86 9 X 26 47 {0, -1}
17 12 X 1 8 {0, -1}
31 11 X 1 17 {0, -1}
20 12 X 6 9 {0, -1}
12 12 X 1 3 {0, -1}
51 10 X 20 12 {0, -1}
88 9 X 31 51 {0, -1}
106 8 X 86 88 {0, -1}
117 7 X 106 86 {0, -1}
136 6 X 111 117 {0, -1}
141 5 X 96 136 {0, -1}
126 6 X 1 96 {0, -1}
43 10 X 3 8 {0, -1}
85 9 X 26 43 {0, -1}
125 6 X 1 85 {0, -1}
149 5 X 126 125 {0, -1}
153 4 X 141 149 {0, -1}
160 3 X 154 153 {0, -1}
7 13 X 2 1 {0, -1}
21 12 X 7 1 {0, -1}
38 11 X 21 1 {0, -1}
67 10 X 38 1 {0, -1}
120 6 X 1 67 {0, -1}
13 12 X 1 4 {0, -1}
37 11 X 13 1 {0, -1}
66 10 X 37 1 {0, -1}
82 9 X 1 66 {0, -1}
10 13 X 4 1 {0, -1}
24 12 X 10 1 {0, -1}
41 11 X 24 1 {0, -1}
70 10 X 41 1 {0, -1}
34 11 X 4 1 {0, -1}
63 10 X 34 1 {0, -1}
98 9 X 70 63 {0, -1}
105 8 X 82 98 {0, -1}
100 8 X 1 98 {0, -1}
116 7 X 105 100 {0, -1}
132 6 X 1 116 {0, -1}
144 5 X 120 132 {0, -1}
40 11 X 23 1 {0, -1}
69 10 X 40 1 {0, -1}
121 6 X 1 69 {0, -1}
146 5 X 121 1 {0, -1}
156 4 X 144 146 {0, -1}
83 9 X 1 67 {0, -1}
123 6 X 1 83 {0, -1}
16 12 X 1 7 {0, -1}
30 11 X 1 16 {0, -1}
58 10 X 30 31 {0, -1}
11 12 X 1 2 {0, -1}
48 10 X 11 12 {0, -1}
95 9 X 58 48 {0, -1}
25 11 X 1 7 {0, -1}
53 10 X 25 26 {0, -1}
42 10 X 2 3 {0, -1}
92 9 X 53 42 {0, -1}
112 8 X 95 92 {0, -1}
130 6 X 1 112 {0, -1}
147 5 X 123 130 {0, -1}
84 9 X 1 69 {0, -1}
124 6 X 1 84 {0, -1}
49 10 X 12 17 {0, -1}
87 9 X 31 49 {0, -1}
107 8 X 87 85 {0, -1}
129 6 X 1 107 {0, -1}
148 5 X 124 129 {0, -1}
158 4 X 147 148 {0, -1}
162 3 X 156 158 {0, -1}
164 2 X 160 162 {0, -1}
73 9 X 1 46 {0, -1}
81 9 X 1 65 {0, -1}
103 8 X 73 81 {0, -1}
74 9 X 1 47 {0, -1}
76 9 X 1 51 {0, -1}
104 8 X 74 76 {0, -1}
115 7 X 104 74 {0, -1}
135 6 X 103 115 {0, -1}
143 5 X 101 135 {0, -1}
5 13 X 1 3 {0, -1}
19 12 X 3 5 {0, -1}
50 10 X 19 23 {0, -1}
75 9 X 1 50 {0, -1}
44 10 X 5 1 {0, -1}
71 9 X 1 44 {0, -1}
114 7 X 75 71 {0, -1}
131 6 X 1 114 {0, -1}
139 5 X 1 131 {0, -1}
155 4 X 143 139 {0, -1}
59 10 X 31 1 {0, -1}
99 8 X 1 59 {0, -1}
113 7 X 1 99 {0, -1}
27 11 X 1 12 {0, -1}
55 10 X 27 1 {0, -1}
89 9 X 31 55 {0, -1}
15 12 X 1 6 {0, -1}
29 11 X 1 15 {0, -1}
57 10 X 29 1 {0, -1}
79 9 X 1 57 {0, -1}
108 8 X 89 79 {0, -1}
18 12 X 1 9 {0, -1}
32 11 X 1 18 {0, -1}
61 10 X 32 27 {0, -1}
91 9 X 31 61 {0, -1}
110 8 X 89 91 {0, -1}
119 7 X 108 110 {0, -1}
137 6 X 113 119 {0, -1}
140 5 X 52 137 {0, -1}
14 12 X 1 5 {0, -1}
28 11 X 1 14 {0, -1}
56 10 X 28 1 {0, -1}
78 9 X 1 56 {0, -1}
122 6 X 1 78 {0, -1}
138 5 X 1 122 {0, -1}
152 4 X 140 138 {0, -1}
161 3 X 155 152 {0, -1}
22 12 X 7 10 {0, -1}
39 11 X 22 1 {0, -1}
68 10 X 39 1 {0, -1}
97 9 X 68 67 {0, -1}
127 6 X 1 97 {0, -1}
150 5 X 127 1 {0, -1}
159 4 X 150 1 {0, -1}
60 10 X 32 1 {0, -1}
90 9 X 31 60 {0, -1}
109 8 X 89 90 {0, -1}
118 7 X 108 109 {0, -1}
133 6 X 1 118 {0, -1}
145 5 X 120 133 {0, -1}
157 4 X 145 138 {0, -1}
163 3 X 159 157 {0, -1}
165 2 X 161 163 {0, -1}
166 1 X 164 165 {0, -1}
