82
cczxdb odjgse wcrlft jgylpl hixprk sbusjy ulpatj pccses mgmdzh xevhfo ewkftw isaqiz qqcsqm prqrdg qpxgtk vwojgd
6 7 13 12 2 14 1 5 11 8 3 10 15 4 9 16
1 17 -1 -1 -1 {-1}
2 17 0 -1 -1 {0}
3 16 X 1 2 {0, -1}
6 15 X 1 3 {0, -1}
9 14 X 1 6 {0, -1}
16 12 X 1 9 {0, -1}
26 11 X 1 16 {0, -1}
34 10 X 1 26 {0, -1}
45 9 X 1 34 {0, -1}
59 7 X 1 45 {0, -1}
65 6 X 1 59 {0, -1}
58 7 X 1 34 {0, -1}
64 6 X 1 58 {0, -1}
74 5 X 65 64 {0, -1}
77 3 X 1 74 {0, -1}
80 2 X 77 1 {0, -1}
4 16 X 2 1 {0, -1}
7 15 X 1 4 {0, -1}
10 14 X 1 7 {0, -1}
11 13 X 1 10 {0, -1}
5 15 X 1 2 {0, -1}
8 14 X 1 5 {0, -1}
14 13 X 9 8 {0, -1}
24 12 X 11 14 {0, -1}
29 11 X 1 24 {0, -1}
37 10 X 1 29 {0, -1}
13 13 X 9 1 {0, -1}
23 12 X 11 13 {0, -1}
28 11 X 1 23 {0, -1}
36 10 X 1 28 {0, -1}
51 8 X 37 36 {0, -1}
69 6 X 51 1 {0, -1}
73 5 X 1 69 {0, -1}
17 12 X 1 10 {0, -1}
32 10 X 1 17 {0, -1}
15 12 X 1 8 {0, -1}
40 10 X 16 15 {0, -1}
48 9 X 32 40 {0, -1}
18 12 X 1 13 {0, -1}
41 10 X 18 15 {0, -1}
49 9 X 32 41 {0, -1}
57 8 X 48 49 {0, -1}
63 7 X 1 57 {0, -1}
67 6 X 1 63 {0, -1}
20 12 X 10 8 {0, -1}
39 10 X 9 20 {0, -1}
12 13 X 8 1 {0, -1}
21 12 X 10 12 {0, -1}
42 10 X 18 21 {0, -1}
52 8 X 39 42 {0, -1}
53 8 X 40 41 {0, -1}
60 7 X 1 53 {0, -1}
70 6 X 52 60 {0, -1}
76 5 X 67 70 {0, -1}
79 3 X 73 76 {0, -1}
22 12 X 11 1 {0, -1}
27 11 X 1 22 {0, -1}
35 10 X 1 27 {0, -1}
50 8 X 37 35 {0, -1}
68 6 X 50 1 {0, -1}
72 5 X 1 68 {0, -1}
25 11 X 1 15 {0, -1}
31 11 X 17 15 {0, -1}
43 10 X 25 31 {0, -1}
47 9 X 1 43 {0, -1}
38 10 X 1 31 {0, -1}
46 9 X 1 38 {0, -1}
56 8 X 47 46 {0, -1}
62 7 X 1 56 {0, -1}
66 6 X 1 62 {0, -1}
30 11 X 10 20 {0, -1}
44 10 X 31 30 {0, -1}
19 12 X 10 1 {0, -1}
33 10 X 1 19 {0, -1}
55 8 X 44 33 {0, -1}
54 8 X 43 38 {0, -1}
61 7 X 1 54 {0, -1}
71 6 X 55 61 {0, -1}
75 5 X 66 71 {0, -1}
78 3 X 72 75 {0, -1}
81 2 X 79 78 {0, -1}
82 1 X 80 81 {0, -1}
