39
cxyepb qoepsp nvtdfy vmocjn pfykyq uuckhf fkitqg ffdfjj cpavxe jkshwq
1 7 4 3 8 2 10 6 9 5
3 11 1 -1 -1 {1}
1 11 -1 -1 -1 {-1}
6 9 X 1 3 {1, -1}
30 4 X 3 6 {1, -1}
35 3 X 30 3 {1, -1}
2 11 0 -1 -1 {0}
7 9 X 3 2 {0, 1}
11 8 X 3 7 {0, 1}
17 7 X 11 3 {0, 1}
22 6 X 17 3 {0, 1}
24 5 X 11 22 {0, 1}
31 4 X 24 3 {0, 1}
4 10 X 2 3 {0, 1}
8 9 X 4 2 {0, 1}
12 8 X 3 8 {0, 1}
25 5 X 12 3 {0, 1}
32 4 X 25 3 {0, 1}
36 3 X 31 32 {0, 1}
15 7 X 3 11 {0, 1}
26 5 X 15 3 {0, 1}
9 9 X 4 3 {0, 1}
21 6 X 9 8 {0, 1}
13 8 X 8 9 {0, 1}
19 7 X 13 3 {0, 1}
23 6 X 19 3 {0, 1}
29 5 X 21 23 {0, 1}
33 4 X 26 29 {0, 1}
16 7 X 3 12 {0, 1}
27 5 X 16 3 {0, 1}
5 10 X 3 2 {0, 1}
10 9 X 4 5 {0, 1}
14 8 X 10 8 {0, 1}
18 7 X 12 14 {0, 1}
20 6 X 3 18 {0, 1}
28 5 X 20 3 {0, 1}
34 4 X 27 28 {0, 1}
37 3 X 33 34 {0, 1}
38 2 X 36 37 {0, 1}
39 1 X 35 38 {0, 1, -1}
