37
ygmtqb cmbxvo vqplym hwirce ttkhci ngpkrf hcanxp fhlewj fadnpb bovepa fpyxas imrnpn
2 8 11 1 6 9 4 7 5 12 10 3
2 13 0 -1 -1 {0}
1 13 -1 -1 -1 {-1}
3 12 X 1 2 {0, -1}
6 11 X 2 3 {0, -1}
15 8 X 6 2 {0, -1}
21 7 X 15 1 {0, -1}
4 12 X 2 1 {0, -1}
5 11 X 1 4 {0, -1}
7 10 X 1 5 {0, -1}
11 9 X 7 5 {0, -1}
14 8 X 1 11 {0, -1}
20 7 X 14 1 {0, -1}
24 6 X 21 20 {0, -1}
10 9 X 1 5 {0, -1}
13 8 X 1 10 {0, -1}
19 7 X 13 1 {0, -1}
27 5 X 24 19 {0, -1}
26 5 X 20 19 {0, -1}
30 4 X 27 26 {0, -1}
33 3 X 30 1 {0, -1}
35 2 X 33 1 {0, -1}
9 9 X 1 2 {0, -1}
16 8 X 6 9 {0, -1}
8 10 X 1 6 {0, -1}
12 9 X 8 1 {0, -1}
17 8 X 12 1 {0, -1}
22 7 X 16 17 {0, -1}
25 6 X 22 1 {0, -1}
23 6 X 19 1 {0, -1}
28 5 X 25 23 {0, -1}
31 4 X 28 1 {0, -1}
34 3 X 31 1 {0, -1}
18 7 X 1 13 {0, -1}
29 4 X 1 18 {0, -1}
32 3 X 1 29 {0, -1}
36 2 X 34 32 {0, -1}
37 1 X 35 36 {0, -1}
