212
nytrdk yqewsk dwwbcu uwrgso njtoib ndllzp elwaey sslgcy yqyegd zikzqd ylmqzr dnhqki dhujyd bzmmyl
6 2 5 8 7 4 9 14 12 11 13 1 3 10
3 15 1 -1 -1 {1}
2 15 0 -1 -1 {0}
8 13 X 3 2 {0, 1}
21 12 X 8 3 {0, 1}
50 11 X 21 3 {0, 1}
65 10 X 3 50 {0, 1}
16 12 X 3 8 {0, 1}
37 11 X 8 16 {0, 1}
61 10 X 3 37 {0, 1}
101 9 X 65 61 {0, 1}
80 9 X 3 16 {0, 1}
135 8 X 101 80 {0, 1}
150 7 X 3 135 {0, 1}
20 12 X 8 2 {0, 1}
31 11 X 2 20 {0, 1}
83 9 X 3 31 {0, 1}
6 14 X 3 2 {0, 1}
10 13 X 3 6 {0, 1}
24 12 X 10 6 {0, 1}
52 11 X 24 20 {0, 1}
88 9 X 20 52 {0, 1}
123 8 X 83 88 {0, 1}
7 13 X 2 3 {0, 1}
19 12 X 7 3 {0, 1}
48 11 X 19 3 {0, 1}
13 12 X 2 3 {0, 1}
40 11 X 13 21 {0, 1}
77 10 X 48 40 {0, 1}
108 9 X 77 31 {0, 1}
141 8 X 108 20 {0, 1}
165 7 X 123 141 {0, 1}
180 6 X 150 165 {0, 1}
14 12 X 3 2 {0, 1}
71 10 X 14 16 {0, 1}
87 9 X 3 71 {0, 1}
136 8 X 101 87 {0, 1}
151 7 X 3 136 {0, 1}
64 10 X 3 40 {0, 1}
98 9 X 64 31 {0, 1}
132 8 X 98 20 {0, 1}
148 7 X 3 132 {0, 1}
182 6 X 151 148 {0, 1}
194 5 X 180 182 {0, 1}
1 15 -1 -1 -1 {-1}
5 14 X 3 1 {1, -1}
70 10 X 5 3 {1, -1}
60 10 X 3 31 {0, 1}
86 9 X 3 60 {0, 1}
56 10 X 3 20 {0, 1}
67 10 X 3 52 {0, 1}
95 9 X 56 67 {0, 1}
126 8 X 86 95 {0, 1}
99 9 X 64 60 {0, 1}
4 14 X 2 3 {0, 1}
9 13 X 3 4 {0, 1}
23 12 X 9 3 {0, 1}
57 10 X 3 23 {0, 1}
133 8 X 99 57 {0, 1}
168 7 X 126 133 {0, 1}
176 6 X 70 168 {0, 1, -1}
174 6 X 70 3 {1, -1}
192 5 X 176 174 {0, 1, -1}
202 4 X 194 192 {0, 1, -1}
12 13 X 6 3 {0, 1}
26 12 X 12 3 {0, 1}
55 11 X 26 3 {0, 1}
11 13 X 6 2 {0, 1}
25 12 X 11 3 {0, 1}
54 11 X 25 21 {0, 1}
79 10 X 55 54 {0, 1}
22 12 X 8 11 {0, 1}
36 11 X 3 22 {0, 1}
110 9 X 79 36 {0, 1}
143 8 X 110 3 {0, 1}
156 7 X 3 143 {0, 1}
171 6 X 3 156 {0, 1}
69 10 X 3 54 {0, 1}
105 9 X 69 36 {0, 1}
139 8 X 105 3 {0, 1}
153 7 X 3 139 {0, 1}
170 6 X 3 153 {0, 1}
188 5 X 171 170 {0, 1}
51 11 X 22 3 {0, 1}
66 10 X 3 51 {0, 1}
102 9 X 66 3 {0, 1}
112 8 X 3 102 {0, 1}
53 11 X 25 3 {0, 1}
68 10 X 3 53 {0, 1}
103 9 X 68 3 {0, 1}
137 8 X 103 102 {0, 1}
158 7 X 112 137 {0, 1}
173 6 X 3 158 {0, 1}
190 5 X 173 3 {0, 1}
200 4 X 188 190 {0, 1}
206 3 X 202 200 {0, 1, -1}
39 11 X 13 3 {0, 1}
76 10 X 48 39 {0, 1}
27 11 X 2 14 {0, 1}
107 9 X 76 27 {0, 1}
140 8 X 107 14 {0, 1}
154 7 X 3 140 {0, 1}
183 6 X 151 154 {0, 1}
63 10 X 3 39 {0, 1}
97 9 X 63 27 {0, 1}
131 8 X 97 14 {0, 1}
147 7 X 3 131 {0, 1}
181 6 X 151 147 {0, 1}
195 5 X 183 181 {0, 1}
203 4 X 195 174 {0, 1, -1}
100 9 X 65 3 {0, 1}
134 8 X 100 3 {0, 1}
149 7 X 3 134 {0, 1}
78 10 X 55 53 {0, 1}
18 12 X 3 11 {0, 1}
34 11 X 3 18 {0, 1}
109 9 X 78 34 {0, 1}
142 8 X 109 3 {0, 1}
155 7 X 3 142 {0, 1}
179 6 X 149 155 {0, 1}
104 9 X 68 34 {0, 1}
138 8 X 104 3 {0, 1}
152 7 X 3 138 {0, 1}
178 6 X 149 152 {0, 1}
193 5 X 179 178 {0, 1}
201 4 X 193 3 {0, 1}
207 3 X 203 201 {0, 1, -1}
210 2 X 206 207 {0, 1, -1}
17 12 X 3 10 {0, 1}
30 11 X 2 17 {0, 1}
59 10 X 3 30 {0, 1}
15 12 X 3 6 {0, 1}
42 11 X 14 15 {0, 1}
44 11 X 14 17 {0, 1}
74 10 X 42 44 {0, 1}
