112
gibjtf dgdgdl fblagc cslcra phhozq cdsnvn nchkie cahdwx jrgzqw vjffcr rimnpn mgjymo llvbqe uwwzxc amimac xsmyvk
10 2 11 16 4 5 8 12 1 3 6 13 7 9 15 14
1 17 -1 -1 -1 {-1}
2 17 0 -1 -1 {0}
6 15 X 2 1 {0, -1}
3 16 X 1 2 {0, -1}
8 15 X 3 1 {0, -1}
14 14 X 8 6 {0, -1}
27 12 X 6 14 {0, -1}
50 10 X 1 27 {0, -1}
63 9 X 1 50 {0, -1}
73 8 X 1 63 {0, -1}
85 7 X 73 1 {0, -1}
92 6 X 85 1 {0, -1}
15 13 X 1 2 {0, -1}
4 15 X 1 2 {0, -1}
16 13 X 1 4 {0, -1}
30 12 X 16 15 {0, -1}
43 11 X 15 30 {0, -1}
24 12 X 1 6 {0, -1}
38 11 X 6 24 {0, -1}
59 10 X 43 38 {0, -1}
56 10 X 15 6 {0, -1}
71 9 X 59 56 {0, -1}
25 12 X 1 14 {0, -1}
45 11 X 27 25 {0, -1}
55 10 X 1 45 {0, -1}
69 9 X 55 1 {0, -1}
80 8 X 71 69 {0, -1}
88 7 X 80 1 {0, -1}
97 6 X 88 1 {0, -1}
100 5 X 92 97 {0, -1}
104 4 X 100 1 {0, -1}
18 13 X 1 8 {0, -1}
34 11 X 1 18 {0, -1}
51 10 X 1 34 {0, -1}
64 9 X 1 51 {0, -1}
74 8 X 1 64 {0, -1}
81 7 X 1 74 {0, -1}
93 6 X 85 81 {0, -1}
13 14 X 8 1 {0, -1}
22 13 X 1 13 {0, -1}
36 11 X 1 22 {0, -1}
53 10 X 1 36 {0, -1}
65 9 X 1 53 {0, -1}
75 8 X 1 65 {0, -1}
82 7 X 1 75 {0, -1}
94 6 X 85 82 {0, -1}
101 5 X 93 94 {0, -1}
105 4 X 101 1 {0, -1}
108 3 X 104 105 {0, -1}
9 14 X 1 8 {0, -1}
19 13 X 1 9 {0, -1}
35 11 X 1 19 {0, -1}
52 10 X 1 35 {0, -1}
68 9 X 52 51 {0, -1}
78 8 X 35 68 {0, -1}
84 7 X 1 78 {0, -1}
91 6 X 1 84 {0, -1}
89 6 X 1 82 {0, -1}
99 5 X 91 89 {0, -1}
33 12 X 22 1 {0, -1}
37 11 X 1 33 {0, -1}
54 10 X 1 37 {0, -1}
66 9 X 1 54 {0, -1}
76 8 X 1 66 {0, -1}
83 7 X 1 76 {0, -1}
90 6 X 1 83 {0, -1}
98 5 X 1 90 {0, -1}
103 4 X 99 98 {0, -1}
107 3 X 1 103 {0, -1}
110 2 X 108 107 {0, -1}
10 14 X 3 2 {0, -1}
26 12 X 2 10 {0, -1}
44 11 X 26 1 {0, -1}
7 15 X 2 3 {0, -1}
11 14 X 3 7 {0, -1}
28 12 X 7 11 {0, -1}
46 11 X 28 1 {0, -1}
60 10 X 44 46 {0, -1}
67 9 X 1 60 {0, -1}
77 8 X 1 67 {0, -1}
86 7 X 77 1 {0, -1}
95 6 X 86 1 {0, -1}
42 11 X 15 16 {0, -1}
5 15 X 1 3 {0, -1}
40 11 X 7 5 {0, -1}
58 10 X 42 40 {0, -1}
41 11 X 15 1 {0, -1}
39 11 X 7 1 {0, -1}
57 10 X 41 39 {0, -1}
70 9 X 58 57 {0, -1}
20 13 X 1 10 {0, -1}
29 12 X 15 20 {0, -1}
12 14 X 5 4 {0, -1}
21 13 X 1 12 {0, -1}
31 12 X 16 21 {0, -1}
48 11 X 29 31 {0, -1}
47 11 X 28 5 {0, -1}
61 10 X 48 47 {0, -1}
17 13 X 1 6 {0, -1}
23 13 X 1 14 {0, -1}
32 12 X 17 23 {0, -1}
49 11 X 32 1 {0, -1}
62 10 X 49 1 {0, -1}
72 9 X 61 62 {0, -1}
79 8 X 70 72 {0, -1}
87 7 X 79 1 {0, -1}
96 6 X 87 1 {0, -1}
102 5 X 95 96 {0, -1}
106 4 X 102 1 {0, -1}
109 3 X 106 1 {0, -1}
111 2 X 109 1 {0, -1}
112 1 X 110 111 {0, -1}
