34
tolbqr gynrhv flrygd mdesqp lielvb roeqrs frykjk ezpbqu vicsfm egglmn
3 6 5 10 9 4 1 7 8 2
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
4 10 X 2 1 {0, -1}
7 9 X 4 1 {0, -1}
13 7 X 1 7 {0, -1}
3 10 X 1 2 {0, -1}
6 9 X 3 1 {0, -1}
9 8 X 2 6 {0, -1}
11 8 X 7 1 {0, -1}
15 7 X 9 11 {0, -1}
18 6 X 1 15 {0, -1}
19 5 X 1 18 {0, -1}
24 4 X 13 19 {0, -1}
29 3 X 24 1 {0, -1}
32 2 X 29 1 {0, -1}
17 6 X 1 13 {0, -1}
22 5 X 13 17 {0, -1}
27 4 X 22 1 {0, -1}
8 8 X 1 7 {0, -1}
14 7 X 1 8 {0, -1}
23 5 X 14 1 {0, -1}
28 4 X 23 1 {0, -1}
31 3 X 27 28 {0, -1}
5 9 X 1 3 {0, -1}
10 8 X 5 1 {0, -1}
16 7 X 10 1 {0, -1}
20 5 X 5 16 {0, -1}
25 4 X 20 1 {0, -1}
12 7 X 1 5 {0, -1}
21 5 X 12 1 {0, -1}
26 4 X 21 1 {0, -1}
30 3 X 25 26 {0, -1}
33 2 X 31 30 {0, -1}
34 1 X 32 33 {0, -1}
