27
cmxnvh kaeakz kbetoq bkcvki wzyepn fnhlkg nvlvge hidqjk zraqsi fezndx
4 1 9 6 8 5 7 10 3 2
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
9 7 X 1 3 {0, -1}
4 9 X 1 3 {0, -1}
8 8 X 4 3 {0, -1}
14 6 X 9 8 {0, -1}
18 5 X 14 3 {0, -1}
10 7 X 1 4 {0, -1}
20 4 X 18 10 {0, -1}
6 8 X 1 4 {0, -1}
11 7 X 1 6 {0, -1}
17 5 X 11 1 {0, -1}
23 3 X 20 17 {0, -1}
25 2 X 23 1 {0, -1}
5 9 X 3 2 {0, -1}
7 8 X 3 5 {0, -1}
12 7 X 3 7 {0, -1}
13 6 X 3 12 {0, -1}
19 5 X 14 13 {0, -1}
15 6 X 10 4 {0, -1}
21 4 X 19 15 {0, -1}
24 3 X 21 1 {0, -1}
16 5 X 1 4 {0, -1}
22 3 X 16 1 {0, -1}
26 2 X 24 22 {0, -1}
27 1 X 25 26 {0, -1}
