26
xtxtfr nmxssl mmtzdp maendx avpsxf ihvsyu nnbnxr ygnvdk
6 1 3 2 7 8 4 5
1 9 -1 -1 -1 {-1}
2 9 0 -1 -1 {0}
3 8 X 1 2 {0, -1}
6 7 X 1 3 {0, -1}
9 6 X 1 6 {0, -1}
5 7 X 1 2 {0, -1}
11 6 X 5 6 {0, -1}
15 5 X 9 11 {0, -1}
8 6 X 1 3 {0, -1}
14 5 X 9 8 {0, -1}
19 4 X 15 14 {0, -1}
10 6 X 3 6 {0, -1}
13 5 X 6 10 {0, -1}
18 4 X 13 8 {0, -1}
23 3 X 19 18 {0, -1}
16 5 X 11 6 {0, -1}
4 8 X 2 1 {0, -1}
7 7 X 1 4 {0, -1}
12 6 X 7 6 {0, -1}
17 5 X 12 9 {0, -1}
20 4 X 17 9 {0, -1}
22 3 X 16 20 {0, -1}
25 2 X 23 22 {0, -1}
21 3 X 6 9 {0, -1}
24 2 X 9 21 {0, -1}
26 1 X 25 24 {0, -1}
