22
yerdzt owaknw hgysso sjvbny utiswa hhmzif wvurbl nxyvab pcqcfg xbddie
8 1 9 2 10 5 4 3 7 6
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
5 9 X 1 3 {0, -1}
7 7 X 1 5 {0, -1}
11 6 X 7 1 {0, -1}
18 3 X 11 1 {0, -1}
10 6 X 5 1 {0, -1}
17 3 X 10 1 {0, -1}
21 2 X 18 17 {0, -1}
4 9 X 1 2 {0, -1}
9 6 X 1 4 {0, -1}
15 4 X 9 1 {0, -1}
6 8 X 1 4 {0, -1}
8 7 X 6 4 {0, -1}
12 6 X 7 8 {0, -1}
14 5 X 6 12 {0, -1}
13 5 X 1 11 {0, -1}
16 4 X 14 13 {0, -1}
19 3 X 15 16 {0, -1}
20 2 X 1 19 {0, -1}
22 1 X 21 20 {0, -1}
