100
nfnbbg mmfdwt ummjnd jtkova tepicg cflegg snvabc olyqcg xevkyc hzwbrb znsvtu vwetzg
5 4 9 2 11 1 12 10 8 6 7 3
3 13 1 -1 -1 {1}
1 13 -1 -1 -1 {-1}
6 12 X 3 1 {1, -1}
15 11 X 6 3 {1, -1}
9 11 X 1 3 {1, -1}
27 9 X 15 9 {1, -1}
2 13 0 -1 -1 {0}
5 12 X 2 3 {0, 1}
10 11 X 1 5 {0, 1, -1}
8 11 X 1 2 {0, -1}
17 10 X 10 8 {0, 1, -1}
30 9 X 15 17 {0, 1, -1}
4 12 X 2 1 {0, -1}
12 11 X 4 2 {0, -1}
19 10 X 15 12 {0, 1, -1}
32 9 X 19 17 {0, 1, -1}
42 8 X 30 32 {0, 1, -1}
55 7 X 27 42 {0, 1, -1}
28 9 X 15 10 {0, 1, -1}
41 8 X 28 27 {0, 1, -1}
54 7 X 27 41 {0, 1, -1}
69 6 X 55 54 {0, 1, -1}
13 11 X 4 3 {0, 1, -1}
20 10 X 15 13 {0, 1, -1}
35 9 X 20 10 {0, 1, -1}
45 8 X 35 3 {0, 1, -1}
33 9 X 20 8 {0, 1, -1}
43 8 X 33 3 {0, 1, -1}
61 7 X 45 43 {0, 1, -1}
74 6 X 61 45 {0, 1, -1}
86 4 X 69 74 {0, 1, -1}
7 12 X 3 2 {0, 1}
11 11 X 1 7 {0, 1, -1}
29 9 X 15 11 {0, 1, -1}
14 11 X 4 5 {0, 1, -1}
25 9 X 14 17 {0, 1, -1}
18 10 X 14 12 {0, 1, -1}
31 9 X 18 17 {0, 1, -1}
39 8 X 25 31 {0, 1, -1}
57 7 X 29 39 {0, 1, -1}
58 7 X 29 41 {0, 1, -1}
71 6 X 57 58 {0, 1, -1}
77 5 X 27 71 {0, 1, -1}
40 8 X 27 3 {1, -1}
59 7 X 43 45 {0, 1, -1}
62 6 X 43 59 {0, 1, -1}
79 5 X 40 62 {0, 1, -1}
89 4 X 77 79 {0, 1, -1}
94 3 X 86 89 {0, 1, -1}
16 11 X 6 5 {0, 1, -1}
21 10 X 16 13 {0, 1, -1}
36 9 X 21 10 {0, 1, -1}
46 8 X 36 3 {0, 1, -1}
75 6 X 61 46 {0, 1, -1}
87 4 X 69 75 {0, 1, -1}
53 7 X 27 39 {0, 1, -1}
68 6 X 53 54 {0, 1, -1}
85 5 X 68 71 {0, 1, -1}
93 4 X 85 62 {0, 1, -1}
95 3 X 87 93 {0, 1, -1}
98 2 X 94 95 {0, 1, -1}
26 9 X 15 8 {0, 1, -1}
22 10 X 16 14 {0, 1, -1}
37 9 X 22 10 {0, 1, -1}
47 8 X 37 27 {0, 1, -1}
51 7 X 26 47 {0, 1, -1}
50 7 X 26 41 {0, 1, -1}
66 6 X 51 50 {0, 1, -1}
24 9 X 14 10 {0, 1, -1}
38 8 X 24 27 {0, 1, -1}
49 7 X 26 38 {0, 1, -1}
64 6 X 49 50 {0, 1, -1}
83 5 X 66 64 {0, 1, -1}
91 4 X 83 59 {0, 1, -1}
23 9 X 13 11 {0, 1, -1}
48 7 X 23 38 {0, 1, -1}
63 6 X 48 58 {0, 1, -1}
76 5 X 27 63 {0, 1, -1}
78 5 X 40 59 {0, 1, -1}
88 4 X 76 78 {0, 1, -1}
97 3 X 91 88 {0, 1, -1}
65 6 X 49 54 {0, 1, -1}
82 5 X 64 65 {0, 1, -1}
34 9 X 20 9 {0, 1, -1}
44 8 X 34 3 {0, 1, -1}
60 7 X 44 45 {0, 1, -1}
73 6 X 59 60 {0, 1, -1}
81 5 X 59 73 {0, 1, -1}
90 4 X 82 81 {0, 1, -1}
52 7 X 27 38 {0, 1, -1}
67 6 X 52 54 {0, 1, -1}
56 7 X 29 38 {0, 1, -1}
70 6 X 56 27 {0, 1, -1}
84 5 X 67 70 {0, 1, -1}
72 6 X 59 44 {0, 1, -1}
80 5 X 59 72 {0, 1, -1}
92 4 X 84 80 {0, 1, -1}
96 3 X 90 92 {0, 1, -1}
99 2 X 97 96 {0, 1, -1}
100 1 X 98 99 {0, 1, -1}
