91
wboobz ftfcvg eplpqi jnawqg zrzyaa vbcfch zeczei xbrpgp cklcrx qrpbyy
2 7 4 3 10 1 6 9 5 8
2 11 0 -1 -1 {0}
1 11 -1 -1 -1 {-1}
3 10 X 1 2 {0, -1}
8 9 X 2 3 {0, -1}
19 8 X 3 8 {0, -1}
35 7 X 8 19 {0, -1}
62 6 X 35 1 {0, -1}
52 6 X 8 1 {0, -1}
77 5 X 62 52 {0, -1}
84 4 X 77 1 {0, -1}
15 8 X 1 8 {0, -1}
7 9 X 2 1 {0, -1}
14 8 X 1 7 {0, -1}
39 7 X 15 14 {0, -1}
34 7 X 8 14 {0, -1}
66 6 X 39 34 {0, -1}
5 9 X 1 2 {0, -1}
17 8 X 2 5 {0, -1}
4 10 X 2 1 {0, -1}
10 9 X 4 1 {0, -1}
25 8 X 7 10 {0, -1}
41 7 X 17 25 {0, -1}
67 6 X 39 41 {0, -1}
79 5 X 66 67 {0, -1}
9 9 X 3 1 {0, -1}
30 8 X 9 8 {0, -1}
36 7 X 8 30 {0, -1}
55 6 X 15 36 {0, -1}
11 9 X 4 2 {0, -1}
26 8 X 7 11 {0, -1}
42 7 X 17 26 {0, -1}
56 6 X 15 42 {0, -1}
74 5 X 55 56 {0, -1}
85 4 X 79 74 {0, -1}
88 3 X 84 85 {0, -1}
50 6 X 3 1 {0, -1}
69 5 X 1 50 {0, -1}
80 4 X 69 1 {0, -1}
32 7 X 3 9 {0, -1}
6 9 X 1 3 {0, -1}
29 8 X 9 6 {0, -1}
23 8 X 7 1 {0, -1}
48 7 X 29 23 {0, -1}
59 6 X 32 48 {0, -1}
70 5 X 1 59 {0, -1}
28 8 X 9 3 {0, -1}
33 7 X 3 28 {0, -1}
20 8 X 3 9 {0, -1}
43 7 X 20 28 {0, -1}
61 6 X 33 43 {0, -1}
16 8 X 2 1 {0, -1}
40 7 X 16 23 {0, -1}
60 6 X 33 40 {0, -1}
76 5 X 61 60 {0, -1}
81 4 X 70 76 {0, -1}
87 3 X 80 81 {0, -1}
90 2 X 88 87 {0, -1}
27 8 X 8 6 {0, -1}
18 8 X 3 6 {0, -1}
47 7 X 27 18 {0, -1}
63 6 X 35 47 {0, -1}
31 8 X 10 8 {0, -1}
49 7 X 31 8 {0, -1}
22 8 X 4 5 {0, -1}
45 7 X 22 17 {0, -1}
68 6 X 49 45 {0, -1}
78 5 X 63 68 {0, -1}
13 8 X 1 6 {0, -1}
46 7 X 27 13 {0, -1}
58 6 X 15 46 {0, -1}
57 6 X 15 45 {0, -1}
75 5 X 58 57 {0, -1}
12 8 X 1 3 {0, -1}
53 6 X 12 18 {0, -1}
54 6 X 12 45 {0, -1}
73 5 X 53 54 {0, -1}
83 4 X 75 73 {0, -1}
86 3 X 78 83 {0, -1}
37 7 X 12 3 {0, -1}
24 8 X 7 5 {0, -1}
38 7 X 13 24 {0, -1}
64 6 X 37 38 {0, -1}
71 5 X 1 64 {0, -1}
51 6 X 3 18 {0, -1}
21 8 X 4 1 {0, -1}
44 7 X 21 16 {0, -1}
65 6 X 37 44 {0, -1}
72 5 X 51 65 {0, -1}
82 4 X 71 72 {0, -1}
89 2 X 86 82 {0, -1}
91 1 X 90 89 {0, -1}
