41
fdkmtv hskigq ckjykw utchsz fiyecl shouyx zdnrcu vwfngf pnotrz ofzpub
10 8 5 4 6 9 1 2 7 3
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
5 9 X 1 3 {0, -1}
9 8 X 1 5 {0, -1}
8 8 X 1 3 {0, -1}
16 7 X 9 8 {0, -1}
25 6 X 16 8 {0, -1}
31 5 X 25 8 {0, -1}
6 9 X 3 1 {0, -1}
10 8 X 1 6 {0, -1}
17 7 X 10 1 {0, -1}
19 6 X 1 17 {0, -1}
26 5 X 10 19 {0, -1}
35 4 X 31 26 {0, -1}
38 3 X 35 1 {0, -1}
4 10 X 2 1 {0, -1}
7 9 X 4 1 {0, -1}
12 8 X 7 1 {0, -1}
14 7 X 1 12 {0, -1}
13 8 X 7 6 {0, -1}
24 6 X 14 13 {0, -1}
30 5 X 24 17 {0, -1}
34 4 X 30 26 {0, -1}
37 3 X 34 1 {0, -1}
40 2 X 38 37 {0, -1}
11 8 X 5 1 {0, -1}
18 7 X 11 1 {0, -1}
23 6 X 9 18 {0, -1}
20 6 X 1 18 {0, -1}
29 5 X 23 20 {0, -1}
32 4 X 9 29 {0, -1}
15 7 X 9 1 {0, -1}
22 6 X 9 15 {0, -1}
28 5 X 22 9 {0, -1}
21 6 X 9 1 {0, -1}
27 5 X 21 23 {0, -1}
33 4 X 28 27 {0, -1}
36 3 X 32 33 {0, -1}
39 2 X 1 36 {0, -1}
41 1 X 40 39 {0, -1}
