127
wooude dmaeog ahzntu xxnatc ncobuq hcjdve ytyfbu dxfjxp giqfae ymxepl hungll itpszm bzleec dzszui shesic rgbeoc
5 9 1 2 4 7 8 15 3 6 11 13 14 16 10 12
1 17 -1 -1 -1 {-1}
2 17 0 -1 -1 {0}
3 16 X 1 2 {0, -1}
4 15 X 1 3 {0, -1}
10 14 X 4 1 {0, -1}
22 13 X 10 1 {0, -1}
33 12 X 1 22 {0, -1}
9 14 X 3 1 {0, -1}
21 13 X 9 1 {0, -1}
32 12 X 1 21 {0, -1}
47 11 X 33 32 {0, -1}
64 10 X 1 47 {0, -1}
39 11 X 1 33 {0, -1}
38 11 X 1 32 {0, -1}
67 10 X 39 38 {0, -1}
90 8 X 64 67 {0, -1}
46 11 X 33 1 {0, -1}
63 10 X 1 46 {0, -1}
89 8 X 63 1 {0, -1}
107 6 X 90 89 {0, -1}
114 5 X 107 1 {0, -1}
54 10 X 1 33 {0, -1}
85 8 X 54 1 {0, -1}
5 15 X 2 3 {0, -1}
11 14 X 5 1 {0, -1}
23 13 X 11 1 {0, -1}
34 12 X 1 23 {0, -1}
48 11 X 34 1 {0, -1}
70 10 X 48 46 {0, -1}
78 9 X 70 1 {0, -1}
86 8 X 54 78 {0, -1}
99 7 X 85 86 {0, -1}
40 11 X 22 1 {0, -1}
57 10 X 1 40 {0, -1}
69 10 X 48 40 {0, -1}
77 9 X 69 1 {0, -1}
87 8 X 57 77 {0, -1}
101 7 X 89 87 {0, -1}
109 6 X 99 101 {0, -1}
35 12 X 22 1 {0, -1}
49 11 X 35 1 {0, -1}
65 10 X 1 49 {0, -1}
76 9 X 65 1 {0, -1}
94 8 X 76 1 {0, -1}
104 7 X 94 76 {0, -1}
105 6 X 1 104 {0, -1}
116 5 X 109 105 {0, -1}
121 4 X 114 116 {0, -1}
124 3 X 121 1 {0, -1}
126 2 X 124 1 {0, -1}
13 13 X 1 3 {0, -1}
24 12 X 1 13 {0, -1}
7 14 X 1 3 {0, -1}
16 13 X 1 7 {0, -1}
27 12 X 1 16 {0, -1}
6 15 X 3 1 {0, -1}
15 13 X 1 6 {0, -1}
26 12 X 1 15 {0, -1}
43 11 X 27 26 {0, -1}
79 8 X 24 43 {0, -1}
18 13 X 1 9 {0, -1}
29 12 X 1 18 {0, -1}
12 14 X 6 1 {0, -1}
20 13 X 1 12 {0, -1}
31 12 X 1 20 {0, -1}
37 11 X 1 31 {0, -1}
80 8 X 29 37 {0, -1}
96 7 X 80 79 {0, -1}
106 6 X 79 96 {0, -1}
8 14 X 1 4 {0, -1}
17 13 X 1 8 {0, -1}
28 12 X 1 17 {0, -1}
14 13 X 1 4 {0, -1}
25 12 X 1 14 {0, -1}
45 11 X 28 25 {0, -1}
62 10 X 1 45 {0, -1}
44 11 X 28 1 {0, -1}
61 10 X 1 44 {0, -1}
88 8 X 62 61 {0, -1}
51 10 X 1 25 {0, -1}
75 9 X 62 51 {0, -1}
93 8 X 75 61 {0, -1}
100 7 X 88 93 {0, -1}
19 13 X 1 10 {0, -1}
30 12 X 1 19 {0, -1}
36 11 X 1 30 {0, -1}
55 10 X 1 36 {0, -1}
72 9 X 55 62 {0, -1}
71 9 X 1 61 {0, -1}
92 8 X 72 71 {0, -1}
103 7 X 92 93 {0, -1}
110 6 X 100 103 {0, -1}
113 5 X 106 110 {0, -1}
66 10 X 24 25 {0, -1}
68 10 X 43 44 {0, -1}
91 8 X 66 68 {0, -1}
42 11 X 25 1 {0, -1}
59 10 X 1 42 {0, -1}
74 9 X 59 61 {0, -1}
82 8 X 51 74 {0, -1}
102 7 X 91 82 {0, -1}
53 10 X 1 30 {0, -1}
84 8 X 53 1 {0, -1}
98 7 X 84 82 {0, -1}
111 6 X 102 98 {0, -1}
117 5 X 111 1 {0, -1}
120 4 X 113 117 {0, -1}
50 10 X 1 24 {0, -1}
41 11 X 24 26 {0, -1}
58 10 X 1 41 {0, -1}
60 10 X 1 43 {0, -1}
73 9 X 58 60 {0, -1}
81 8 X 50 73 {0, -1}
95 7 X 79 81 {0, -1}
52 10 X 1 29 {0, -1}
56 10 X 1 37 {0, -1}
83 8 X 52 56 {0, -1}
97 7 X 83 81 {0, -1}
108 6 X 95 97 {0, -1}
115 5 X 108 1 {0, -1}
118 4 X 1 115 {0, -1}
123 3 X 120 118 {0, -1}
112 5 X 106 1 {0, -1}
119 4 X 112 117 {0, -1}
122 3 X 119 118 {0, -1}
125 2 X 123 122 {0, -1}
127 1 X 126 125 {0, -1}
