36
hfarbl ugcujk lukbfy ahpzbq yuwmaa mwrtvz ueiotj cyfemp
4 2 3 7 5 8 6 1
1 9 -1 -1 -1 {-1}
2 9 0 -1 -1 {0}
3 8 X 1 2 {0, -1}
5 7 X 1 3 {0, -1}
8 7 X 3 1 {0, -1}
16 6 X 5 8 {0, -1}
4 8 X 2 1 {0, -1}
9 7 X 4 1 {0, -1}
12 6 X 1 9 {0, -1}
25 5 X 16 12 {0, -1}
27 4 X 1 25 {0, -1}
31 3 X 1 27 {0, -1}
13 6 X 3 2 {0, -1}
7 7 X 2 3 {0, -1}
14 6 X 3 7 {0, -1}
24 5 X 14 13 {0, -1}
28 4 X 13 24 {0, -1}
18 5 X 2 4 {0, -1}
19 5 X 7 4 {0, -1}
29 4 X 18 19 {0, -1}
33 3 X 28 29 {0, -1}
35 2 X 31 33 {0, -1}
11 6 X 1 8 {0, -1}
6 7 X 2 1 {0, -1}
15 6 X 5 6 {0, -1}
22 5 X 11 15 {0, -1}
26 4 X 1 22 {0, -1}
10 6 X 1 7 {0, -1}
17 6 X 7 2 {0, -1}
21 5 X 10 17 {0, -1}
20 5 X 10 2 {0, -1}
23 5 X 12 6 {0, -1}
30 4 X 20 23 {0, -1}
32 3 X 21 30 {0, -1}
34 2 X 26 32 {0, -1}
36 1 X 35 34 {0, -1}
