60
nphkas ehffdf xlpqcu pivjuc ivllkd kuqdkk wxheam wotsqh ezwxhj fvbsld ajxihj hclrja atgrhk wbzdgh
2 7 12 8 10 3 4 5 9 13 1 6 11 14
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
3 14 X 1 2 {0, -1}
4 13 X 1 3 {0, -1}
7 11 X 1 4 {0, -1}
14 9 X 1 7 {0, -1}
10 10 X 7 1 {0, -1}
16 9 X 1 10 {0, -1}
22 8 X 14 16 {0, -1}
31 7 X 22 1 {0, -1}
37 6 X 1 31 {0, -1}
5 12 X 1 4 {0, -1}
8 11 X 1 5 {0, -1}
11 10 X 8 1 {0, -1}
17 9 X 1 11 {0, -1}
15 9 X 1 8 {0, -1}
23 8 X 15 17 {0, -1}
32 7 X 23 1 {0, -1}
39 6 X 17 32 {0, -1}
46 5 X 37 39 {0, -1}
21 8 X 10 1 {0, -1}
40 6 X 21 31 {0, -1}
24 8 X 17 1 {0, -1}
41 6 X 24 32 {0, -1}
48 5 X 40 41 {0, -1}
53 4 X 46 48 {0, -1}
56 3 X 53 1 {0, -1}
6 12 X 4 1 {0, -1}
9 11 X 1 6 {0, -1}
13 10 X 9 1 {0, -1}
20 9 X 13 1 {0, -1}
30 7 X 20 1 {0, -1}
36 6 X 1 30 {0, -1}
45 5 X 36 1 {0, -1}
27 8 X 20 1 {0, -1}
35 7 X 27 1 {0, -1}
38 6 X 1 35 {0, -1}
47 5 X 38 1 {0, -1}
52 4 X 45 47 {0, -1}
19 9 X 10 1 {0, -1}
26 8 X 19 1 {0, -1}
34 7 X 26 1 {0, -1}
42 6 X 26 34 {0, -1}
49 5 X 42 1 {0, -1}
51 4 X 1 49 {0, -1}
55 3 X 52 51 {0, -1}
58 2 X 56 55 {0, -1}
28 7 X 11 1 {0, -1}
12 10 X 8 7 {0, -1}
18 9 X 1 12 {0, -1}
25 8 X 18 17 {0, -1}
33 7 X 25 1 {0, -1}
43 6 X 28 33 {0, -1}
29 7 X 17 1 {0, -1}
44 6 X 29 32 {0, -1}
50 5 X 43 44 {0, -1}
54 4 X 50 1 {0, -1}
57 3 X 54 1 {0, -1}
59 2 X 57 1 {0, -1}
60 1 X 58 59 {0, -1}
