571
yztftj dtlkbg hwrpwd gfqtgf hyytxn fkbalp vgbhpb misxre wfratl zcsuxc iysdfz qxuayb ouxplr jroezz fyprnr jybmus qkpeub jkyfsv qsvndp efaarb
8 3 5 1 7 12 13 15 17 10 14 16 2 9 19 20 4 6 11 18
3 21 1 -1 -1 {1}
2 21 0 -1 -1 {0}
5 20 X 2 3 {0, 1}
25 17 X 3 5 {0, 1}
57 16 X 3 25 {0, 1}
109 15 X 57 3 {0, 1}
174 14 X 109 3 {0, 1}
153 14 X 57 3 {0, 1}
220 13 X 153 174 {0, 1}
282 12 X 3 220 {0, 1}
314 11 X 174 282 {0, 1}
263 12 X 3 174 {0, 1}
337 11 X 263 282 {0, 1}
438 9 X 314 337 {0, 1}
468 8 X 3 438 {0, 1}
516 7 X 468 3 {0, 1}
9 19 X 3 5 {0, 1}
27 17 X 3 9 {0, 1}
59 16 X 3 27 {0, 1}
110 15 X 59 3 {0, 1}
175 14 X 110 3 {0, 1}
237 13 X 175 3 {0, 1}
111 15 X 59 57 {0, 1}
176 14 X 111 3 {0, 1}
238 13 X 176 3 {0, 1}
287 12 X 3 238 {0, 1}
322 11 X 237 287 {0, 1}
394 10 X 322 3 {0, 1}
286 12 X 3 237 {0, 1}
359 11 X 286 287 {0, 1}
420 10 X 359 3 {0, 1}
445 9 X 394 420 {0, 1}
473 8 X 3 445 {0, 1}
521 7 X 473 3 {0, 1}
537 6 X 516 521 {0, 1}
555 5 X 537 3 {0, 1}
311 11 X 3 282 {0, 1}
464 8 X 3 311 {0, 1}
512 7 X 464 3 {0, 1}
535 6 X 512 3 {0, 1}
131 14 X 3 57 {0, 1}
200 13 X 131 3 {0, 1}
270 12 X 3 200 {0, 1}
344 11 X 270 3 {0, 1}
407 10 X 344 3 {0, 1}
450 9 X 407 3 {0, 1}
477 8 X 3 450 {0, 1}
16 18 X 5 3 {0, 1}
35 17 X 16 3 {0, 1}
65 16 X 3 35 {0, 1}
95 15 X 3 65 {0, 1}
139 14 X 3 95 {0, 1}
181 13 X 3 139 {0, 1}
51 16 X 3 2 {0, 1}
129 14 X 3 51 {0, 1}
13 18 X 2 3 {0, 1}
33 17 X 13 3 {0, 1}
64 16 X 3 33 {0, 1}
132 14 X 3 64 {0, 1}
198 13 X 129 132 {0, 1}
292 12 X 181 198 {0, 1}
364 11 X 292 3 {0, 1}
290 12 X 181 132 {0, 1}
362 11 X 290 3 {0, 1}
422 10 X 364 362 {0, 1}
52 16 X 3 5 {0, 1}
130 14 X 3 52 {0, 1}
133 14 X 3 65 {0, 1}
199 13 X 130 133 {0, 1}
293 12 X 181 199 {0, 1}
365 11 X 293 3 {0, 1}
291 12 X 181 133 {0, 1}
363 11 X 291 3 {0, 1}
423 10 X 365 363 {0, 1}
486 8 X 422 423 {0, 1}
525 7 X 477 486 {0, 1}
19 18 X 9 3 {0, 1}
29 17 X 3 19 {0, 1}
61 16 X 3 29 {0, 1}
28 17 X 3 16 {0, 1}
60 16 X 3 28 {0, 1}
112 15 X 61 60 {0, 1}
143 14 X 3 112 {0, 1}
209 13 X 143 3 {0, 1}
278 12 X 3 209 {0, 1}
352 11 X 278 3 {0, 1}
413 10 X 352 3 {0, 1}
456 9 X 413 3 {0, 1}
478 8 X 3 456 {0, 1}
8 19 X 3 2 {0, 1}
18 18 X 8 3 {0, 1}
55 16 X 3 18 {0, 1}
38 17 X 18 13 {0, 1}
67 16 X 3 38 {0, 1}
107 15 X 55 67 {0, 1}
141 14 X 3 107 {0, 1}
207 13 X 141 3 {0, 1}
276 12 X 3 207 {0, 1}
350 11 X 276 3 {0, 1}
37 17 X 18 3 {0, 1}
66 16 X 3 37 {0, 1}
134 14 X 3 66 {0, 1}
201 13 X 134 3 {0, 1}
271 12 X 3 201 {0, 1}
345 11 X 271 3 {0, 1}
410 10 X 350 345 {0, 1}
127 14 X 3 37 {0, 1}
196 13 X 127 3 {0, 1}
267 12 X 3 196 {0, 1}
341 11 X 267 3 {0, 1}
409 10 X 350 341 {0, 1}
452 9 X 410 409 {0, 1}
56 16 X 3 19 {0, 1}
40 17 X 19 16 {0, 1}
69 16 X 3 40 {0, 1}
108 15 X 56 69 {0, 1}
142 14 X 3 108 {0, 1}
208 13 X 142 3 {0, 1}
277 12 X 3 208 {0, 1}
351 11 X 277 3 {0, 1}
39 17 X 19 3 {0, 1}
68 16 X 3 39 {0, 1}
135 14 X 3 68 {0, 1}
202 13 X 135 3 {0, 1}
272 12 X 3 202 {0, 1}
346 11 X 272 3 {0, 1}
412 10 X 351 346 {0, 1}
128 14 X 3 39 {0, 1}
197 13 X 128 3 {0, 1}
268 12 X 3 197 {0, 1}
342 11 X 268 3 {0, 1}
411 10 X 351 342 {0, 1}
454 9 X 412 411 {0, 1}
494 8 X 452 454 {0, 1}
527 7 X 478 494 {0, 1}
