78
nngpbp obcgea zgwkpp thewhi xosytu udakwz qwukln extcml ojabxd edwdrg
7 6 1 2 10 3 9 8 4 5
2 11 0 -1 -1 {0}
3 11 1 -1 -1 {1}
5 10 X 2 3 {0, 1}
9 9 X 3 5 {0, 1}
22 8 X 5 9 {0, 1}
35 7 X 22 5 {0, 1}
29 7 X 9 5 {0, 1}
51 6 X 35 29 {0, 1}
46 6 X 22 35 {0, 1}
67 4 X 51 46 {0, 1}
66 4 X 35 22 {0, 1}
73 3 X 67 66 {0, 1}
8 9 X 3 2 {0, 1}
16 8 X 2 8 {0, 1}
30 7 X 16 22 {0, 1}
28 7 X 8 9 {0, 1}
48 6 X 30 28 {0, 1}
7 9 X 2 5 {0, 1}
23 8 X 7 9 {0, 1}
37 7 X 23 22 {0, 1}
53 6 X 37 9 {0, 1}
61 5 X 48 53 {0, 1}
57 5 X 28 9 {0, 1}
68 4 X 61 57 {0, 1}
6 10 X 3 2 {0, 1}
13 9 X 6 3 {0, 1}
26 8 X 13 8 {0, 1}
41 7 X 26 22 {0, 1}
49 6 X 30 41 {0, 1}
62 5 X 49 22 {0, 1}
10 9 X 3 6 {0, 1}
19 8 X 3 10 {0, 1}
33 7 X 19 3 {0, 1}
47 6 X 28 33 {0, 1}
43 6 X 9 3 {0, 1}
60 5 X 47 43 {0, 1}
69 4 X 62 60 {0, 1}
74 3 X 68 69 {0, 1}
76 2 X 73 74 {0, 1}
11 9 X 5 2 {0, 1}
25 8 X 11 8 {0, 1}
39 7 X 25 2 {0, 1}
18 8 X 3 8 {0, 1}
32 7 X 18 3 {0, 1}
55 6 X 39 32 {0, 1}
36 7 X 22 7 {0, 1}
52 6 X 36 3 {0, 1}
64 5 X 55 52 {0, 1}
44 6 X 16 32 {0, 1}
14 9 X 6 5 {0, 1}
24 8 X 7 14 {0, 1}
38 7 X 23 24 {0, 1}
54 6 X 38 3 {0, 1}
58 5 X 44 54 {0, 1}
71 4 X 64 58 {0, 1}
50 6 X 35 3 {0, 1}
63 5 X 55 50 {0, 1}
21 8 X 5 2 {0, 1}
17 8 X 3 2 {0, 1}
31 7 X 17 3 {0, 1}
45 6 X 21 31 {0, 1}
12 9 X 5 3 {0, 1}
20 8 X 3 12 {0, 1}
34 7 X 20 3 {0, 1}
42 6 X 5 34 {0, 1}
59 5 X 45 42 {0, 1}
70 4 X 63 59 {0, 1}
75 3 X 71 70 {0, 1}
40 7 X 25 22 {0, 1}
56 6 X 40 3 {0, 1}
1 11 -1 -1 -1 {-1}
4 10 X 1 3 {1, -1}
15 8 X 1 4 {1, -1}
27 7 X 1 15 {1, -1}
65 5 X 56 27 {0, 1, -1}
72 4 X 65 27 {0, 1, -1}
77 2 X 75 72 {0, 1, -1}
78 1 X 76 77 {0, 1, -1}
