25
zzyjzi ouwbmp pfjbcn bzgpzt ygkffh hlexvc plsebe nfcgan
4 6 5 3 7 1 2 8
1 9 -1 -1 -1 {-1}
2 9 0 -1 -1 {0}
3 8 X 1 2 {0, -1}
5 7 X 3 1 {0, -1}
6 6 X 1 5 {0, -1}
13 5 X 6 1 {0, -1}
4 7 X 2 1 {0, -1}
11 5 X 5 4 {0, -1}
19 4 X 13 11 {0, -1}
7 6 X 4 1 {0, -1}
12 5 X 5 7 {0, -1}
22 3 X 19 12 {0, -1}
10 5 X 5 1 {0, -1}
18 4 X 10 13 {0, -1}
24 2 X 22 18 {0, -1}
8 6 X 4 5 {0, -1}
14 5 X 8 7 {0, -1}
15 4 X 1 12 {0, -1}
20 3 X 14 15 {0, -1}
9 5 X 3 1 {0, -1}
17 4 X 9 13 {0, -1}
16 4 X 1 13 {0, -1}
21 3 X 17 16 {0, -1}
23 2 X 20 21 {0, -1}
25 1 X 24 23 {0, -1}
