46
cgvxbq jfvgqh hhbqdm pwkayy cpkplu ilnwjn wtbdzh teugnz htkoqi yyhobd
9 6 3 10 7 4 1 5 2 8
2 11 0 -1 -1 {0}
1 11 -1 -1 -1 {-1}
3 10 X 2 1 {0, -1}
5 9 X 3 1 {0, -1}
12 8 X 5 1 {0, -1}
23 6 X 12 1 {0, -1}
37 4 X 23 1 {0, -1}
20 7 X 12 1 {0, -1}
22 6 X 1 20 {0, -1}
6 9 X 3 2 {0, -1}
13 8 X 6 1 {0, -1}
21 7 X 13 1 {0, -1}
30 5 X 20 21 {0, -1}
36 4 X 22 30 {0, -1}
42 3 X 37 36 {0, -1}
14 7 X 1 5 {0, -1}
24 6 X 14 1 {0, -1}
38 4 X 24 1 {0, -1}
45 2 X 42 38 {0, -1}
27 5 X 1 12 {0, -1}
34 4 X 1 27 {0, -1}
9 8 X 3 1 {0, -1}
16 7 X 2 9 {0, -1}
4 9 X 2 1 {0, -1}
10 8 X 4 1 {0, -1}
19 7 X 10 12 {0, -1}
25 6 X 16 19 {0, -1}
31 5 X 20 25 {0, -1}
35 4 X 1 31 {0, -1}
41 3 X 34 35 {0, -1}
11 8 X 4 2 {0, -1}
15 7 X 1 11 {0, -1}
32 5 X 24 15 {0, -1}
28 5 X 1 15 {0, -1}
39 4 X 32 28 {0, -1}
8 8 X 2 4 {0, -1}
18 7 X 8 2 {0, -1}
7 8 X 2 1 {0, -1}
17 7 X 7 2 {0, -1}
26 6 X 18 17 {0, -1}
33 5 X 24 26 {0, -1}
29 5 X 1 26 {0, -1}
40 4 X 33 29 {0, -1}
43 3 X 39 40 {0, -1}
44 2 X 41 43 {0, -1}
46 1 X 45 44 {0, -1}
