100
pcxuml jtcxfu fyvpwr tgbumt arexue ojfmwk athbds qldusw kkzfzs hsfkxf uvabwc ooywdd vhohvw inzdvy
3 6 12 9 14 10 8 2 7 13 4 5 1 11
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
4 14 X 2 1 {0, -1}
14 12 X 4 2 {0, -1}
25 11 X 1 14 {0, -1}
39 10 X 25 1 {0, -1}
18 11 X 1 2 {0, -1}
31 10 X 18 1 {0, -1}
81 5 X 39 31 {0, -1}
90 4 X 1 81 {0, -1}
94 3 X 1 90 {0, -1}
7 13 X 4 1 {0, -1}
10 12 X 1 7 {0, -1}
9 12 X 1 4 {0, -1}
28 11 X 10 9 {0, -1}
27 11 X 10 1 {0, -1}
41 10 X 28 27 {0, -1}
51 9 X 41 1 {0, -1}
61 8 X 51 1 {0, -1}
21 11 X 1 9 {0, -1}
34 10 X 21 1 {0, -1}
46 9 X 34 1 {0, -1}
58 8 X 46 1 {0, -1}
70 7 X 61 58 {0, -1}
19 11 X 1 4 {0, -1}
32 10 X 19 1 {0, -1}
45 9 X 32 1 {0, -1}
57 8 X 45 1 {0, -1}
78 6 X 70 57 {0, -1}
87 5 X 78 1 {0, -1}
53 8 X 1 39 {0, -1}
72 6 X 1 53 {0, -1}
44 9 X 31 32 {0, -1}
66 7 X 32 44 {0, -1}
73 6 X 1 66 {0, -1}
85 5 X 72 73 {0, -1}
93 4 X 87 85 {0, -1}
95 3 X 1 93 {0, -1}
98 2 X 94 95 {0, -1}
3 14 X 1 2 {0, -1}
6 13 X 3 2 {0, -1}
16 12 X 6 1 {0, -1}
26 11 X 1 16 {0, -1}
40 10 X 26 1 {0, -1}
11 12 X 2 1 {0, -1}
22 11 X 1 11 {0, -1}
35 10 X 22 1 {0, -1}
50 9 X 40 35 {0, -1}
12 12 X 3 1 {0, -1}
23 11 X 1 12 {0, -1}
37 10 X 23 1 {0, -1}
48 9 X 37 35 {0, -1}
59 8 X 50 48 {0, -1}
5 13 X 2 1 {0, -1}
15 12 X 5 1 {0, -1}
29 11 X 15 1 {0, -1}
36 10 X 22 29 {0, -1}
49 9 X 37 36 {0, -1}
60 8 X 50 49 {0, -1}
69 7 X 59 60 {0, -1}
75 6 X 1 69 {0, -1}
80 5 X 1 75 {0, -1}
89 4 X 1 80 {0, -1}
54 8 X 34 1 {0, -1}
63 7 X 1 54 {0, -1}
65 7 X 1 58 {0, -1}
76 6 X 63 65 {0, -1}
17 12 X 7 1 {0, -1}
30 11 X 17 4 {0, -1}
42 10 X 30 1 {0, -1}
43 9 X 1 42 {0, -1}
56 8 X 43 1 {0, -1}
64 7 X 1 56 {0, -1}
77 6 X 64 1 {0, -1}
86 5 X 76 77 {0, -1}
8 12 X 1 2 {0, -1}
20 11 X 1 8 {0, -1}
33 10 X 20 1 {0, -1}
62 7 X 1 33 {0, -1}
55 8 X 35 31 {0, -1}
68 7 X 55 31 {0, -1}
83 5 X 62 68 {0, -1}
92 4 X 86 83 {0, -1}
97 3 X 89 92 {0, -1}
13 12 X 4 1 {0, -1}
24 11 X 1 13 {0, -1}
38 10 X 24 1 {0, -1}
47 9 X 35 38 {0, -1}
67 7 X 38 47 {0, -1}
74 6 X 1 67 {0, -1}
79 5 X 1 74 {0, -1}
88 4 X 1 79 {0, -1}
82 5 X 58 1 {0, -1}
52 8 X 1 33 {0, -1}
71 6 X 1 52 {0, -1}
84 5 X 71 73 {0, -1}
91 4 X 82 84 {0, -1}
96 3 X 88 91 {0, -1}
99 2 X 97 96 {0, -1}
100 1 X 98 99 {0, -1}
