36
xybzed dnkvzh pcdfxi qsfzem ygvgob cknmxp tcqgvr nqrxxm hosrzl rhpipf eucjwn txgmwh
4 6 7 8 5 2 10 9 12 11 1 3
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
3 12 X 1 2 {0, -1}
4 11 X 1 3 {0, -1}
7 10 X 4 1 {0, -1}
10 9 X 7 1 {0, -1}
13 7 X 4 10 {0, -1}
18 6 X 13 1 {0, -1}
24 5 X 18 1 {0, -1}
14 7 X 7 10 {0, -1}
19 6 X 13 14 {0, -1}
25 5 X 19 1 {0, -1}
29 4 X 24 25 {0, -1}
33 3 X 29 1 {0, -1}
35 2 X 33 1 {0, -1}
22 5 X 7 1 {0, -1}
28 4 X 1 22 {0, -1}
6 10 X 1 4 {0, -1}
9 9 X 1 6 {0, -1}
5 10 X 1 3 {0, -1}
8 9 X 1 5 {0, -1}
15 7 X 9 8 {0, -1}
20 6 X 15 1 {0, -1}
16 6 X 8 1 {0, -1}
26 5 X 20 16 {0, -1}
11 9 X 7 4 {0, -1}
23 5 X 11 9 {0, -1}
30 4 X 26 23 {0, -1}
32 3 X 28 30 {0, -1}
12 8 X 1 6 {0, -1}
17 6 X 12 1 {0, -1}
21 5 X 1 17 {0, -1}
27 4 X 1 21 {0, -1}
31 3 X 1 27 {0, -1}
34 2 X 32 31 {0, -1}
36 1 X 35 34 {0, -1}
