32
vvjpvj allgeq titebw zcstlk ndfvtr vjdqmt hlxzxi lpsnry utphdb ramjll fuibhx jrazmz
9 1 2 8 5 6 12 11 4 10 7 3
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
4 12 X 2 1 {0, -1}
8 11 X 4 1 {0, -1}
13 9 X 8 1 {0, -1}
16 8 X 1 13 {0, -1}
18 7 X 1 16 {0, -1}
22 6 X 18 1 {0, -1}
25 5 X 22 1 {0, -1}
3 12 X 1 2 {0, -1}
6 11 X 1 3 {0, -1}
9 10 X 1 6 {0, -1}
12 9 X 1 9 {0, -1}
15 8 X 1 12 {0, -1}
20 7 X 15 1 {0, -1}
21 6 X 1 20 {0, -1}
24 5 X 1 21 {0, -1}
28 4 X 25 24 {0, -1}
30 3 X 28 1 {0, -1}
5 11 X 1 2 {0, -1}
11 10 X 5 1 {0, -1}
7 11 X 1 4 {0, -1}
10 10 X 4 7 {0, -1}
14 9 X 10 7 {0, -1}
17 8 X 11 14 {0, -1}
19 7 X 1 17 {0, -1}
23 6 X 19 1 {0, -1}
27 4 X 23 24 {0, -1}
26 4 X 1 24 {0, -1}
29 3 X 27 26 {0, -1}
31 2 X 30 29 {0, -1}
32 1 X 1 31 {0, -1}
