91
zefgrq jlrubs zjncup txcjhb wodwfn wpuhss zfcmzv nrvcrn yplott kkfvfr fmitpx kwolia uasszf attckg
4 13 12 6 5 8 11 2 9 10 14 7 3 1
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
3 14 X 1 2 {0, -1}
6 13 X 3 2 {0, -1}
13 12 X 6 1 {0, -1}
20 11 X 13 6 {0, -1}
33 10 X 20 1 {0, -1}
35 9 X 1 33 {0, -1}
47 8 X 1 35 {0, -1}
60 7 X 1 47 {0, -1}
75 5 X 60 1 {0, -1}
5 13 X 3 1 {0, -1}
9 12 X 1 5 {0, -1}
15 11 X 1 9 {0, -1}
30 10 X 15 1 {0, -1}
44 9 X 30 33 {0, -1}
48 8 X 1 44 {0, -1}
61 7 X 1 48 {0, -1}
76 5 X 61 1 {0, -1}
84 4 X 75 76 {0, -1}
86 3 X 1 84 {0, -1}
14 12 X 6 5 {0, -1}
21 11 X 13 14 {0, -1}
34 10 X 21 1 {0, -1}
46 9 X 34 33 {0, -1}
49 8 X 1 46 {0, -1}
62 7 X 1 49 {0, -1}
77 5 X 62 1 {0, -1}
81 4 X 1 77 {0, -1}
85 3 X 1 81 {0, -1}
89 2 X 86 85 {0, -1}
4 13 X 2 1 {0, -1}
8 12 X 1 4 {0, -1}
16 11 X 8 1 {0, -1}
22 10 X 1 16 {0, -1}
36 9 X 22 1 {0, -1}
51 8 X 36 1 {0, -1}
64 7 X 51 1 {0, -1}
68 6 X 1 64 {0, -1}
80 4 X 1 68 {0, -1}
11 12 X 3 4 {0, -1}
26 10 X 11 1 {0, -1}
38 9 X 26 1 {0, -1}
56 7 X 1 38 {0, -1}
12 12 X 3 5 {0, -1}
28 10 X 12 1 {0, -1}
42 9 X 28 1 {0, -1}
58 7 X 1 42 {0, -1}
74 5 X 56 58 {0, -1}
23 10 X 2 1 {0, -1}
39 9 X 26 23 {0, -1}
57 7 X 1 39 {0, -1}
27 10 X 11 8 {0, -1}
10 12 X 2 4 {0, -1}
25 10 X 10 8 {0, -1}
41 9 X 27 25 {0, -1}
52 8 X 41 1 {0, -1}
7 12 X 1 2 {0, -1}
24 10 X 2 7 {0, -1}
40 9 X 27 24 {0, -1}
65 7 X 52 40 {0, -1}
70 6 X 57 65 {0, -1}
29 10 X 12 9 {0, -1}
43 9 X 29 1 {0, -1}
53 8 X 43 1 {0, -1}
66 7 X 53 43 {0, -1}
71 6 X 58 66 {0, -1}
79 5 X 70 71 {0, -1}
83 4 X 74 79 {0, -1}
88 3 X 80 83 {0, -1}
73 5 X 1 58 {0, -1}
37 9 X 25 24 {0, -1}
55 7 X 1 37 {0, -1}
18 11 X 10 1 {0, -1}
31 10 X 18 16 {0, -1}
50 8 X 31 1 {0, -1}
63 7 X 50 37 {0, -1}
69 6 X 55 63 {0, -1}
59 7 X 1 43 {0, -1}
19 11 X 12 1 {0, -1}
17 11 X 9 1 {0, -1}
32 10 X 19 17 {0, -1}
45 9 X 32 1 {0, -1}
54 8 X 45 1 {0, -1}
67 7 X 54 43 {0, -1}
72 6 X 59 67 {0, -1}
78 5 X 69 72 {0, -1}
82 4 X 73 78 {0, -1}
87 3 X 80 82 {0, -1}
90 2 X 88 87 {0, -1}
91 1 X 89 90 {0, -1}
