44
kikfju ykempw dyihbp uojeyh tmppcf ghrwry oofvfe wgrxkf zydbuw szejoj
6 2 10 5 9 8 7 3 1 4
2 11 0 -1 -1 {0}
1 11 -1 -1 -1 {-1}
3 10 X 2 1 {0, -1}
6 9 X 3 1 {0, -1}
16 7 X 6 1 {0, -1}
10 8 X 3 6 {0, -1}
18 7 X 10 1 {0, -1}
25 6 X 16 18 {0, -1}
11 8 X 6 1 {0, -1}
20 7 X 11 1 {0, -1}
27 6 X 20 1 {0, -1}
31 5 X 25 27 {0, -1}
13 7 X 3 1 {0, -1}
24 6 X 16 13 {0, -1}
4 9 X 2 1 {0, -1}
12 8 X 6 4 {0, -1}
21 7 X 12 1 {0, -1}
5 9 X 2 3 {0, -1}
15 7 X 5 1 {0, -1}
28 6 X 21 15 {0, -1}
30 5 X 24 28 {0, -1}
38 4 X 31 30 {0, -1}
33 4 X 1 16 {0, -1}
41 3 X 38 33 {0, -1}
26 6 X 18 13 {0, -1}
7 9 X 3 2 {0, -1}
17 7 X 7 1 {0, -1}
32 5 X 26 17 {0, -1}
37 4 X 27 32 {0, -1}
22 6 X 13 17 {0, -1}
29 5 X 18 22 {0, -1}
34 4 X 1 29 {0, -1}
40 3 X 37 34 {0, -1}
43 2 X 41 40 {0, -1}
36 4 X 25 24 {0, -1}
39 3 X 36 16 {0, -1}
8 8 X 1 3 {0, -1}
14 7 X 3 8 {0, -1}
9 8 X 1 6 {0, -1}
19 7 X 10 9 {0, -1}
23 6 X 14 19 {0, -1}
35 4 X 23 14 {0, -1}
42 2 X 39 35 {0, -1}
44 1 X 43 42 {0, -1}
