237
jvovnt dkjzug mbwufa updpwi dnxzqu lairig afaqvw mlbdyd hyaebr smtgfc gkujar gbifil baemwv aoefyz ewqfam vbfflx
14 11 12 2 7 16 6 4 1 15 13 5 8 10 9 3
3 17 1 -1 -1 {1}
1 17 -1 -1 -1 {-1}
7 16 X 3 1 {1, -1}
12 15 X 3 7 {1, -1}
11 15 X 3 1 {1, -1}
63 12 X 12 11 {1, -1}
17 15 X 7 1 {1, -1}
39 13 X 11 17 {1, -1}
64 12 X 12 39 {1, -1}
101 10 X 63 64 {1, -1}
33 13 X 3 7 {1, -1}
59 12 X 3 33 {1, -1}
100 10 X 3 59 {1, -1}
143 9 X 101 100 {1, -1}
90 11 X 63 11 {1, -1}
137 9 X 90 3 {1, -1}
190 7 X 143 137 {1, -1}
62 12 X 7 1 {1, -1}
134 9 X 62 100 {1, -1}
89 11 X 62 1 {1, -1}
136 9 X 89 3 {1, -1}
187 7 X 134 136 {1, -1}
206 6 X 190 187 {1, -1}
99 10 X 3 7 {1, -1}
133 9 X 62 99 {1, -1}
186 7 X 133 136 {1, -1}
224 4 X 206 186 {1, -1}
135 9 X 63 3 {1, -1}
188 7 X 135 137 {1, -1}
132 9 X 62 3 {1, -1}
185 7 X 132 136 {1, -1}
205 6 X 188 185 {1, -1}
223 4 X 205 185 {1, -1}
231 3 X 224 223 {1, -1}
2 17 0 -1 -1 {0}
9 15 X 2 1 {0, -1}
37 13 X 9 1 {0, -1}
54 12 X 1 37 {0, -1}
4 16 X 1 2 {0, -1}
14 15 X 4 1 {0, -1}
30 14 X 14 1 {0, -1}
52 13 X 30 1 {0, -1}
40 13 X 14 1 {0, -1}
71 12 X 52 40 {0, -1}
82 11 X 54 71 {0, -1}
113 10 X 82 1 {0, -1}
55 12 X 1 40 {0, -1}
83 11 X 55 71 {0, -1}
114 10 X 83 1 {0, -1}
150 9 X 113 114 {0, -1}
28 14 X 9 1 {0, -1}
51 13 X 28 1 {0, -1}
70 12 X 51 37 {0, -1}
94 11 X 70 1 {0, -1}
21 14 X 1 14 {0, -1}
44 13 X 21 1 {0, -1}
57 12 X 1 44 {0, -1}
85 11 X 57 1 {0, -1}
122 10 X 94 85 {0, -1}
95 11 X 71 1 {0, -1}
123 10 X 95 85 {0, -1}
155 9 X 122 123 {0, -1}
167 8 X 150 155 {0, -1}
20 14 X 1 9 {0, -1}
43 13 X 20 1 {0, -1}
67 12 X 44 43 {0, -1}
91 11 X 67 1 {0, -1}
119 10 X 91 1 {0, -1}
77 11 X 44 1 {0, -1}
107 10 X 77 1 {0, -1}
153 9 X 119 107 {0, -1}
76 11 X 43 1 {0, -1}
106 10 X 76 77 {0, -1}
146 9 X 106 77 {0, -1}
170 8 X 153 146 {0, -1}
195 7 X 167 170 {0, -1}
211 6 X 195 1 {0, -1}
32 13 X 1 11 {1, -1}
65 12 X 32 1 {1, -1}
102 10 X 65 32 {1, -1}
128 9 X 1 102 {1, -1}
198 6 X 1 128 {1, -1}
221 5 X 211 198 {0, 1, -1}
5 16 X 2 1 {0, -1}
15 15 X 5 1 {0, -1}
41 13 X 15 1 {0, -1}
56 12 X 1 41 {0, -1}
84 11 X 56 71 {0, -1}
115 10 X 84 1 {0, -1}
151 9 X 115 1 {0, -1}
98 10 X 1 85 {0, -1}
139 9 X 98 123 {0, -1}
168 8 X 151 139 {0, -1}
22 14 X 1 15 {0, -1}
45 13 X 22 1 {0, -1}
58 12 X 1 45 {0, -1}
86 11 X 58 1 {0, -1}
116 10 X 86 1 {0, -1}
152 9 X 116 1 {0, -1}
97 10 X 1 77 {0, -1}
138 9 X 97 77 {0, -1}
169 8 X 152 138 {0, -1}
196 7 X 168 169 {0, -1}
212 6 X 196 1 {0, -1}
222 5 X 212 198 {0, 1, -1}
230 4 X 221 222 {0, 1, -1}
176 7 X 1 170 {0, -1}
201 6 X 176 1 {0, -1}
127 9 X 1 32 {1, -1}
197 6 X 1 127 {1, -1}
215 5 X 201 197 {0, 1, -1}
175 7 X 1 169 {0, -1}
200 6 X 175 1 {0, -1}
214 5 X 200 197 {0, 1, -1}
226 4 X 215 214 {0, 1, -1}
234 3 X 230 226 {0, 1, -1}
235 2 X 231 234 {0, 1, -1}
8 16 X 3 2 {0, 1}
19 15 X 8 3 {0, 1}
42 13 X 19 3 {0, 1}
60 12 X 3 42 {0, 1}
87 11 X 60 3 {0, 1}
118 10 X 87 59 {0, 1, -1}
31 14 X 19 3 {0, 1}
53 13 X 31 3 {0, 1}
72 12 X 53 42 {0, 1}
96 11 X 72 3 {0, 1}
125 10 X 96 59 {0, 1, -1}
163 8 X 118 125 {0, 1, -1}
26 14 X 3 19 {0, 1}
48 13 X 26 3 {0, 1}
10 15 X 2 3 {0, 1}
38 13 X 10 3 {0, 1}
68 12 X 48 38 {0, 1}
92 11 X 68 3 {0, 1}
120 10 X 92 3 {0, 1}
69 12 X 48 42 {0, 1}
93 11 X 69 3 {0, 1}
121 10 X 93 3 {0, 1}
154 9 X 120 121 {0, 1}
74 11 X 38 3 {0, 1}
104 10 X 74 3 {0, 1}
75 11 X 42 3 {0, 1}
105 10 X 75 3 {0, 1}
145 9 X 104 105 {0, 1}
172 8 X 154 145 {0, 1}
193 7 X 163 172 {0, 1, -1}
184 7 X 118 172 {0, 1, -1}
209 6 X 193 184 {0, 1, -1}
18 15 X 7 8 {0, 1, -1}
27 14 X 7 18 {0, 1, -1}
50 13 X 26 27 {0, 1, -1}
61 12 X 3 50 {0, 1, -1}
13 15 X 3 8 {0, 1}
29 14 X 13 3 {0, 1}
36 13 X 3 29 {0, 1}
35 13 X 3 18 {0, 1, -1}
66 12 X 36 35 {0, 1, -1}
88 11 X 61 66 {0, 1, -1}
126 10 X 96 88 {0, 1, -1}
142 9 X 100 126 {0, 1, -1}
162 8 X 100 142 {0, 1, -1}
6 16 X 2 3 {0, 1}
16 15 X 6 3 {0, 1}
25 14 X 3 16 {0, 1}
47 13 X 25 3 {0, 1}
79 11 X 47 3 {0, 1}
111 10 X 79 3 {0, 1}
23 14 X 3 10 {0, 1}
46 13 X 23 3 {0, 1}
78 11 X 46 3 {0, 1}
24 14 X 3 13 {0, 1}
49 13 X 26 24 {0, 1}
34 13 X 3 13 {0, 1}
81 11 X 49 34 {0, 1}
110 10 X 78 81 {0, 1}
149 9 X 111 110 {0, 1}
160 8 X 3 149 {0, 1}
192 7 X 162 160 {0, 1, -1}
183 7 X 100 3 {1, -1}
208 6 X 192 183 {0, 1, -1}
219 5 X 209 208 {0, 1, -1}
124 10 X 96 7 {0, 1, -1}
141 9 X 99 124 {0, 1, -1}
161 8 X 99 141 {0, 1, -1}
129 9 X 3 105 {0, 1}
157 8 X 3 129 {0, 1}
191 7 X 161 157 {0, 1, -1}
117 10 X 87 7 {0, 1, -1}
140 9 X 99 117 {0, 1, -1}
131 9 X 3 121 {0, 1}
165 8 X 131 129 {0, 1}
