244
acelpq bhhquv zqrzll pbfmpt oylgim zeyozm ainbug ajawdp tbeqic sqqqcb rtoxka krfurx algwtj gscxbu ljvwnh ykxhsw yrebdi lsjyki
7 10 12 1 14 4 5 6 13 18 3 9 11 15 16 2 17 8
3 19 1 -1 -1 {1}
1 19 -1 -1 -1 {-1}
4 18 X 1 3 {1, -1}
48 14 X 4 3 {1, -1}
65 13 X 48 3 {1, -1}
112 10 X 3 65 {1, -1}
23 15 X 3 4 {1, -1}
50 14 X 23 3 {1, -1}
67 13 X 50 3 {1, -1}
113 10 X 3 67 {1, -1}
156 9 X 112 113 {1, -1}
2 19 0 -1 -1 {0}
5 18 X 2 3 {0, 1}
24 15 X 3 5 {0, 1}
51 14 X 24 3 {0, 1}
68 13 X 51 3 {0, 1}
106 11 X 68 3 {0, 1}
132 10 X 106 65 {0, 1, -1}
159 9 X 132 113 {0, 1, -1}
184 8 X 156 159 {0, 1, -1}
196 7 X 156 184 {0, 1, -1}
11 17 X 5 3 {0, 1}
7 17 X 2 3 {0, 1}
21 16 X 11 7 {0, 1}
34 15 X 3 21 {0, 1}
45 14 X 3 34 {0, 1}
64 13 X 45 3 {0, 1}
72 12 X 3 64 {0, 1}
109 11 X 72 3 {0, 1}
135 10 X 109 3 {0, 1}
162 9 X 135 3 {0, 1}
187 8 X 162 3 {0, 1}
28 15 X 3 11 {0, 1}
41 14 X 3 28 {0, 1}
61 13 X 41 3 {0, 1}
70 12 X 3 61 {0, 1}
107 11 X 70 3 {0, 1}
133 10 X 107 3 {0, 1}
160 9 X 133 3 {0, 1}
9 17 X 3 5 {0, 1}
26 15 X 3 9 {0, 1}
39 14 X 3 26 {0, 1}
56 13 X 24 39 {0, 1}
14 16 X 3 5 {0, 1}
36 15 X 14 5 {0, 1}
17 16 X 3 9 {0, 1}
38 15 X 17 9 {0, 1}
47 14 X 3 38 {0, 1}
60 13 X 36 47 {0, 1}
83 12 X 56 60 {0, 1}
110 11 X 83 3 {0, 1}
136 10 X 110 3 {0, 1}
163 9 X 136 3 {0, 1}
185 8 X 160 163 {0, 1}
207 7 X 187 185 {0, 1}
223 6 X 196 207 {0, 1, -1}
215 6 X 156 3 {1, -1}
231 5 X 223 215 {0, 1, -1}
