141
qicwux oejxwu bgpwip qnvanx yogrtu ihpoiv eocvsg hbwnpw ebjotn gpmijg oubhej rpvnqs msdomh xfiwou
7 10 2 9 3 1 14 4 11 12 8 6 13 5
3 15 1 -1 -1 {1}
2 15 0 -1 -1 {0}
11 13 X 2 3 {0, 1}
29 12 X 11 3 {0, 1}
49 11 X 29 3 {0, 1}
59 10 X 3 49 {0, 1}
53 10 X 3 29 {0, 1}
78 9 X 59 53 {0, 1}
5 14 X 2 3 {0, 1}
27 12 X 5 3 {0, 1}
47 11 X 27 3 {0, 1}
26 12 X 2 3 {0, 1}
12 13 X 3 2 {0, 1}
30 12 X 12 3 {0, 1}
46 11 X 26 30 {0, 1}
71 10 X 47 46 {0, 1}
70 10 X 47 26 {0, 1}
80 9 X 71 70 {0, 1}
99 8 X 78 80 {0, 1}
7 14 X 3 2 {0, 1}
17 13 X 7 3 {0, 1}
33 12 X 17 3 {0, 1}
51 11 X 33 3 {0, 1}
60 10 X 3 51 {0, 1}
54 10 X 3 33 {0, 1}
79 9 X 60 54 {0, 1}
100 8 X 79 80 {0, 1}
120 6 X 99 100 {0, 1}
15 13 X 5 3 {0, 1}
32 12 X 15 3 {0, 1}
39 11 X 3 32 {0, 1}
57 10 X 3 39 {0, 1}
38 11 X 3 27 {0, 1}
56 10 X 3 38 {0, 1}
87 8 X 57 56 {0, 1}
85 8 X 54 70 {0, 1}
115 6 X 87 85 {0, 1}
129 5 X 120 115 {0, 1}
50 11 X 29 11 {0, 1}
72 10 X 47 50 {0, 1}
83 8 X 53 72 {0, 1}
69 10 X 47 3 {0, 1}
84 8 X 54 69 {0, 1}
114 6 X 83 84 {0, 1}
37 11 X 3 15 {0, 1}
55 10 X 3 37 {0, 1}
86 8 X 57 55 {0, 1}
104 7 X 3 86 {0, 1}
103 7 X 3 84 {0, 1}
121 6 X 104 103 {0, 1}
126 5 X 114 121 {0, 1}
134 4 X 129 126 {0, 1}
1 15 -1 -1 -1 {-1}
4 14 X 1 3 {1, -1}
9 13 X 1 4 {1, -1}
22 12 X 1 9 {1, -1}
36 11 X 1 22 {1, -1}
101 7 X 1 36 {1, -1}
108 6 X 1 101 {1, -1}
122 5 X 1 108 {1, -1}
138 3 X 134 122 {0, 1, -1}
28 12 X 7 3 {0, 1}
52 10 X 3 28 {0, 1}
73 9 X 3 52 {0, 1}
76 9 X 3 70 {0, 1}
96 8 X 73 76 {0, 1}
13 13 X 3 7 {0, 1}
31 12 X 13 3 {0, 1}
48 11 X 28 31 {0, 1}
58 10 X 3 48 {0, 1}
77 9 X 58 52 {0, 1}
98 8 X 77 80 {0, 1}
106 7 X 96 98 {0, 1}
112 6 X 3 106 {0, 1}
82 8 X 52 70 {0, 1}
105 7 X 96 82 {0, 1}
111 6 X 3 105 {0, 1}
124 5 X 112 111 {0, 1}
74 9 X 3 54 {0, 1}
75 9 X 3 69 {0, 1}
97 8 X 74 75 {0, 1}
107 7 X 97 84 {0, 1}
113 6 X 3 107 {0, 1}
110 6 X 3 103 {0, 1}
125 5 X 113 110 {0, 1}
133 4 X 124 125 {0, 1}
137 3 X 133 122 {0, 1, -1}
140 2 X 138 137 {0, 1, -1}
35 11 X 1 4 {1, -1}
6 14 X 3 1 {1, -1}
20 12 X 1 6 {1, -1}
40 11 X 20 3 {1, -1}
65 10 X 35 40 {1, -1}
92 8 X 65 1 {1, -1}
19 12 X 1 4 {1, -1}
43 11 X 22 19 {1, -1}
16 13 X 6 3 {1, -1}
25 12 X 1 16 {1, -1}
18 12 X 1 3 {1, -1}
45 11 X 25 18 {1, -1}
67 10 X 43 45 {1, -1}
93 8 X 65 67 {1, -1}
118 6 X 92 93 {1, -1}
61 10 X 4 3 {1, -1}
88 8 X 61 1 {1, -1}
63 10 X 19 18 {1, -1}
89 8 X 61 63 {1, -1}
116 6 X 88 89 {1, -1}
127 5 X 118 116 {1, -1}
130 4 X 92 127 {1, -1}
81 8 X 36 1 {1, -1}
102 7 X 1 81 {1, -1}
109 6 X 1 102 {1, -1}
123 5 X 1 109 {1, -1}
132 4 X 123 122 {1, -1}
135 3 X 130 132 {1, -1}
10 13 X 1 6 {1, -1}
23 12 X 1 10 {1, -1}
14 13 X 4 3 {1, -1}
44 11 X 23 14 {1, -1}
34 11 X 1 3 {1, -1}
68 10 X 44 34 {1, -1}
94 8 X 68 1 {1, -1}
8 13 X 1 3 {1, -1}
21 12 X 1 8 {1, -1}
24 12 X 1 14 {1, -1}
42 11 X 21 24 {1, -1}
41 11 X 21 18 {1, -1}
66 10 X 42 41 {1, -1}
95 8 X 68 66 {1, -1}
119 6 X 94 95 {1, -1}
62 10 X 14 3 {1, -1}
90 8 X 62 1 {1, -1}
64 10 X 24 18 {1, -1}
91 8 X 62 64 {1, -1}
117 6 X 90 91 {1, -1}
128 5 X 119 117 {1, -1}
131 4 X 94 128 {1, -1}
136 3 X 131 132 {1, -1}
139 2 X 135 136 {1, -1}
141 1 X 140 139 {0, 1, -1}
