205
tzysnu jokjyr wmeyxc rpbvkg nxrzqj nyqqtw fhgwmi wrxkih lnvdhq yyjpkt cunbed bxezxm sxemzr xecwci ecknay ghpram viqqct ieixyc mbarjf khafji
1 4 7 16 17 2 3 13 6 8 14 5 10 15 9 12 19 20 11 18
3 21 1 -1 -1 {1}
4 21 2 -1 -1 {2}
37 16 X 3 4 {1, 2}
159 9 X 37 3 {1, 2}
175 8 X 159 3 {1, 2}
193 5 X 3 175 {1, 2}
2 21 0 -1 -1 {0}
5 20 X 2 3 {0, 1}
10 19 X 3 5 {0, 1}
18 18 X 3 10 {0, 1}
27 17 X 3 18 {0, 1}
57 15 X 27 3 {0, 1}
98 12 X 57 3 {0, 1}
125 11 X 98 3 {0, 1}
14 18 X 3 2 {0, 1}
23 17 X 3 14 {0, 1}
39 16 X 3 23 {0, 1}
6 20 X 3 2 {0, 1}
15 18 X 3 6 {0, 1}
24 17 X 3 15 {0, 1}
40 16 X 3 24 {0, 1}
52 15 X 3 40 {0, 1}
74 13 X 3 52 {0, 1}
92 12 X 39 74 {0, 1}
119 11 X 92 3 {0, 1}
91 12 X 39 3 {0, 1}
118 11 X 91 3 {0, 1}
145 10 X 119 118 {0, 1}
164 9 X 125 145 {0, 1}
9 19 X 3 2 {0, 1}
17 18 X 3 9 {0, 1}
26 17 X 3 17 {0, 1}
56 15 X 26 3 {0, 1}
97 12 X 56 3 {0, 1}
124 11 X 97 3 {0, 1}
69 13 X 3 23 {0, 1}
86 12 X 23 69 {0, 1}
113 11 X 86 3 {0, 1}
85 12 X 23 3 {0, 1}
112 11 X 85 3 {0, 1}
141 10 X 113 112 {0, 1}
162 9 X 124 141 {0, 1}
179 8 X 164 162 {0, 1}
186 7 X 179 3 {0, 1}
65 14 X 3 57 {0, 1}
83 13 X 65 57 {0, 1}
108 12 X 83 3 {0, 1}
135 11 X 108 3 {0, 1}
28 17 X 15 14 {0, 1}
42 16 X 3 28 {0, 1}
63 14 X 3 42 {0, 1}
81 13 X 63 42 {0, 1}
12 19 X 6 3 {0, 1}
20 18 X 12 3 {0, 1}
32 17 X 20 3 {0, 1}
21 18 X 12 6 {0, 1}
34 17 X 21 15 {0, 1}
46 16 X 32 34 {0, 1}
53 15 X 3 46 {0, 1}
75 13 X 3 53 {0, 1}
104 12 X 81 75 {0, 1}
131 11 X 104 3 {0, 1}
102 12 X 81 3 {0, 1}
129 11 X 102 3 {0, 1}
149 10 X 131 129 {0, 1}
166 9 X 135 149 {0, 1}
11 19 X 3 6 {0, 1}
19 18 X 3 11 {0, 1}
