118
vlmewo qxjyhg hgqyxv nbqmxn mvqmzr qowjjz xchckz iqcvkg sglpyx dwpowv luahsi ddhfvd
3 5 6 4 8 2 9 10 12 11 1 7
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
3 12 X 1 2 {0, -1}
12 10 X 1 3 {0, -1}
27 9 X 12 1 {0, -1}
57 7 X 12 27 {0, -1}
81 6 X 57 27 {0, -1}
4 12 X 2 1 {0, -1}
10 11 X 4 1 {0, -1}
25 9 X 10 2 {0, -1}
46 8 X 25 2 {0, -1}
14 10 X 1 10 {0, -1}
29 9 X 14 1 {0, -1}
11 10 X 1 2 {0, -1}
26 9 X 11 1 {0, -1}
50 8 X 29 26 {0, -1}
77 7 X 46 50 {0, -1}
92 6 X 77 50 {0, -1}
100 5 X 81 92 {0, -1}
93 5 X 12 46 {0, -1}
109 4 X 100 93 {0, -1}
16 10 X 2 4 {0, -1}
31 9 X 16 2 {0, -1}
36 8 X 1 31 {0, -1}
24 9 X 1 12 {0, -1}
34 8 X 1 24 {0, -1}
67 7 X 36 34 {0, -1}
21 10 X 10 1 {0, -1}
15 10 X 2 1 {0, -1}
32 9 X 21 15 {0, -1}
53 8 X 32 31 {0, -1}
68 7 X 36 53 {0, -1}
97 5 X 67 68 {0, -1}
113 3 X 109 97 {0, -1}
54 7 X 2 1 {0, -1}
59 7 X 26 1 {0, -1}
79 6 X 54 59 {0, -1}
76 7 X 46 1 {0, -1}
91 6 X 76 1 {0, -1}
98 5 X 79 91 {0, -1}
5 11 X 1 2 {0, -1}
56 7 X 5 1 {0, -1}
80 6 X 56 54 {0, -1}
23 9 X 1 5 {0, -1}
44 8 X 23 5 {0, -1}
73 7 X 44 1 {0, -1}
88 6 X 73 76 {0, -1}
99 5 X 80 88 {0, -1}
108 4 X 98 99 {0, -1}
30 9 X 15 2 {0, -1}
35 8 X 1 30 {0, -1}
64 7 X 35 1 {0, -1}
6 11 X 2 1 {0, -1}
17 10 X 6 1 {0, -1}
38 8 X 17 30 {0, -1}
65 7 X 35 38 {0, -1}
84 6 X 64 65 {0, -1}
52 8 X 32 30 {0, -1}
66 7 X 35 52 {0, -1}
85 6 X 64 66 {0, -1}
102 5 X 84 85 {0, -1}
107 4 X 64 102 {0, -1}
112 3 X 108 107 {0, -1}
116 2 X 113 112 {0, -1}
7 11 X 2 3 {0, -1}
18 10 X 6 7 {0, -1}
39 8 X 18 1 {0, -1}
13 10 X 1 7 {0, -1}
28 9 X 13 1 {0, -1}
48 8 X 28 1 {0, -1}
70 7 X 39 48 {0, -1}
87 6 X 70 48 {0, -1}
45 8 X 25 1 {0, -1}
49 8 X 29 1 {0, -1}
75 7 X 45 49 {0, -1}
90 6 X 75 49 {0, -1}
104 5 X 87 90 {0, -1}
8 11 X 3 1 {0, -1}
20 10 X 8 3 {0, -1}
40 8 X 18 20 {0, -1}
58 7 X 20 40 {0, -1}
22 9 X 1 3 {0, -1}
43 8 X 22 3 {0, -1}
72 7 X 43 46 {0, -1}
95 5 X 58 72 {0, -1}
111 4 X 104 95 {0, -1}
33 8 X 1 3 {0, -1}
19 10 X 8 1 {0, -1}
42 8 X 19 20 {0, -1}
62 7 X 33 42 {0, -1}
51 8 X 32 2 {0, -1}
63 7 X 33 51 {0, -1}
96 5 X 62 63 {0, -1}
105 4 X 1 96 {0, -1}
115 3 X 111 105 {0, -1}
37 8 X 2 1 {0, -1}
69 7 X 37 1 {0, -1}
47 8 X 26 1 {0, -1}
78 7 X 47 1 {0, -1}
86 6 X 69 78 {0, -1}
74 7 X 45 1 {0, -1}
89 6 X 74 1 {0, -1}
103 5 X 86 89 {0, -1}
55 7 X 3 1 {0, -1}
71 7 X 43 1 {0, -1}
94 5 X 55 71 {0, -1}
110 4 X 103 94 {0, -1}
60 7 X 33 1 {0, -1}
9 11 X 3 2 {0, -1}
41 8 X 19 9 {0, -1}
61 7 X 33 41 {0, -1}
82 6 X 60 61 {0, -1}
83 6 X 60 63 {0, -1}
101 5 X 82 83 {0, -1}
106 4 X 1 101 {0, -1}
114 3 X 110 106 {0, -1}
117 2 X 115 114 {0, -1}
118 1 X 116 117 {0, -1}
