763
hvmyau zqlgze wpkznr xpxhgh lmzcda mslvzl bmimka anysax pyeuac yjeqhh ajndpy ntducz yzdwbl cxhinx nmttri hpuyzb ahrnxe aklavx
7 2 4 14 16 6 13 11 12 1 5 9 10 15 17 18 3 8
3 19 1 -1 -1 {1}
2 19 0 -1 -1 {0}
342 11 X 3 2 {0, 1}
13 17 X 3 2 {0, 1}
343 11 X 3 13 {0, 1}
513 10 X 342 343 {0, 1}
6 18 X 2 3 {0, 1}
30 16 X 3 6 {0, 1}
163 13 X 3 30 {0, 1}
27 16 X 3 2 {0, 1}
275 12 X 163 27 {0, 1}
14 17 X 3 6 {0, 1}
35 16 X 3 14 {0, 1}
165 13 X 3 35 {0, 1}
34 16 X 3 13 {0, 1}
277 12 X 165 34 {0, 1}
434 11 X 275 277 {0, 1}
500 10 X 275 434 {0, 1}
423 11 X 163 165 {0, 1}
494 10 X 163 423 {0, 1}
611 9 X 500 494 {0, 1}
228 12 X 30 27 {0, 1}
365 11 X 3 228 {0, 1}
230 12 X 35 34 {0, 1}
367 11 X 3 230 {0, 1}
521 10 X 365 367 {0, 1}
344 11 X 3 30 {0, 1}
345 11 X 3 35 {0, 1}
516 10 X 344 345 {0, 1}
616 9 X 521 516 {0, 1}
656 8 X 611 616 {0, 1}
666 7 X 513 656 {0, 1}
7 18 X 3 2 {0, 1}
31 16 X 3 7 {0, 1}
164 13 X 3 31 {0, 1}
356 11 X 3 164 {0, 1}
162 13 X 3 27 {0, 1}
354 11 X 3 162 {0, 1}
568 9 X 356 354 {0, 1}
220 12 X 3 164 {0, 1}
564 9 X 220 163 {0, 1}
362 11 X 3 220 {0, 1}
355 11 X 3 163 {0, 1}
569 9 X 362 355 {0, 1}
638 8 X 564 569 {0, 1}
668 7 X 568 638 {0, 1}
708 6 X 666 668 {0, 1}
229 12 X 31 27 {0, 1}
366 11 X 3 229 {0, 1}
15 17 X 3 7 {0, 1}
36 16 X 3 15 {0, 1}
231 12 X 36 34 {0, 1}
368 11 X 3 231 {0, 1}
522 10 X 366 368 {0, 1}
1 19 -1 -1 -1 {-1}
4 18 X 1 2 {0, -1}
19 16 X 1 4 {0, -1}
18 16 X 1 2 {0, -1}
226 12 X 19 18 {0, -1}
324 11 X 1 226 {0, -1}
9 17 X 1 4 {0, -1}
22 16 X 1 9 {0, -1}
8 17 X 1 2 {0, -1}
21 16 X 1 8 {0, -1}
227 12 X 22 21 {0, -1}
325 11 X 1 227 {0, -1}
503 10 X 324 325 {0, -1}
617 9 X 522 503 {0, 1, -1}
217 12 X 3 27 {0, 1}
219 12 X 3 34 {0, 1}
429 11 X 217 219 {0, 1}
487 10 X 3 429 {0, 1}
5 18 X 2 1 {0, -1}
20 16 X 1 5 {0, -1}
210 12 X 1 20 {0, -1}
156 13 X 1 20 {0, -1}
214 12 X 1 156 {0, -1}
10 17 X 1 5 {0, -1}
23 16 X 1 10 {0, -1}
157 13 X 1 23 {0, -1}
215 12 X 1 157 {0, -1}
428 11 X 214 215 {0, -1}
495 10 X 210 428 {0, -1}
600 9 X 487 495 {0, 1, -1}
361 11 X 3 219 {0, 1}
471 10 X 3 361 {0, 1}
322 11 X 1 210 {0, -1}
211 12 X 1 23 {0, -1}
323 11 X 1 211 {0, -1}
502 10 X 322 323 {0, -1}
586 9 X 471 502 {0, 1, -1}
651 8 X 600 586 {0, 1, -1}
682 7 X 617 651 {0, 1, -1}
276 12 X 164 31 {0, 1}
392 11 X 3 276 {0, 1}
155 13 X 1 19 {0, -1}
270 12 X 155 18 {0, -1}
335 11 X 1 270 {0, -1}
570 9 X 392 335 {0, 1, -1}
218 12 X 3 31 {0, 1}
457 10 X 3 218 {0, 1}
574 9 X 457 210 {0, 1, -1}
360 11 X 3 218 {0, 1}
470 10 X 3 360 {0, 1}
583 9 X 470 322 {0, 1, -1}
