37
fbkxfp rkjisj pxoyah zorjho obthza jwhhmk znwjrn byacas txdtlr hvocmk zanrmz gjpakz
7 3 5 10 1 12 11 4 8 6 9 2
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
3 12 X 1 2 {0, -1}
5 11 X 1 3 {0, -1}
9 10 X 5 1 {0, -1}
13 9 X 9 1 {0, -1}
15 8 X 1 13 {0, -1}
24 7 X 15 1 {0, -1}
29 5 X 1 24 {0, -1}
19 8 X 13 1 {0, -1}
21 7 X 1 19 {0, -1}
26 6 X 1 21 {0, -1}
4 12 X 2 1 {0, -1}
6 11 X 1 4 {0, -1}
10 10 X 6 1 {0, -1}
14 9 X 9 10 {0, -1}
20 8 X 14 1 {0, -1}
22 7 X 1 20 {0, -1}
30 5 X 26 22 {0, -1}
33 4 X 29 30 {0, -1}
8 10 X 1 5 {0, -1}
12 9 X 8 1 {0, -1}
18 8 X 12 1 {0, -1}
23 7 X 12 18 {0, -1}
7 10 X 1 3 {0, -1}
11 9 X 7 1 {0, -1}
17 8 X 11 7 {0, -1}
16 8 X 11 1 {0, -1}
25 7 X 17 16 {0, -1}
28 6 X 23 25 {0, -1}
32 5 X 28 1 {0, -1}
27 6 X 1 22 {0, -1}
31 5 X 26 27 {0, -1}
34 4 X 32 31 {0, -1}
35 3 X 33 34 {0, -1}
36 2 X 1 35 {0, -1}
37 1 X 1 36 {0, -1}
