35
odrkqw jcsqrr mmqodk tllgww tioipm ukectl gztjji ovsqho mkhkct uvubaw
3 10 8 9 6 7 5 2 4 1
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
4 10 X 2 1 {0, -1}
7 9 X 2 4 {0, -1}
17 7 X 1 7 {0, -1}
5 9 X 1 2 {0, -1}
3 10 X 1 2 {0, -1}
11 8 X 3 2 {0, -1}
19 7 X 5 11 {0, -1}
8 9 X 3 2 {0, -1}
10 8 X 2 8 {0, -1}
21 7 X 10 11 {0, -1}
26 6 X 21 19 {0, -1}
28 5 X 19 26 {0, -1}
6 9 X 1 3 {0, -1}
14 8 X 6 5 {0, -1}
12 8 X 3 8 {0, -1}
23 7 X 14 12 {0, -1}
25 6 X 19 23 {0, -1}
24 6 X 12 23 {0, -1}
29 5 X 25 24 {0, -1}
31 4 X 28 29 {0, -1}
33 3 X 17 31 {0, -1}
16 7 X 1 4 {0, -1}
18 7 X 1 11 {0, -1}
20 7 X 8 11 {0, -1}
27 5 X 18 20 {0, -1}
13 8 X 5 8 {0, -1}
9 9 X 4 2 {0, -1}
15 8 X 6 9 {0, -1}
22 7 X 13 15 {0, -1}
30 4 X 27 22 {0, -1}
32 3 X 16 30 {0, -1}
34 2 X 33 32 {0, -1}
35 1 X 1 34 {0, -1}
