71
bkvfes ptlwys mhvbxq ctwxjk ogruav uenzvc odkazy mcqaqs wjgumu fxsopp kblcvw augmhq qjmizt wkykwo
8 2 7 1 12 14 6 13 4 5 11 3 9 10
3 15 1 -1 -1 {1}
2 15 0 -1 -1 {0}
5 14 X 2 3 {0, 1}
7 13 X 5 3 {0, 1}
11 12 X 3 7 {0, 1}
16 11 X 3 11 {0, 1}
19 10 X 3 16 {0, 1}
28 9 X 19 3 {0, 1}
43 8 X 28 3 {0, 1}
55 6 X 43 3 {0, 1}
60 5 X 55 3 {0, 1}
66 3 X 60 3 {0, 1}
1 15 -1 -1 -1 {-1}
10 12 X 3 1 {1, -1}
18 10 X 3 10 {1, -1}
27 9 X 18 3 {1, -1}
46 7 X 3 27 {1, -1}
24 9 X 1 3 {1, -1}
35 8 X 1 24 {1, -1}
62 4 X 46 35 {1, -1}
9 12 X 1 3 {1, -1}
4 14 X 1 3 {1, -1}
13 12 X 4 1 {1, -1}
21 10 X 9 13 {1, -1}
14 12 X 4 3 {1, -1}
22 10 X 9 14 {1, -1}
32 9 X 21 22 {1, -1}
31 9 X 21 3 {1, -1}
45 8 X 32 31 {1, -1}
56 6 X 45 35 {1, -1}
63 4 X 46 56 {1, -1}
67 3 X 62 63 {1, -1}
69 2 X 66 67 {0, 1, -1}
26 9 X 16 11 {0, 1}
6 14 X 3 2 {0, 1}
8 13 X 5 6 {0, 1}
12 12 X 3 8 {0, 1}
17 11 X 3 12 {0, 1}
23 10 X 16 17 {0, 1}
33 9 X 23 11 {0, 1}
42 8 X 26 33 {0, 1}
25 9 X 16 3 {0, 1}
34 9 X 23 16 {0, 1}
41 8 X 25 34 {0, 1}
50 7 X 42 41 {0, 1}
54 6 X 3 50 {0, 1}
61 5 X 55 54 {0, 1}
38 8 X 3 33 {0, 1}
39 8 X 3 34 {0, 1}
48 7 X 38 39 {0, 1}
52 6 X 3 48 {0, 1}
58 5 X 3 52 {0, 1}
65 4 X 61 58 {0, 1}
20 10 X 3 17 {0, 1}
29 9 X 20 7 {0, 1}
40 8 X 19 29 {0, 1}
15 11 X 3 7 {0, 1}
30 9 X 20 15 {0, 1}
44 8 X 28 30 {0, 1}
49 7 X 40 44 {0, 1}
53 6 X 3 49 {0, 1}
59 5 X 3 53 {0, 1}
36 8 X 3 29 {0, 1}
37 8 X 3 30 {0, 1}
47 7 X 36 37 {0, 1}
51 6 X 3 47 {0, 1}
57 5 X 3 51 {0, 1}
64 4 X 59 57 {0, 1}
68 3 X 65 64 {0, 1}
70 2 X 68 67 {0, 1, -1}
71 1 X 69 70 {0, 1, -1}
