67
pnqpfu ogywfc mbkyih jhvvva zybknm wxxppg ymuiij vrwobq lqnhjd latvnk whwxnk qjvvuo sikwch yzemzg hoychd kpkvlk
11 4 13 16 14 3 15 5 7 12 6 1 9 8 2 10
1 17 -1 -1 -1 {-1}
2 17 0 -1 -1 {0}
4 16 X 2 1 {0, -1}
7 15 X 1 4 {0, -1}
15 13 X 7 1 {0, -1}
21 12 X 15 1 {0, -1}
11 14 X 1 7 {0, -1}
17 13 X 11 1 {0, -1}
23 12 X 17 1 {0, -1}
27 11 X 21 23 {0, -1}
33 10 X 27 1 {0, -1}
40 9 X 1 33 {0, -1}
8 14 X 1 4 {0, -1}
16 13 X 8 1 {0, -1}
22 12 X 16 1 {0, -1}
28 11 X 23 22 {0, -1}
34 10 X 28 1 {0, -1}
41 9 X 1 34 {0, -1}
47 8 X 40 41 {0, -1}
53 7 X 47 1 {0, -1}
56 6 X 53 1 {0, -1}
60 5 X 56 1 {0, -1}
3 16 X 1 2 {0, -1}
6 15 X 1 3 {0, -1}
10 14 X 1 6 {0, -1}
13 13 X 1 10 {0, -1}
19 12 X 1 13 {0, -1}
29 10 X 1 19 {0, -1}
36 9 X 1 29 {0, -1}
45 8 X 36 1 {0, -1}
48 7 X 45 1 {0, -1}
25 11 X 19 1 {0, -1}
30 10 X 1 25 {0, -1}
37 9 X 1 30 {0, -1}
46 8 X 37 1 {0, -1}
50 7 X 46 1 {0, -1}
54 6 X 48 50 {0, -1}
14 13 X 1 11 {0, -1}
20 12 X 1 14 {0, -1}
35 9 X 1 20 {0, -1}
42 8 X 1 35 {0, -1}
49 7 X 45 42 {0, -1}
26 11 X 20 1 {0, -1}
32 10 X 20 26 {0, -1}
39 9 X 1 32 {0, -1}
44 8 X 1 39 {0, -1}
52 7 X 46 44 {0, -1}
55 6 X 49 52 {0, -1}
59 5 X 54 55 {0, -1}
63 4 X 54 59 {0, -1}
66 2 X 60 63 {0, -1}
58 5 X 1 52 {0, -1}
62 4 X 50 58 {0, -1}
5 15 X 1 2 {0, -1}
9 14 X 1 5 {0, -1}
12 13 X 1 9 {0, -1}
18 12 X 1 12 {0, -1}
24 11 X 18 1 {0, -1}
31 10 X 18 24 {0, -1}
38 9 X 1 31 {0, -1}
43 8 X 1 38 {0, -1}
51 7 X 46 43 {0, -1}
57 5 X 1 51 {0, -1}
61 4 X 50 57 {0, -1}
64 3 X 62 61 {0, -1}
65 2 X 1 64 {0, -1}
67 1 X 66 65 {0, -1}
