505
yrucjx ebpxuy mdgelj qxxbku zntcye kguflv dgtwwd aemkxd eviklp tlayif peldpl eahqdh avagge fnhspi sahzay fzfttn zyvejk zdzsgn qebenr tifnbx
14 7 5 15 4 11 2 6 13 20 10 17 3 16 18 1 12 9 19 8
1 21 -1 -1 -1 {-1}
2 21 0 -1 -1 {0}
3 20 X 1 2 {0, -1}
6 19 X 1 3 {0, -1}
74 16 X 6 1 {0, -1}
38 17 X 6 1 {0, -1}
96 16 X 38 1 {0, -1}
128 15 X 74 96 {0, -1}
203 14 X 128 1 {0, -1}
23 18 X 6 1 {0, -1}
9 19 X 3 1 {0, -1}
27 18 X 9 1 {0, -1}
86 16 X 23 27 {0, -1}
57 16 X 1 27 {0, -1}
147 15 X 86 57 {0, -1}
220 14 X 147 1 {0, -1}
267 13 X 203 220 {0, -1}
17 18 X 1 9 {0, -1}
55 16 X 1 17 {0, -1}
165 14 X 55 1 {0, -1}
233 13 X 1 165 {0, -1}
311 12 X 267 233 {0, -1}
367 11 X 311 1 {0, -1}
112 15 X 55 1 {0, -1}
180 14 X 112 1 {0, -1}
237 13 X 1 180 {0, -1}
312 12 X 267 237 {0, -1}
368 11 X 312 1 {0, -1}
404 10 X 367 368 {0, -1}
429 9 X 1 404 {0, -1}
454 8 X 429 1 {0, -1}
5 19 X 1 2 {0, -1}
22 18 X 5 1 {0, -1}
19 18 X 2 1 {0, -1}
8 19 X 2 1 {0, -1}
26 18 X 8 1 {0, -1}
44 17 X 19 26 {0, -1}
83 16 X 22 44 {0, -1}
36 17 X 3 9 {0, -1}
97 16 X 38 36 {0, -1}
142 15 X 83 97 {0, -1}
215 14 X 142 1 {0, -1}
82 16 X 22 26 {0, -1}
141 15 X 82 57 {0, -1}
214 14 X 141 1 {0, -1}
274 13 X 215 214 {0, -1}
13 18 X 1 3 {0, -1}
40 17 X 13 17 {0, -1}
63 16 X 1 40 {0, -1}
105 15 X 1 63 {0, -1}
170 14 X 105 1 {0, -1}
104 15 X 1 55 {0, -1}
169 14 X 104 1 {0, -1}
246 13 X 170 169 {0, -1}
324 12 X 274 246 {0, -1}
4 20 X 2 1 {0, -1}
7 19 X 1 4 {0, -1}
25 18 X 7 1 {0, -1}
21 18 X 4 1 {0, -1}
11 19 X 4 1 {0, -1}
29 18 X 11 1 {0, -1}
46 17 X 21 29 {0, -1}
90 16 X 25 46 {0, -1}
154 15 X 90 1 {0, -1}
227 14 X 154 1 {0, -1}
89 16 X 25 29 {0, -1}
153 15 X 89 1 {0, -1}
226 14 X 153 1 {0, -1}
283 13 X 227 226 {0, -1}
333 12 X 283 1 {0, -1}
374 11 X 324 333 {0, -1}
323 12 X 274 1 {0, -1}
373 11 X 323 333 {0, -1}
407 10 X 374 373 {0, -1}
430 9 X 1 407 {0, -1}
455 8 X 430 1 {0, -1}
478 7 X 454 455 {0, -1}
85 16 X 23 1 {0, -1}
48 17 X 23 1 {0, -1}
102 16 X 48 1 {0, -1}
146 15 X 85 102 {0, -1}
219 14 X 146 1 {0, -1}
278 13 X 219 220 {0, -1}
326 12 X 278 233 {0, -1}
20 18 X 3 1 {0, -1}
78 16 X 20 1 {0, -1}
45 17 X 20 27 {0, -1}
101 16 X 45 1 {0, -1}
133 15 X 78 101 {0, -1}
206 14 X 133 1 {0, -1}
79 16 X 20 27 {0, -1}
134 15 X 79 27 {0, -1}
207 14 X 134 1 {0, -1}
268 13 X 206 207 {0, -1}
43 17 X 17 1 {0, -1}
65 16 X 1 43 {0, -1}
118 15 X 65 55 {0, -1}
187 14 X 118 1 {0, -1}
241 13 X 1 187 {0, -1}
314 12 X 268 241 {0, -1}
376 11 X 326 314 {0, -1}
417 9 X 1 376 {0, -1}
453 8 X 417 1 {0, -1}
103 16 X 48 45 {0, -1}
143 15 X 83 103 {0, -1}
216 14 X 143 1 {0, -1}
275 13 X 216 214 {0, -1}
325 12 X 275 246 {0, -1}
10 19 X 3 2 {0, -1}
28 18 X 10 1 {0, -1}
93 16 X 28 44 {0, -1}
158 15 X 93 45 {0, -1}
231 14 X 158 1 {0, -1}
92 16 X 28 26 {0, -1}
156 15 X 92 27 {0, -1}
229 14 X 156 1 {0, -1}
286 13 X 231 229 {0, -1}
339 12 X 286 246 {0, -1}
375 11 X 325 339 {0, -1}
416 9 X 1 375 {0, -1}
452 8 X 416 1 {0, -1}
477 7 X 453 452 {0, -1}
490 6 X 478 477 {0, -1}
497 5 X 490 1 {0, -1}
69 16 X 3 1 {0, -1}
95 16 X 36 1 {0, -1}
121 15 X 69 95 {0, -1}
193 14 X 121 1 {0, -1}
258 13 X 193 207 {0, -1}
75 16 X 6 17 {0, -1}
130 15 X 75 55 {0, -1}
205 14 X 130 1 {0, -1}
266 13 X 203 205 {0, -1}
304 12 X 258 266 {0, -1}
366 11 X 304 1 {0, -1}
127 15 X 74 1 {0, -1}
202 14 X 127 1 {0, -1}
129 15 X 75 1 {0, -1}
204 14 X 129 1 {0, -1}
265 13 X 202 204 {0, -1}
303 12 X 258 265 {0, -1}
365 11 X 303 1 {0, -1}
403 10 X 366 365 {0, -1}
301 12 X 258 233 {0, -1}
363 11 X 301 1 {0, -1}
302 12 X 258 237 {0, -1}
