239
xqnntu ykxlhk alfsrt fqohgl vmpvrc svakrs pmqnac ftmkmt vxejof xlphyc cdseyi tiulza qarqvy fhdmgw wtsxxw zayjmo
5 4 15 10 8 3 16 11 2 14 12 7 1 9 6 13
1 17 -1 -1 -1 {-1}
3 17 1 -1 -1 {1}
5 16 X 1 3 {1, -1}
119 10 X 5 3 {1, -1}
25 13 X 1 5 {1, -1}
24 13 X 1 3 {1, -1}
122 10 X 25 24 {1, -1}
165 8 X 119 122 {1, -1}
187 7 X 165 1 {1, -1}
20 14 X 3 5 {1, -1}
120 10 X 20 3 {1, -1}
33 13 X 1 20 {1, -1}
123 10 X 33 24 {1, -1}
166 8 X 120 123 {1, -1}
189 7 X 166 1 {1, -1}
208 6 X 187 189 {1, -1}
159 8 X 1 122 {1, -1}
181 7 X 159 1 {1, -1}
13 14 X 1 3 {1, -1}
37 13 X 13 3 {1, -1}
64 12 X 24 37 {1, -1}
124 10 X 33 64 {1, -1}
160 8 X 1 124 {1, -1}
183 7 X 160 1 {1, -1}
205 6 X 181 183 {1, -1}
220 5 X 208 205 {1, -1}
161 8 X 3 24 {1, -1}
188 7 X 165 161 {1, -1}
190 7 X 166 161 {1, -1}
210 6 X 188 190 {1, -1}
157 8 X 1 24 {1, -1}
182 7 X 159 157 {1, -1}
121 10 X 24 64 {1, -1}
158 8 X 1 121 {1, -1}
184 7 X 160 158 {1, -1}
206 6 X 182 184 {1, -1}
222 5 X 210 206 {1, -1}
230 4 X 220 222 {1, -1}
9 15 X 1 5 {1, -1}
55 12 X 5 9 {1, -1}
86 11 X 5 55 {1, -1}
7 15 X 1 3 {1, -1}
54 12 X 3 7 {1, -1}
85 11 X 3 54 {1, -1}
125 10 X 86 85 {1, -1}
27 13 X 1 9 {1, -1}
65 12 X 25 27 {1, -1}
91 11 X 25 65 {1, -1}
26 13 X 1 7 {1, -1}
62 12 X 24 26 {1, -1}
89 11 X 24 62 {1, -1}
126 10 X 91 89 {1, -1}
167 8 X 125 126 {1, -1}
191 7 X 167 1 {1, -1}
10 15 X 3 1 {1, -1}
12 15 X 5 1 {1, -1}
23 14 X 10 12 {1, -1}
61 12 X 23 20 {1, -1}
60 12 X 23 1 {1, -1}
108 11 X 61 60 {1, -1}
57 12 X 10 3 {1, -1}
56 12 X 10 1 {1, -1}
106 11 X 57 56 {1, -1}
136 10 X 108 106 {1, -1}
47 12 X 1 20 {1, -1}
100 11 X 47 1 {1, -1}
46 12 X 1 3 {1, -1}
99 11 X 46 1 {1, -1}
133 10 X 100 99 {1, -1}
