393
xsjrki njppfq vysliw mhedku fuvcfp kvyqhv ppkebv qjyvsr namluw dijcom detkkk wmxosd qjzeid kgmilg waihsd fjiuve bcotmh wwxedy jontli swjmij
19 12 8 20 6 9 5 4 15 10 16 17 18 11 14 2 1 13 3 7
3 21 1 -1 -1 {1}
1 21 -1 -1 -1 {-1}
86 14 X 3 1 {1, -1}
6 20 X 3 1 {1, -1}
100 14 X 6 1 {1, -1}
191 11 X 86 100 {1, -1}
230 10 X 86 191 {1, -1}
267 9 X 86 230 {1, -1}
60 15 X 3 1 {1, -1}
93 14 X 3 60 {1, -1}
159 12 X 93 1 {1, -1}
61 15 X 6 1 {1, -1}
101 14 X 6 61 {1, -1}
165 12 X 101 1 {1, -1}
217 11 X 159 165 {1, -1}
235 10 X 159 217 {1, -1}
271 9 X 159 235 {1, -1}
315 8 X 267 271 {1, -1}
294 8 X 86 159 {1, -1}
9 19 X 3 1 {1, -1}
21 18 X 3 9 {1, -1}
115 14 X 21 1 {1, -1}
172 12 X 115 86 {1, -1}
192 11 X 86 172 {1, -1}
64 15 X 21 1 {1, -1}
116 14 X 21 64 {1, -1}
173 12 X 116 1 {1, -1}
219 11 X 159 173 {1, -1}
308 8 X 192 219 {1, -1}
332 7 X 294 308 {1, -1}
357 6 X 315 332 {1, -1}
151 12 X 86 1 {1, -1}
164 12 X 100 1 {1, -1}
232 10 X 151 164 {1, -1}
268 9 X 151 232 {1, -1}
233 10 X 159 165 {1, -1}
269 9 X 159 233 {1, -1}
317 8 X 268 269 {1, -1}
171 12 X 115 1 {1, -1}
13 19 X 6 1 {1, -1}
24 18 X 6 13 {1, -1}
119 14 X 24 1 {1, -1}
176 12 X 119 1 {1, -1}
243 10 X 171 176 {1, -1}
276 9 X 171 243 {1, -1}
67 15 X 24 1 {1, -1}
120 14 X 24 67 {1, -1}
177 12 X 120 1 {1, -1}
245 10 X 173 177 {1, -1}
278 9 X 173 245 {1, -1}
321 8 X 276 278 {1, -1}
341 7 X 317 321 {1, -1}
299 8 X 151 159 {1, -1}
305 8 X 171 173 {1, -1}
338 7 X 299 305 {1, -1}
363 6 X 341 338 {1, -1}
376 5 X 357 363 {1, -1}
4 20 X 1 3 {1, -1}
20 18 X 3 4 {1, -1}
63 15 X 20 1 {1, -1}
114 14 X 20 63 {1, -1}
170 12 X 114 1 {1, -1}
23 18 X 6 1 {1, -1}
66 15 X 23 1 {1, -1}
118 14 X 23 66 {1, -1}
175 12 X 118 1 {1, -1}
227 11 X 170 175 {1, -1}
241 10 X 170 227 {1, -1}
274 9 X 170 241 {1, -1}
316 8 X 267 274 {1, -1}
295 8 X 86 170 {1, -1}
11 19 X 4 1 {1, -1}
22 18 X 3 11 {1, -1}
65 15 X 22 1 {1, -1}
117 14 X 22 65 {1, -1}
174 12 X 117 1 {1, -1}
226 11 X 170 174 {1, -1}
309 8 X 192 226 {1, -1}
333 7 X 295 309 {1, -1}
358 6 X 316 333 {1, -1}
239 10 X 170 175 {1, -1}
272 9 X 170 239 {1, -1}
318 8 X 268 272 {1, -1}
247 10 X 174 175 {1, -1}
280 9 X 174 247 {1, -1}
322 8 X 276 280 {1, -1}
342 7 X 318 322 {1, -1}
300 8 X 151 170 {1, -1}
306 8 X 171 174 {1, -1}
339 7 X 300 306 {1, -1}
364 6 X 342 339 {1, -1}
377 5 X 358 364 {1, -1}
384 4 X 376 377 {1, -1}
143 12 X 3 1 {1, -1}
291 8 X 3 143 {1, -1}
150 12 X 21 3 {1, -1}
189 11 X 3 150 {1, -1}
149 12 X 21 1 {1, -1}
195 11 X 143 149 {1, -1}
307 8 X 189 195 {1, -1}
331 7 X 291 307 {1, -1}
352 6 X 291 331 {1, -1}
298 8 X 150 149 {1, -1}
330 7 X 291 298 {1, -1}
370 5 X 352 330 {1, -1}
388 3 X 384 370 {1, -1}
190 11 X 86 1 {1, -1}
229 10 X 86 190 {1, -1}
266 9 X 86 229 {1, -1}
215 11 X 159 1 {1, -1}
234 10 X 159 215 {1, -1}
270 9 X 159 234 {1, -1}
313 8 X 266 270 {1, -1}
355 6 X 313 308 {1, -1}
242 10 X 171 1 {1, -1}
275 9 X 171 242 {1, -1}
244 10 X 173 1 {1, -1}
277 9 X 173 244 {1, -1}
319 8 X 275 277 {1, -1}
359 6 X 319 305 {1, -1}
374 5 X 355 359 {1, -1}
225 11 X 170 1 {1, -1}
240 10 X 170 225 {1, -1}
273 9 X 170 240 {1, -1}
314 8 X 266 273 {1, -1}
356 6 X 314 309 {1, -1}
246 10 X 174 1 {1, -1}
279 9 X 174 246 {1, -1}
320 8 X 275 279 {1, -1}
360 6 X 320 306 {1, -1}
375 5 X 356 360 {1, -1}
383 4 X 374 375 {1, -1}
351 6 X 291 307 {1, -1}
369 5 X 351 298 {1, -1}
387 3 X 383 369 {1, -1}
