809
srtkya gikhqk vapvrr ymgqeq sohizu ciwjer owupir hyvirr ldonzn egxkrx vwrbib enhqcx nchabw infohd aqmejg knjobf bomybe mjqafq
2 3 4 18 1 7 8 10 15 5 12 16 6 9 14 17 11 13
2 19 0 -1 -1 {0}
3 19 1 -1 -1 {1}
5 18 X 2 3 {0, 1}
14 17 X 5 3 {0, 1}
63 14 X 14 5 {0, 1}
198 12 X 5 63 {0, 1}
201 12 X 14 63 {0, 1}
358 11 X 198 201 {0, 1}
23 16 X 5 3 {0, 1}
12 17 X 3 5 {0, 1}
24 16 X 5 12 {0, 1}
55 15 X 23 24 {0, 1}
25 16 X 14 3 {0, 1}
203 12 X 25 23 {0, 1}
321 11 X 55 203 {0, 1}
498 10 X 358 321 {0, 1}
197 12 X 5 14 {0, 1}
357 11 X 197 14 {0, 1}
230 12 X 55 25 {0, 1}
365 11 X 230 25 {0, 1}
495 10 X 357 365 {0, 1}
616 9 X 498 495 {0, 1}
204 12 X 25 55 {0, 1}
322 11 X 55 204 {0, 1}
499 10 X 358 322 {0, 1}
618 9 X 499 495 {0, 1}
695 8 X 616 618 {0, 1}
318 11 X 5 203 {0, 1}
497 10 X 358 318 {0, 1}
196 12 X 5 3 {0, 1}
199 12 X 14 3 {0, 1}
355 11 X 196 199 {0, 1}
202 12 X 25 3 {0, 1}
356 11 X 196 202 {0, 1}
493 10 X 355 356 {0, 1}
614 9 X 497 493 {0, 1}
200 12 X 14 5 {0, 1}
317 11 X 5 200 {0, 1}
496 10 X 358 317 {0, 1}
613 9 X 496 355 {0, 1}
690 8 X 614 613 {0, 1}
746 7 X 695 690 {0, 1}
229 12 X 55 3 {0, 1}
364 11 X 229 202 {0, 1}
494 10 X 355 364 {0, 1}
615 9 X 498 494 {0, 1}
617 9 X 499 494 {0, 1}
694 8 X 615 617 {0, 1}
48 15 X 5 2 {0, 1}
8 17 X 2 3 {0, 1}
49 15 X 14 8 {0, 1}
103 14 X 49 48 {0, 1}
224 12 X 48 103 {0, 1}
228 12 X 49 103 {0, 1}
363 11 X 224 228 {0, 1}
226 12 X 49 48 {0, 1}
320 11 X 48 226 {0, 1}
502 10 X 363 320 {0, 1}
223 12 X 48 3 {0, 1}
225 12 X 49 3 {0, 1}
362 11 X 223 225 {0, 1}
620 9 X 502 362 {0, 1}
691 8 X 614 620 {0, 1}
745 7 X 694 691 {0, 1}
777 6 X 746 745 {0, 1}
71 14 X 25 55 {0, 1}
231 12 X 55 71 {0, 1}
205 12 X 25 71 {0, 1}
366 11 X 231 205 {0, 1}
503 10 X 366 321 {0, 1}
622 9 X 503 365 {0, 1}
46 15 X 3 24 {0, 1}
137 13 X 46 55 {0, 1}
47 15 X 3 25 {0, 1}
100 14 X 47 46 {0, 1}
178 13 X 100 71 {0, 1}
284 12 X 137 178 {0, 1}
222 12 X 47 100 {0, 1}
409 11 X 284 222 {0, 1}
221 12 X 47 46 {0, 1}
340 11 X 137 221 {0, 1}
525 10 X 409 340 {0, 1}
141 13 X 47 25 {0, 1}
283 12 X 137 141 {0, 1}
407 11 X 283 47 {0, 1}
632 9 X 525 407 {0, 1}
697 8 X 622 632 {0, 1}
34 15 X 3 5 {0, 1}
119 13 X 34 5 {0, 1}
39 15 X 3 14 {0, 1}
96 14 X 39 34 {0, 1}
172 13 X 96 63 {0, 1}
264 12 X 119 172 {0, 1}
217 12 X 39 96 {0, 1}
391 11 X 264 217 {0, 1}
216 12 X 39 34 {0, 1}
334 11 X 119 216 {0, 1}
514 10 X 391 334 {0, 1}
262 12 X 119 3 {0, 1}
214 12 X 39 3 {0, 1}
387 11 X 262 214 {0, 1}
625 9 X 514 387 {0, 1}
693 8 X 614 625 {0, 1}
748 7 X 697 693 {0, 1}
621 9 X 503 364 {0, 1}
408 11 X 284 3 {0, 1}
338 11 X 137 3 {0, 1}
523 10 X 408 338 {0, 1}
281 12 X 137 3 {0, 1}
404 11 X 281 3 {0, 1}
629 9 X 523 404 {0, 1}
696 8 X 621 629 {0, 1}
33 15 X 3 2 {0, 1}
118 13 X 33 48 {0, 1}
35 15 X 3 8 {0, 1}
86 14 X 35 33 {0, 1}
164 13 X 86 103 {0, 1}
261 12 X 118 164 {0, 1}
386 11 X 261 3 {0, 1}
331 11 X 118 3 {0, 1}
511 10 X 386 331 {0, 1}
259 12 X 118 3 {0, 1}
383 11 X 259 3 {0, 1}
624 9 X 511 383 {0, 1}
692 8 X 614 624 {0, 1}
747 7 X 696 692 {0, 1}
778 6 X 748 747 {0, 1}
793 5 X 777 778 {0, 1}
18 16 X 3 5 {0, 1}
59 14 X 5 18 {0, 1}
22 16 X 3 14 {0, 1}
65 14 X 14 22 {0, 1}
233 12 X 59 65 {0, 1}
369 11 X 233 65 {0, 1}
21 16 X 3 12 {0, 1}
44 15 X 3 21 {0, 1}
107 14 X 55 44 {0, 1}
180 13 X 107 59 {0, 1}
69 14 X 25 3 {0, 1}
151 13 X 69 65 {0, 1}
312 12 X 180 151 {0, 1}
428 11 X 312 69 {0, 1}
507 10 X 369 428 {0, 1}
550 9 X 3 507 {0, 1}
429 11 X 312 151 {0, 1}
508 10 X 369 429 {0, 1}
551 9 X 3 508 {0, 1}
662 8 X 550 551 {0, 1}
232 12 X 59 3 {0, 1}
235 12 X 65 3 {0, 1}
367 11 X 232 235 {0, 1}
237 12 X 69 3 {0, 1}
368 11 X 232 237 {0, 1}
504 10 X 367 368 {0, 1}
549 9 X 3 504 {0, 1}
543 9 X 3 367 {0, 1}
661 8 X 549 543 {0, 1}
735 7 X 662 661 {0, 1}
64 14 X 14 18 {0, 1}
149 13 X 65 64 {0, 1}
189 12 X 3 149 {0, 1}
463 10 X 189 3 {0, 1}
311 12 X 180 3 {0, 1}
426 11 X 311 237 {0, 1}
505 10 X 367 426 {0, 1}
595 9 X 463 505 {0, 1}
291 12 X 151 3 {0, 1}
427 11 X 311 291 {0, 1}
506 10 X 367 427 {0, 1}
596 9 X 463 506 {0, 1}
683 8 X 595 596 {0, 1}
594 9 X 463 504 {0, 1}
19 16 X 3 8 {0, 1}
54 15 X 22 19 {0, 1}
105 14 X 49 54 {0, 1}
17 16 X 3 2 {0, 1}
52 15 X 18 17 {0, 1}
104 14 X 49 52 {0, 1}
179 13 X 105 104 {0, 1}
195 12 X 3 179 {0, 1}
467 10 X 195 3 {0, 1}
102 14 X 48 52 {0, 1}
247 12 X 102 3 {0, 1}
248 12 X 105 3 {0, 1}
372 11 X 247 248 {0, 1}
600 9 X 467 372 {0, 1}
682 8 X 594 600 {0, 1}
741 7 X 683 682 {0, 1}
773 6 X 735 741 {0, 1}
108 14 X 55 46 {0, 1}
51 15 X 18 5 {0, 1}
61 14 X 5 51 {0, 1}
181 13 X 108 61 {0, 1}
70 14 X 25 47 {0, 1}
53 15 X 22 14 {0, 1}
68 14 X 14 53 {0, 1}
153 13 X 70 68 {0, 1}
314 12 X 181 153 {0, 1}
433 11 X 314 153 {0, 1}
432 11 X 314 70 {0, 1}
540 10 X 433 432 {0, 1}
558 9 X 3 540 {0, 1}
140 13 X 46 61 {0, 1}
145 13 X 47 68 {0, 1}
287 12 X 140 145 {0, 1}
142 13 X 47 39 {0, 1}
414 11 X 287 142 {0, 1}
547 9 X 3 414 {0, 1}
668 8 X 558 547 {0, 1}
234 12 X 61 3 {0, 1}
236 12 X 68 3 {0, 1}
370 11 X 234 236 {0, 1}
238 12 X 70 3 {0, 1}
371 11 X 234 238 {0, 1}
509 10 X 370 371 {0, 1}
552 9 X 3 509 {0, 1}
123 13 X 34 61 {0, 1}
268 12 X 123 3 {0, 1}
396 11 X 268 214 {0, 1}
545 9 X 3 396 {0, 1}
663 8 X 552 545 {0, 1}
738 7 X 668 663 {0, 1}
67 14 X 14 51 {0, 1}
152 13 X 70 67 {0, 1}
191 12 X 3 152 {0, 1}
