58
wiiwbj mqitfy itjqxk dgpyew prtzgj brpprj dilqnq nlshcr mtaxgb dwbeil fgjcxd ivxgwo
7 4 11 1 3 5 6 12 9 2 10 8
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
3 12 X 1 2 {0, -1}
12 10 X 3 1 {0, -1}
23 7 X 1 12 {0, -1}
30 6 X 1 23 {0, -1}
19 8 X 1 12 {0, -1}
25 7 X 1 19 {0, -1}
32 6 X 1 25 {0, -1}
42 5 X 30 32 {0, -1}
6 11 X 1 3 {0, -1}
9 10 X 1 6 {0, -1}
17 9 X 12 9 {0, -1}
24 7 X 1 17 {0, -1}
31 6 X 1 24 {0, -1}
50 4 X 42 31 {0, -1}
54 3 X 1 50 {0, -1}
4 12 X 2 1 {0, -1}
8 11 X 4 1 {0, -1}
11 10 X 1 8 {0, -1}
18 8 X 1 11 {0, -1}
28 7 X 18 1 {0, -1}
40 5 X 1 28 {0, -1}
16 9 X 11 1 {0, -1}
20 8 X 1 16 {0, -1}
29 7 X 20 1 {0, -1}
39 6 X 29 1 {0, -1}
41 5 X 1 39 {0, -1}
49 4 X 40 41 {0, -1}
33 6 X 18 1 {0, -1}
34 6 X 18 28 {0, -1}
43 5 X 33 34 {0, -1}
35 6 X 20 1 {0, -1}
36 6 X 20 29 {0, -1}
45 5 X 35 36 {0, -1}
51 4 X 43 45 {0, -1}
55 3 X 49 51 {0, -1}
57 2 X 54 55 {0, -1}
7 11 X 1 4 {0, -1}
10 10 X 1 7 {0, -1}
15 9 X 1 10 {0, -1}
22 8 X 15 1 {0, -1}
27 7 X 1 22 {0, -1}
38 6 X 27 1 {0, -1}
13 10 X 3 2 {0, -1}
5 11 X 1 2 {0, -1}
14 10 X 3 5 {0, -1}
21 8 X 13 14 {0, -1}
26 7 X 1 21 {0, -1}
37 6 X 26 24 {0, -1}
46 5 X 37 38 {0, -1}
48 4 X 38 46 {0, -1}
53 3 X 1 48 {0, -1}
44 5 X 35 1 {0, -1}
47 4 X 1 44 {0, -1}
52 3 X 1 47 {0, -1}
56 2 X 53 52 {0, -1}
58 1 X 57 56 {0, -1}
