23
kuugfd jmhxli howgns metzdb dwdvwk isrvzl pofknd xrbasv xpbghr rwaqgi exipsm adctgf
9 1 5 12 3 4 11 2 6 10 8 7
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
3 12 X 1 2 {0, -1}
4 11 X 3 1 {0, -1}
8 10 X 4 1 {0, -1}
13 9 X 1 8 {0, -1}
15 8 X 13 1 {0, -1}
20 4 X 1 15 {0, -1}
7 10 X 3 2 {0, -1}
11 9 X 1 3 {0, -1}
16 7 X 7 11 {0, -1}
5 11 X 3 2 {0, -1}
10 10 X 5 2 {0, -1}
9 10 X 5 1 {0, -1}
14 9 X 10 9 {0, -1}
18 6 X 16 14 {0, -1}
6 10 X 3 1 {0, -1}
12 9 X 1 6 {0, -1}
17 6 X 11 12 {0, -1}
19 5 X 18 17 {0, -1}
21 3 X 20 19 {0, -1}
22 2 X 1 21 {0, -1}
23 1 X 1 22 {0, -1}
