26
ogilfn zbkpag nowqre dshdch ovcdru mgpkuc vnuwkn yreqts kiwimo xwnift
2 6 8 4 9 3 10 1 5 7
2 11 0 -1 -1 {0}
1 11 -1 -1 -1 {-1}
4 10 X 2 1 {0, -1}
6 9 X 4 1 {0, -1}
9 8 X 6 1 {0, -1}
12 7 X 9 1 {0, -1}
16 5 X 12 1 {0, -1}
3 10 X 1 2 {0, -1}
5 9 X 1 3 {0, -1}
8 8 X 1 5 {0, -1}
13 7 X 9 8 {0, -1}
17 5 X 13 1 {0, -1}
24 3 X 16 17 {0, -1}
10 7 X 1 8 {0, -1}
15 6 X 13 10 {0, -1}
18 5 X 13 15 {0, -1}
21 4 X 10 18 {0, -1}
23 3 X 1 21 {0, -1}
25 2 X 24 23 {0, -1}
7 8 X 1 3 {0, -1}
11 7 X 7 8 {0, -1}
14 6 X 1 11 {0, -1}
19 5 X 14 8 {0, -1}
20 4 X 1 19 {0, -1}
22 3 X 1 20 {0, -1}
26 1 X 25 22 {0, -1}
