925
xktxyc gbonub xffmmv nmlkld udbhyq olqhoh vyohfj aucijs xiuwle ahlarz fqdzsa wefleo ajldps kqzdbz uuegcq cazego vllteq eakcil sgmoku yrjswm
9 14 18 5 6 7 12 15 1 3 8 13 19 2 10 11 16 17 20 4
1 21 -1 -1 -1 {-1}
2 21 0 -1 -1 {0}
4 20 X 1 2 {0, -1}
20 18 X 1 4 {0, -1}
60 16 X 4 20 {0, -1}
134 15 X 60 1 {0, -1}
34 18 X 4 1 {0, -1}
85 16 X 34 1 {0, -1}
135 15 X 60 85 {0, -1}
53 17 X 34 1 {0, -1}
98 16 X 53 1 {0, -1}
136 15 X 60 98 {0, -1}
381 13 X 135 136 {0, -1}
429 12 X 135 381 {0, -1}
568 11 X 134 429 {0, -1}
15 19 X 4 1 {0, -1}
41 18 X 15 1 {0, -1}
61 16 X 4 41 {0, -1}
137 15 X 61 1 {0, -1}
228 14 X 137 1 {0, -1}
42 18 X 15 4 {0, -1}
62 16 X 4 42 {0, -1}
138 15 X 62 1 {0, -1}
229 14 X 138 1 {0, -1}
405 13 X 228 229 {0, -1}
86 16 X 34 41 {0, -1}
200 14 X 86 1 {0, -1}
139 15 X 62 86 {0, -1}
230 14 X 139 1 {0, -1}
398 13 X 200 230 {0, -1}
56 17 X 41 1 {0, -1}
99 16 X 53 56 {0, -1}
140 15 X 62 99 {0, -1}
231 14 X 140 1 {0, -1}
399 13 X 200 231 {0, -1}
548 12 X 398 399 {0, -1}
593 11 X 405 548 {0, -1}
59 16 X 4 1 {0, -1}
131 15 X 59 1 {0, -1}
225 14 X 131 1 {0, -1}
403 13 X 225 229 {0, -1}
330 13 X 1 230 {0, -1}
331 13 X 1 231 {0, -1}
511 12 X 330 331 {0, -1}
592 11 X 403 511 {0, -1}
695 10 X 593 592 {0, -1}
746 9 X 568 695 {0, -1}
176 15 X 85 1 {0, -1}
306 13 X 1 176 {0, -1}
274 13 X 1 85 {0, -1}
177 15 X 85 98 {0, -1}
307 13 X 1 177 {0, -1}
465 12 X 274 307 {0, -1}
586 11 X 306 465 {0, -1}
178 15 X 86 1 {0, -1}
258 14 X 178 1 {0, -1}
347 13 X 1 258 {0, -1}
310 13 X 1 200 {0, -1}
179 15 X 86 99 {0, -1}
259 14 X 179 1 {0, -1}
348 13 X 1 259 {0, -1}
494 12 X 310 348 {0, -1}
588 11 X 347 494 {0, -1}
748 9 X 586 588 {0, -1}
290 13 X 1 134 {0, -1}
291 13 X 1 135 {0, -1}
292 13 X 1 136 {0, -1}
479 12 X 291 292 {0, -1}
585 11 X 290 479 {0, -1}
329 13 X 1 229 {0, -1}
587 11 X 329 511 {0, -1}
747 9 X 585 587 {0, -1}
812 8 X 748 747 {0, -1}
847 7 X 746 812 {0, -1}
3 21 1 -1 -1 {1}
7 20 X 3 2 {0, 1}
14 19 X 3 7 {0, 1}
32 18 X 3 14 {0, 1}
76 16 X 14 32 {0, 1}
166 15 X 76 3 {0, 1}
29 18 X 3 7 {0, 1}
66 16 X 7 29 {0, 1}
146 15 X 66 3 {0, 1}
438 12 X 166 146 {0, 1}
35 18 X 7 3 {0, 1}
87 16 X 35 3 {0, 1}
167 15 X 76 87 {0, 1}
147 15 X 66 87 {0, 1}
54 17 X 35 3 {0, 1}
100 16 X 54 3 {0, 1}
148 15 X 66 100 {0, 1}
383 13 X 147 148 {0, 1}
439 12 X 167 383 {0, 1}
603 11 X 438 439 {0, 1}
75 16 X 14 3 {0, 1}
163 15 X 75 3 {0, 1}
246 14 X 163 3 {0, 1}
247 14 X 166 3 {0, 1}
411 13 X 246 247 {0, 1}
17 19 X 7 3 {0, 1}
43 18 X 17 3 {0, 1}
67 16 X 7 43 {0, 1}
149 15 X 67 3 {0, 1}
234 14 X 149 3 {0, 1}
44 18 X 17 7 {0, 1}
68 16 X 7 44 {0, 1}
