122
fyuadv jjhtdb yuqmfh ccxoer oggxxp vxkrbx flyjfw osxldr jijqmh btgkgu xypnvz spigpi yhzefs aponyj
12 6 9 11 2 5 8 3 4 1 7 10 14 13
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
3 14 X 1 2 {0, -1}
10 13 X 3 1 {0, -1}
27 11 X 10 1 {0, -1}
45 10 X 27 1 {0, -1}
113 4 X 45 1 {0, -1}
117 3 X 1 113 {0, -1}
69 8 X 45 1 {0, -1}
83 7 X 69 1 {0, -1}
99 6 X 83 45 {0, -1}
97 6 X 69 45 {0, -1}
108 5 X 99 97 {0, -1}
116 3 X 1 108 {0, -1}
120 2 X 117 116 {0, -1}
4 14 X 2 1 {0, -1}
35 10 X 4 2 {0, -1}
55 9 X 4 35 {0, -1}
21 11 X 2 4 {0, -1}
36 10 X 4 21 {0, -1}
56 9 X 4 36 {0, -1}
75 8 X 55 56 {0, -1}
7 13 X 1 4 {0, -1}
37 10 X 7 1 {0, -1}
65 8 X 1 37 {0, -1}
87 7 X 75 65 {0, -1}
33 10 X 1 3 {0, -1}
53 9 X 1 33 {0, -1}
11 13 X 4 1 {0, -1}
29 11 X 11 1 {0, -1}
49 10 X 29 1 {0, -1}
23 11 X 3 1 {0, -1}
50 10 X 29 23 {0, -1}
60 9 X 49 50 {0, -1}
71 8 X 53 60 {0, -1}
84 7 X 71 1 {0, -1}
102 6 X 87 84 {0, -1}
34 10 X 1 23 {0, -1}
54 9 X 1 34 {0, -1}
73 8 X 54 60 {0, -1}
85 7 X 73 1 {0, -1}
100 6 X 85 84 {0, -1}
110 5 X 102 100 {0, -1}
20 11 X 1 7 {0, -1}
38 10 X 20 1 {0, -1}
57 9 X 38 1 {0, -1}
68 8 X 1 57 {0, -1}
96 6 X 68 1 {0, -1}
107 5 X 96 1 {0, -1}
114 4 X 110 107 {0, -1}
8 13 X 2 1 {0, -1}
14 12 X 2 8 {0, -1}
18 12 X 11 8 {0, -1}
30 11 X 14 18 {0, -1}
9 13 X 2 3 {0, -1}
15 12 X 2 9 {0, -1}
19 12 X 11 9 {0, -1}
31 11 X 15 19 {0, -1}
51 10 X 30 31 {0, -1}
17 12 X 4 2 {0, -1}
22 11 X 2 17 {0, -1}
61 9 X 51 22 {0, -1}
39 10 X 21 2 {0, -1}
78 8 X 61 39 {0, -1}
5 13 X 1 2 {0, -1}
25 11 X 5 7 {0, -1}
43 10 X 25 1 {0, -1}
66 8 X 1 43 {0, -1}
89 7 X 78 66 {0, -1}
16 12 X 3 10 {0, -1}
13 12 X 1 10 {0, -1}
32 11 X 16 13 {0, -1}
12 12 X 1 3 {0, -1}
24 11 X 3 12 {0, -1}
52 10 X 32 24 {0, -1}
62 9 X 52 24 {0, -1}
40 10 X 23 3 {0, -1}
79 8 X 62 40 {0, -1}
6 13 X 1 3 {0, -1}
26 11 X 6 1 {0, -1}
44 10 X 26 1 {0, -1}
67 8 X 1 44 {0, -1}
91 7 X 79 67 {0, -1}
104 6 X 89 91 {0, -1}
42 10 X 24 23 {0, -1}
64 9 X 52 42 {0, -1}
58 9 X 40 23 {0, -1}
82 8 X 64 58 {0, -1}
95 7 X 82 1 {0, -1}
90 7 X 79 1 {0, -1}
106 6 X 95 90 {0, -1}
112 5 X 104 106 {0, -1}
115 4 X 112 1 {0, -1}
119 3 X 114 115 {0, -1}
74 8 X 55 1 {0, -1}
86 7 X 74 1 {0, -1}
101 6 X 86 71 {0, -1}
72 8 X 54 1 {0, -1}
98 6 X 72 71 {0, -1}
109 5 X 101 98 {0, -1}
77 8 X 61 1 {0, -1}
88 7 X 77 1 {0, -1}
41 10 X 23 24 {0, -1}
63 9 X 52 41 {0, -1}
80 8 X 63 40 {0, -1}
93 7 X 80 79 {0, -1}
103 6 X 88 93 {0, -1}
81 8 X 64 1 {0, -1}
28 11 X 10 13 {0, -1}
48 10 X 28 24 {0, -1}
47 10 X 28 23 {0, -1}
59 9 X 48 47 {0, -1}
76 8 X 59 1 {0, -1}
94 7 X 81 76 {0, -1}
46 10 X 27 3 {0, -1}
70 8 X 48 46 {0, -1}
92 7 X 80 70 {0, -1}
105 6 X 94 92 {0, -1}
111 5 X 103 105 {0, -1}
118 3 X 109 111 {0, -1}
121 2 X 119 118 {0, -1}
122 1 X 120 121 {0, -1}
