188
akumce tbmdoy cwzecu tbkjoq rmglpb qkmton emgolb yssumj vhtqjx yjboir vynewx rwbdmy xblnxe nggxcw uqynxt ciaako eyqzts fyjyzd oermfg rcgyfb
16 12 14 9 15 20 11 17 18 5 2 19 6 10 7 4 3 13 8 1
1 21 -1 -1 -1 {-1}
2 21 0 -1 -1 {0}
3 20 X 1 2 {0, -1}
4 20 X 2 1 {0, -1}
9 19 X 3 4 {0, -1}
16 18 X 9 1 {0, -1}
25 17 X 16 1 {0, -1}
35 16 X 25 1 {0, -1}
7 19 X 3 1 {0, -1}
14 18 X 7 1 {0, -1}
24 17 X 14 1 {0, -1}
34 16 X 24 1 {0, -1}
66 14 X 35 34 {0, -1}
106 12 X 66 1 {0, -1}
101 12 X 34 1 {0, -1}
124 11 X 106 101 {0, -1}
51 14 X 1 34 {0, -1}
102 12 X 51 1 {0, -1}
132 10 X 124 102 {0, -1}
144 9 X 1 132 {0, -1}
5 19 X 1 2 {0, -1}
10 18 X 1 5 {0, -1}
17 17 X 1 10 {0, -1}
26 16 X 1 17 {0, -1}
38 15 X 1 26 {0, -1}
53 14 X 1 38 {0, -1}
50 14 X 1 26 {0, -1}
78 13 X 53 50 {0, -1}
96 12 X 14 78 {0, -1}
18 17 X 1 14 {0, -1}
29 16 X 14 18 {0, -1}
39 15 X 1 29 {0, -1}
8 19 X 3 2 {0, -1}
15 18 X 7 8 {0, -1}
19 17 X 1 15 {0, -1}
30 16 X 14 19 {0, -1}
40 15 X 1 30 {0, -1}
69 14 X 39 40 {0, -1}
62 14 X 29 30 {0, -1}
81 13 X 69 62 {0, -1}
99 12 X 29 81 {0, -1}
119 11 X 96 99 {0, -1}
57 14 X 18 14 {0, -1}
103 12 X 57 78 {0, -1}
58 14 X 18 29 {0, -1}
36 15 X 1 18 {0, -1}
31 16 X 18 19 {0, -1}
41 15 X 1 31 {0, -1}
67 14 X 36 41 {0, -1}
47 15 X 30 31 {0, -1}
61 14 X 18 47 {0, -1}
79 13 X 67 61 {0, -1}
104 12 X 58 79 {0, -1}
122 11 X 103 104 {0, -1}
131 10 X 119 122 {0, -1}
143 9 X 1 131 {0, -1}
154 8 X 144 143 {0, -1}
162 7 X 1 154 {0, -1}
77 13 X 39 29 {0, -1}
94 12 X 1 77 {0, -1}
109 11 X 1 94 {0, -1}
46 15 X 29 18 {0, -1}
60 14 X 18 46 {0, -1}
76 13 X 36 60 {0, -1}
93 12 X 1 76 {0, -1}
108 11 X 1 93 {0, -1}
125 10 X 109 108 {0, -1}
139 9 X 1 125 {0, -1}
148 8 X 1 139 {0, -1}
158 7 X 1 148 {0, -1}
173 6 X 162 158 {0, -1}
167 6 X 1 158 {0, -1}
178 5 X 173 167 {0, -1}
182 4 X 1 178 {0, -1}
70 14 X 39 41 {0, -1}
64 14 X 29 47 {0, -1}
82 13 X 70 64 {0, -1}
100 12 X 29 82 {0, -1}
120 11 X 96 100 {0, -1}
130 10 X 119 120 {0, -1}
142 9 X 1 130 {0, -1}
150 8 X 1 142 {0, -1}
160 7 X 1 150 {0, -1}
68 14 X 39 36 {0, -1}
63 14 X 29 46 {0, -1}
80 13 X 68 63 {0, -1}
95 12 X 1 80 {0, -1}
110 11 X 1 95 {0, -1}
126 10 X 109 110 {0, -1}
140 9 X 1 126 {0, -1}
149 8 X 1 140 {0, -1}
159 7 X 1 149 {0, -1}
171 6 X 160 159 {0, -1}
168 6 X 1 159 {0, -1}
176 5 X 171 168 {0, -1}
181 4 X 1 176 {0, -1}
185 3 X 182 181 {0, -1}
6 19 X 1 4 {0, -1}
13 18 X 6 1 {0, -1}
23 17 X 13 1 {0, -1}
20 17 X 6 1 {0, -1}
33 16 X 23 20 {0, -1}
49 15 X 33 23 {0, -1}
56 14 X 1 49 {0, -1}
75 13 X 1 56 {0, -1}
92 12 X 1 75 {0, -1}
118 11 X 92 1 {0, -1}
48 15 X 33 1 {0, -1}
55 14 X 1 48 {0, -1}
74 13 X 1 55 {0, -1}
91 12 X 1 74 {0, -1}
117 11 X 91 1 {0, -1}
129 10 X 118 117 {0, -1}
141 9 X 1 129 {0, -1}
11 18 X 1 6 {0, -1}
21 17 X 11 1 {0, -1}
27 16 X 1 21 {0, -1}
44 15 X 27 1 {0, -1}
54 14 X 1 44 {0, -1}
73 13 X 1 54 {0, -1}
90 12 X 1 73 {0, -1}
116 11 X 90 1 {0, -1}
136 9 X 1 116 {0, -1}
153 8 X 141 136 {0, -1}
164 7 X 153 1 {0, -1}
12 18 X 4 1 {0, -1}
22 17 X 12 1 {0, -1}
37 15 X 1 22 {0, -1}
52 14 X 1 37 {0, -1}
86 12 X 1 52 {0, -1}
113 11 X 86 1 {0, -1}
127 10 X 113 1 {0, -1}
32 16 X 23 1 {0, -1}
43 15 X 23 32 {0, -1}
71 14 X 43 23 {0, -1}
88 12 X 1 71 {0, -1}
114 11 X 88 1 {0, -1}
42 15 X 23 1 {0, -1}
84 12 X 1 42 {0, -1}
111 11 X 84 1 {0, -1}
128 10 X 114 111 {0, -1}
145 9 X 127 128 {0, -1}
155 8 X 145 1 {0, -1}
165 7 X 155 1 {0, -1}
174 6 X 164 165 {0, -1}
179 5 X 174 1 {0, -1}
85 12 X 1 50 {0, -1}
59 14 X 18 31 {0, -1}
87 12 X 1 59 {0, -1}
112 11 X 85 87 {0, -1}
134 9 X 1 112 {0, -1}
147 8 X 1 134 {0, -1}
157 7 X 1 147 {0, -1}
83 12 X 1 18 {0, -1}
107 11 X 1 83 {0, -1}
133 9 X 1 107 {0, -1}
146 8 X 1 133 {0, -1}
156 7 X 1 146 {0, -1}
170 6 X 157 156 {0, -1}
166 6 X 1 156 {0, -1}
175 5 X 170 166 {0, -1}
183 4 X 179 175 {0, -1}
28 16 X 1 23 {0, -1}
45 15 X 28 1 {0, -1}
72 14 X 45 1 {0, -1}
89 12 X 1 72 {0, -1}
115 11 X 89 1 {0, -1}
135 9 X 1 115 {0, -1}
151 8 X 135 1 {0, -1}
163 7 X 151 1 {0, -1}
169 6 X 1 163 {0, -1}
180 5 X 174 169 {0, -1}
65 14 X 32 1 {0, -1}
105 12 X 65 1 {0, -1}
123 11 X 105 1 {0, -1}
138 9 X 1 123 {0, -1}
97 12 X 18 50 {0, -1}
98 12 X 18 59 {0, -1}
121 11 X 97 98 {0, -1}
137 9 X 1 121 {0, -1}
152 8 X 138 137 {0, -1}
161 7 X 1 152 {0, -1}
172 6 X 161 156 {0, -1}
177 5 X 172 166 {0, -1}
184 4 X 180 177 {0, -1}
186 3 X 183 184 {0, -1}
187 2 X 185 186 {0, -1}
188 1 X 187 1 {0, -1}
