39
xdwrcu gmizxl hsttox reache mupqsh ejmdvp wpwrsm tnuflb nekjve evucmm
2 6 4 3 1 7 5 9 8 10
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
7 9 X 3 1 {0, -1}
9 8 X 1 7 {0, -1}
23 5 X 9 1 {0, -1}
18 6 X 3 1 {0, -1}
24 5 X 18 1 {0, -1}
30 4 X 23 24 {0, -1}
33 3 X 1 30 {0, -1}
6 9 X 2 1 {0, -1}
11 8 X 7 6 {0, -1}
5 9 X 1 3 {0, -1}
4 9 X 1 2 {0, -1}
10 8 X 5 4 {0, -1}
19 6 X 11 10 {0, -1}
13 7 X 1 10 {0, -1}
17 6 X 1 13 {0, -1}
25 5 X 19 17 {0, -1}
31 4 X 23 25 {0, -1}
14 7 X 3 5 {0, -1}
20 6 X 14 3 {0, -1}
26 5 X 20 1 {0, -1}
32 4 X 23 26 {0, -1}
36 3 X 31 32 {0, -1}
37 2 X 33 36 {0, -1}
8 8 X 1 5 {0, -1}
12 7 X 1 8 {0, -1}
22 5 X 8 12 {0, -1}
28 4 X 1 22 {0, -1}
34 3 X 28 1 {0, -1}
15 7 X 3 8 {0, -1}
16 7 X 5 8 {0, -1}
21 6 X 15 16 {0, -1}
27 5 X 21 1 {0, -1}
29 4 X 1 27 {0, -1}
35 3 X 29 1 {0, -1}
38 2 X 34 35 {0, -1}
39 1 X 37 38 {0, -1}
