252
xkygno rceruj dnstba psjrdd yxfkue tqprtz sgulpg gqrzdk fglted vlnrkq hmhmse xfalzt gyktzj vcxtrv tvwaun sbvzcy onotem rtgmgy
6 3 13 2 15 5 9 16 14 11 1 17 18 7 10 8 4 12
3 19 1 -1 -1 {1}
1 19 -1 -1 -1 {-1}
5 18 X 1 3 {1, -1}
17 16 X 3 5 {1, -1}
2 19 0 -1 -1 {0}
6 18 X 2 3 {0, 1}
14 17 X 6 3 {0, 1}
15 17 X 6 5 {0, 1, -1}
28 16 X 14 15 {0, 1, -1}
40 15 X 17 28 {0, 1, -1}
48 14 X 17 40 {0, 1, -1}
75 13 X 48 17 {0, 1, -1}
111 12 X 75 17 {0, 1, -1}
116 11 X 17 111 {0, 1, -1}
147 10 X 116 17 {0, 1, -1}
179 9 X 147 17 {0, 1, -1}
180 8 X 17 179 {0, 1, -1}
197 7 X 17 180 {0, 1, -1}
8 17 X 3 6 {0, 1}
13 17 X 5 6 {0, 1, -1}
25 16 X 8 13 {0, 1, -1}
37 15 X 17 25 {0, 1, -1}
47 14 X 17 37 {0, 1, -1}
74 13 X 47 17 {0, 1, -1}
62 13 X 37 17 {0, 1, -1}
110 12 X 74 62 {0, 1, -1}
29 15 X 17 6 {0, 1, -1}
41 14 X 17 29 {0, 1, -1}
64 13 X 41 17 {0, 1, -1}
51 13 X 29 17 {0, 1, -1}
99 12 X 64 51 {0, 1, -1}
140 11 X 110 99 {0, 1, -1}
90 12 X 17 62 {0, 1, -1}
79 12 X 17 51 {0, 1, -1}
129 11 X 90 79 {0, 1, -1}
159 10 X 140 129 {0, 1, -1}
100 12 X 64 62 {0, 1, -1}
141 11 X 110 100 {0, 1, -1}
160 10 X 141 90 {0, 1, -1}
186 8 X 159 160 {0, 1, -1}
203 7 X 17 186 {0, 1, -1}
228 6 X 197 203 {0, 1, -1}
10 17 X 5 2 {0, 1, -1}
24 16 X 8 10 {0, 1, -1}
36 15 X 17 24 {0, 1, -1}
46 14 X 17 36 {0, 1, -1}
72 13 X 46 17 {0, 1, -1}
20 16 X 6 2 {0, 1}
32 15 X 17 20 {0, 1, -1}
44 14 X 17 32 {0, 1, -1}
68 13 X 44 17 {0, 1, -1}
120 11 X 72 68 {0, 1, -1}
96 12 X 17 72 {0, 1, -1}
93 12 X 17 68 {0, 1, -1}
132 11 X 96 93 {0, 1, -1}
150 10 X 120 132 {0, 1, -1}
169 9 X 17 150 {0, 1, -1}
105 12 X 68 72 {0, 1, -1}
121 11 X 72 105 {0, 1, -1}
151 10 X 121 96 {0, 1, -1}
170 9 X 17 151 {0, 1, -1}
190 8 X 169 170 {0, 1, -1}
205 7 X 17 190 {0, 1, -1}
215 6 X 17 205 {0, 1, -1}
237 5 X 228 215 {0, 1, -1}
241 4 X 17 237 {0, 1, -1}
181 8 X 129 90 {0, 1, -1}
198 7 X 17 181 {0, 1, -1}
213 6 X 17 198 {0, 1, -1}
4 18 X 1 2 {0, -1}
12 17 X 5 4 {0, 1, -1}
19 16 X 3 12 {0, 1, -1}
31 15 X 17 19 {0, 1, -1}
43 14 X 17 31 {0, 1, -1}
73 13 X 46 43 {0, 1, -1}
97 12 X 17 73 {0, 1, -1}
70 13 X 44 43 {0, 1, -1}
95 12 X 17 70 {0, 1, -1}
134 11 X 97 95 {0, 1, -1}
16 16 X 3 4 {0, 1, -1}
30 15 X 17 16 {0, 1, -1}
42 14 X 17 30 {0, 1, -1}
69 13 X 44 42 {0, 1, -1}
94 12 X 17 69 {0, 1, -1}
133 11 X 97 94 {0, 1, -1}
154 10 X 134 133 {0, 1, -1}
172 9 X 17 154 {0, 1, -1}
162 9 X 17 97 {0, 1, -1}
192 8 X 172 162 {0, 1, -1}
207 7 X 17 192 {0, 1, -1}
216 6 X 17 207 {0, 1, -1}
231 5 X 213 216 {0, 1, -1}
240 4 X 17 231 {0, 1, -1}
247 3 X 241 240 {0, 1, -1}
66 13 X 43 17 {0, 1, -1}
65 13 X 42 17 {0, 1, -1}
118 11 X 66 65 {0, 1, -1}
148 10 X 118 17 {0, 1, -1}
102 12 X 65 66 {0, 1, -1}
119 11 X 66 102 {0, 1, -1}
149 10 X 119 17 {0, 1, -1}
184 8 X 148 149 {0, 1, -1}
201 7 X 17 184 {0, 1, -1}
214 6 X 17 201 {0, 1, -1}
230 5 X 17 214 {0, 1, -1}
239 4 X 17 230 {0, 1, -1}
76 12 X 17 43 {0, 1, -1}
142 10 X 76 17 {0, 1, -1}
167 9 X 17 142 {0, 1, -1}
196 7 X 17 167 {0, 1, -1}
212 6 X 17 196 {0, 1, -1}
229 5 X 17 212 {0, 1, -1}
238 4 X 17 229 {0, 1, -1}
246 3 X 239 238 {0, 1, -1}
250 2 X 247 246 {0, 1, -1}
11 17 X 5 3 {1, -1}
18 16 X 3 11 {1, -1}
177 9 X 18 17 {1, -1}
21 16 X 6 5 {0, 1, -1}
33 15 X 17 21 {0, 1, -1}
57 13 X 33 17 {0, 1, -1}
117 11 X 57 17 {0, 1, -1}
163 9 X 17 117 {0, 1, -1}
23 16 X 8 5 {0, 1, -1}
35 15 X 17 23 {0, 1, -1}
59 13 X 35 17 {0, 1, -1}
98 12 X 57 59 {0, 1, -1}
135 11 X 98 17 {0, 1, -1}
166 9 X 17 135 {0, 1, -1}
187 8 X 163 166 {0, 1, -1}
45 14 X 17 33 {0, 1, -1}
71 13 X 45 17 {0, 1, -1}
106 12 X 71 57 {0, 1, -1}
136 11 X 106 17 {0, 1, -1}
85 12 X 17 57 {0, 1, -1}
123 11 X 85 17 {0, 1, -1}
155 10 X 136 123 {0, 1, -1}
173 9 X 17 155 {0, 1, -1}
107 12 X 71 59 {0, 1, -1}
137 11 X 107 17 {0, 1, -1}
87 12 X 17 59 {0, 1, -1}
125 11 X 87 17 {0, 1, -1}
156 10 X 137 125 {0, 1, -1}
174 9 X 17 156 {0, 1, -1}
193 8 X 173 174 {0, 1, -1}
210 7 X 187 193 {0, 1, -1}
226 6 X 177 210 {0, 1, -1}
221 6 X 177 203 {0, 1, -1}
60 13 X 36 17 {0, 1, -1}
108 12 X 72 60 {0, 1, -1}
54 13 X 32 17 {0, 1, -1}
103 12 X 68 54 {0, 1, -1}
138 11 X 108 103 {0, 1, -1}
88 12 X 17 60 {0, 1, -1}
82 12 X 17 54 {0, 1, -1}
126 11 X 88 82 {0, 1, -1}
157 10 X 138 126 {0, 1, -1}
175 9 X 17 157 {0, 1, -1}
109 12 X 72 62 {0, 1, -1}
104 12 X 68 62 {0, 1, -1}
139 11 X 109 104 {0, 1, -1}
158 10 X 139 90 {0, 1, -1}
176 9 X 17 158 {0, 1, -1}
194 8 X 175 176 {0, 1, -1}
208 7 X 17 194 {0, 1, -1}
224 6 X 177 208 {0, 1, -1}
235 5 X 221 224 {0, 1, -1}
244 4 X 226 235 {0, 1, -1}
7 18 X 3 2 {0, 1}
9 17 X 3 7 {0, 1}
26 16 X 9 5 {0, 1, -1}
38 15 X 17 26 {0, 1, -1}
49 13 X 17 38 {0, 1, -1}
77 12 X 17 49 {0, 1, -1}
122 11 X 77 17 {0, 1, -1}
58 13 X 33 38 {0, 1, -1}
86 12 X 17 58 {0, 1, -1}
124 11 X 86 17 {0, 1, -1}
178 9 X 122 124 {0, 1, -1}
165 9 X 17 125 {0, 1, -1}
195 8 X 178 165 {0, 1, -1}
211 7 X 187 195 {0, 1, -1}
227 6 X 177 211 {0, 1, -1}
164 9 X 17 124 {0, 1, -1}
188 8 X 164 165 {0, 1, -1}
209 7 X 187 188 {0, 1, -1}
225 6 X 177 209 {0, 1, -1}
236 5 X 227 225 {0, 1, -1}
27 16 X 9 12 {0, 1, -1}
39 15 X 17 27 {0, 1, -1}
63 13 X 37 39 {0, 1, -1}
91 12 X 17 63 {0, 1, -1}
53 13 X 29 39 {0, 1, -1}
81 12 X 17 53 {0, 1, -1}
131 11 X 91 81 {0, 1, -1}
22 16 X 7 4 {0, 1, -1}
34 15 X 17 22 {0, 1, -1}
