473
aphjsp nsywcp edrtve ixozrb hawwwl ejzjyk awtfzs gttkpu ilnulh ybwive laslhx sdyovr zlwbog bosgix uvmmka vkuoij bctfvb amxgks
7 11 1 8 2 9 14 18 3 4 6 10 13 16 17 12 15 5
3 19 1 -1 -1 {1}
2 19 0 -1 -1 {0}
6 18 X 3 2 {0, 1}
22 16 X 6 2 {0, 1}
55 15 X 22 3 {0, 1}
137 13 X 3 55 {0, 1}
36 15 X 2 3 {0, 1}
106 14 X 55 36 {0, 1}
151 13 X 3 106 {0, 1}
269 11 X 137 151 {0, 1}
322 10 X 269 3 {0, 1}
105 14 X 55 3 {0, 1}
150 13 X 3 105 {0, 1}
11 17 X 3 6 {0, 1}
9 17 X 3 2 {0, 1}
31 16 X 11 9 {0, 1}
70 15 X 31 3 {0, 1}
120 14 X 70 3 {0, 1}
152 13 X 3 120 {0, 1}
318 10 X 150 152 {0, 1}
379 9 X 322 318 {0, 1}
236 12 X 150 3 {0, 1}
277 11 X 150 236 {0, 1}
332 10 X 277 152 {0, 1}
380 9 X 322 332 {0, 1}
409 8 X 379 380 {0, 1}
434 7 X 409 3 {0, 1}
12 17 X 6 3 {0, 1}
5 18 X 2 3 {0, 1}
8 17 X 2 5 {0, 1}
34 16 X 12 8 {0, 1}
75 15 X 34 3 {0, 1}
138 13 X 3 75 {0, 1}
270 11 X 138 151 {0, 1}
325 10 X 270 3 {0, 1}
126 14 X 75 3 {0, 1}
153 13 X 3 126 {0, 1}
278 11 X 153 150 {0, 1}
10 17 X 3 5 {0, 1}
21 16 X 3 10 {0, 1}
54 15 X 21 3 {0, 1}
104 14 X 54 3 {0, 1}
149 13 X 3 104 {0, 1}
276 11 X 149 152 {0, 1}
334 10 X 278 276 {0, 1}
383 9 X 325 334 {0, 1}
412 8 X 383 3 {0, 1}
436 7 X 412 3 {0, 1}
449 6 X 434 436 {0, 1}
135 13 X 3 36 {0, 1}
316 10 X 135 3 {0, 1}
90 14 X 36 3 {0, 1}
142 13 X 3 90 {0, 1}
230 12 X 142 3 {0, 1}
271 11 X 142 230 {0, 1}
40 15 X 9 3 {0, 1}
91 14 X 40 3 {0, 1}
143 13 X 3 91 {0, 1}
328 10 X 271 143 {0, 1}
378 9 X 316 328 {0, 1}
408 8 X 379 378 {0, 1}
433 7 X 408 3 {0, 1}
448 6 X 433 436 {0, 1}
460 5 X 449 448 {0, 1}
32 16 X 11 10 {0, 1}
87 14 X 31 32 {0, 1}
25 16 X 6 9 {0, 1}
60 15 X 25 22 {0, 1}
26 16 X 6 10 {0, 1}
24 16 X 6 8 {0, 1}
62 15 X 26 24 {0, 1}
112 14 X 60 62 {0, 1}
177 13 X 87 112 {0, 1}
71 15 X 31 22 {0, 1}
74 15 X 32 24 {0, 1}
123 14 X 71 74 {0, 1}
179 13 X 87 123 {0, 1}
258 12 X 177 179 {0, 1}
86 14 X 31 9 {0, 1}
16 16 X 2 9 {0, 1}
48 15 X 16 2 {0, 1}
111 14 X 60 48 {0, 1}
173 13 X 86 111 {0, 1}
37 15 X 3 9 {0, 1}
88 14 X 31 37 {0, 1}
39 15 X 9 2 {0, 1}
122 14 X 71 39 {0, 1}
183 13 X 88 122 {0, 1}
256 12 X 173 183 {0, 1}
307 11 X 258 256 {0, 1}
182 13 X 88 86 {0, 1}
225 12 X 86 182 {0, 1}
268 11 X 87 225 {0, 1}
354 10 X 307 268 {0, 1}
30 16 X 11 3 {0, 1}
73 15 X 31 30 {0, 1}
125 14 X 73 3 {0, 1}
23 16 X 6 3 {0, 1}
61 15 X 25 23 {0, 1}
113 14 X 61 3 {0, 1}
200 13 X 125 113 {0, 1}
72 15 X 31 23 {0, 1}
124 14 X 72 3 {0, 1}
203 13 X 125 124 {0, 1}
265 12 X 200 203 {0, 1}
85 14 X 30 3 {0, 1}
83 14 X 23 3 {0, 1}
165 13 X 85 83 {0, 1}
68 15 X 30 23 {0, 1}
119 14 X 68 3 {0, 1}
168 13 X 85 119 {0, 1}
249 12 X 165 168 {0, 1}
313 11 X 265 249 {0, 1}
360 10 X 313 125 {0, 1}
394 9 X 354 360 {0, 1}
59 15 X 25 3 {0, 1}
158 13 X 31 59 {0, 1}
242 12 X 158 70 {0, 1}
49 15 X 16 3 {0, 1}
110 14 X 59 49 {0, 1}
172 13 X 86 110 {0, 1}
121 14 X 70 40 {0, 1}
195 13 X 120 121 {0, 1}
255 12 X 172 195 {0, 1}
303 11 X 242 255 {0, 1}
159 13 X 31 70 {0, 1}
243 12 X 159 70 {0, 1}
174 13 X 86 121 {0, 1}
257 12 X 174 195 {0, 1}
304 11 X 243 257 {0, 1}
352 10 X 303 304 {0, 1}
109 14 X 59 3 {0, 1}
199 13 X 125 109 {0, 1}
264 12 X 199 120 {0, 1}
57 15 X 23 3 {0, 1}
108 14 X 57 3 {0, 1}
166 13 X 85 108 {0, 1}
67 15 X 30 3 {0, 1}
118 14 X 67 3 {0, 1}
192 13 X 118 3 {0, 1}
250 12 X 166 192 {0, 1}
312 11 X 264 250 {0, 1}
202 13 X 125 120 {0, 1}
267 12 X 202 120 {0, 1}
359 10 X 312 267 {0, 1}
392 9 X 352 359 {0, 1}
421 8 X 394 392 {0, 1}
440 7 X 421 3 {0, 1}
453 6 X 440 3 {0, 1}
27 16 X 6 11 {0, 1}
64 15 X 27 6 {0, 1}
28 16 X 6 12 {0, 1}
58 15 X 23 28 {0, 1}
115 14 X 64 58 {0, 1}
178 13 X 87 115 {0, 1}
43 15 X 11 6 {0, 1}
69 15 X 30 28 {0, 1}
94 14 X 43 69 {0, 1}
176 13 X 87 94 {0, 1}
259 12 X 178 176 {0, 1}
169 13 X 86 64 {0, 1}
180 13 X 88 43 {0, 1}
252 12 X 169 180 {0, 1}
308 11 X 259 252 {0, 1}
355 10 X 308 268 {0, 1}
65 15 X 27 23 {0, 1}
116 14 X 65 3 {0, 1}
201 13 X 125 116 {0, 1}
44 15 X 11 23 {0, 1}
95 14 X 44 3 {0, 1}
196 13 X 125 95 {0, 1}
266 12 X 201 196 {0, 1}
314 11 X 266 249 {0, 1}
361 10 X 314 125 {0, 1}
395 9 X 355 361 {0, 1}
63 15 X 27 3 {0, 1}
155 13 X 9 63 {0, 1}
42 15 X 11 3 {0, 1}
160 13 X 40 42 {0, 1}
239 12 X 155 160 {0, 1}
185 13 X 91 42 {0, 1}
240 12 X 155 185 {0, 1}
301 11 X 239 240 {0, 1}
154 13 X 9 40 {0, 1}
237 12 X 154 40 {0, 1}
184 13 X 91 40 {0, 1}
238 12 X 154 184 {0, 1}
300 11 X 237 238 {0, 1}
350 10 X 301 300 {0, 1}
29 16 X 9 3 {0, 1}
41 15 X 9 29 {0, 1}
92 14 X 41 3 {0, 1}
114 14 X 63 3 {0, 1}
188 13 X 92 114 {0, 1}
93 14 X 42 3 {0, 1}
186 13 X 91 93 {0, 1}
261 12 X 188 186 {0, 1}
84 14 X 29 3 {0, 1}
164 13 X 84 108 {0, 1}
66 15 X 29 3 {0, 1}
117 14 X 66 3 {0, 1}
191 13 X 117 3 {0, 1}
248 12 X 164 191 {0, 1}
309 11 X 261 248 {0, 1}
