27
tdpwym kwwxip aybrsd pcmicg fphjjs ubjopc deseon rafflr
4 8 6 5 1 2 7 3
1 9 -1 -1 -1 {-1}
2 9 0 -1 -1 {0}
3 8 X 1 2 {0, -1}
5 7 X 3 1 {0, -1}
8 6 X 5 1 {0, -1}
6 6 X 1 3 {0, -1}
12 5 X 6 1 {0, -1}
18 4 X 8 12 {0, -1}
4 7 X 2 1 {0, -1}
9 6 X 5 4 {0, -1}
11 5 X 5 9 {0, -1}
19 4 X 11 12 {0, -1}
23 3 X 18 19 {0, -1}
7 6 X 1 5 {0, -1}
10 5 X 4 7 {0, -1}
17 4 X 8 10 {0, -1}
22 3 X 17 1 {0, -1}
26 2 X 23 22 {0, -1}
15 4 X 7 12 {0, -1}
13 5 X 7 1 {0, -1}
16 4 X 7 13 {0, -1}
21 3 X 15 16 {0, -1}
14 5 X 7 6 {0, -1}
20 4 X 14 6 {0, -1}
24 3 X 20 16 {0, -1}
25 2 X 21 24 {0, -1}
27 1 X 26 25 {0, -1}
