379
jqgwod hnbbrk fbbuoy keyxzk nsnftb xscrot uldgmt jgsala lzxfql ocgdhc zlyhum eyamuk rhyvxp wggvaj qpedxq tjjkev cjktfg gvdncf
5 10 16 13 1 9 15 12 2 3 4 7 8 11 14 17 18 6
1 19 -1 -1 -1 {-1}
2 19 0 -1 -1 {0}
3 18 X 1 2 {0, -1}
6 17 X 1 3 {0, -1}
5 17 X 1 2 {0, -1}
13 16 X 6 5 {0, -1}
18 15 X 1 13 {0, -1}
31 14 X 1 18 {0, -1}
48 13 X 13 31 {0, -1}
90 12 X 48 1 {0, -1}
138 11 X 1 90 {0, -1}
194 10 X 1 138 {0, -1}
8 16 X 1 5 {0, -1}
16 15 X 1 8 {0, -1}
29 14 X 1 16 {0, -1}
45 13 X 8 29 {0, -1}
9 16 X 1 6 {0, -1}
17 15 X 1 9 {0, -1}
30 14 X 1 17 {0, -1}
47 13 X 9 30 {0, -1}
88 12 X 45 47 {0, -1}
137 11 X 1 88 {0, -1}
15 15 X 1 6 {0, -1}
28 14 X 1 15 {0, -1}
43 13 X 6 28 {0, -1}
91 12 X 48 43 {0, -1}
139 11 X 1 91 {0, -1}
217 10 X 137 139 {0, -1}
285 8 X 217 1 {0, -1}
305 7 X 194 285 {0, -1}
20 15 X 5 13 {0, -1}
4 18 X 2 1 {0, -1}
7 17 X 1 4 {0, -1}
11 16 X 5 7 {0, -1}
14 16 X 6 7 {0, -1}
23 15 X 11 14 {0, -1}
41 14 X 20 23 {0, -1}
78 13 X 41 1 {0, -1}
119 12 X 78 1 {0, -1}
58 13 X 20 31 {0, -1}
107 12 X 58 1 {0, -1}
184 11 X 119 107 {0, -1}
208 10 X 1 184 {0, -1}
44 13 X 8 1 {0, -1}
35 14 X 8 1 {0, -1}
72 13 X 35 1 {0, -1}
87 12 X 44 72 {0, -1}
168 11 X 87 88 {0, -1}
10 16 X 5 1 {0, -1}
12 16 X 6 1 {0, -1}
22 15 X 10 12 {0, -1}
40 14 X 20 22 {0, -1}
77 13 X 40 1 {0, -1}
120 12 X 78 77 {0, -1}
108 12 X 58 43 {0, -1}
186 11 X 120 108 {0, -1}
229 10 X 168 186 {0, -1}
143 11 X 1 108 {0, -1}
218 10 X 137 143 {0, -1}
259 9 X 229 218 {0, -1}
167 11 X 87 1 {0, -1}
185 11 X 120 1 {0, -1}
228 10 X 167 185 {0, -1}
258 9 X 228 1 {0, -1}
302 8 X 259 258 {0, -1}
308 7 X 208 302 {0, -1}
341 6 X 305 308 {0, -1}
195 10 X 1 139 {0, -1}
270 8 X 195 1 {0, -1}
318 7 X 270 285 {0, -1}
288 8 X 229 1 {0, -1}
301 8 X 259 1 {0, -1}
327 7 X 288 301 {0, -1}
351 6 X 318 327 {0, -1}
360 5 X 341 351 {0, -1}
27 14 X 1 13 {0, -1}
63 13 X 27 31 {0, -1}
110 12 X 63 1 {0, -1}
145 11 X 1 110 {0, -1}
199 10 X 1 145 {0, -1}
25 14 X 1 8 {0, -1}
60 13 X 25 29 {0, -1}
26 14 X 1 9 {0, -1}
62 13 X 26 30 {0, -1}
109 12 X 60 62 {0, -1}
144 11 X 1 109 {0, -1}
24 14 X 1 6 {0, -1}
59 13 X 24 28 {0, -1}
111 12 X 63 59 {0, -1}
146 11 X 1 111 {0, -1}
219 10 X 144 146 {0, -1}
286 8 X 219 1 {0, -1}
306 7 X 199 286 {0, -1}
57 13 X 20 1 {0, -1}
106 12 X 57 1 {0, -1}
178 11 X 106 107 {0, -1}
206 10 X 1 178 {0, -1}
151 11 X 44 88 {0, -1}
156 11 X 57 108 {0, -1}
221 10 X 151 156 {0, -1}
32 14 X 1 20 {0, -1}
69 13 X 32 31 {0, -1}
115 12 X 69 59 {0, -1}
148 11 X 1 115 {0, -1}
220 10 X 144 148 {0, -1}
257 9 X 221 220 {0, -1}
300 8 X 257 1 {0, -1}
307 7 X 206 300 {0, -1}
342 6 X 306 307 {0, -1}
200 10 X 1 146 {0, -1}
273 8 X 200 1 {0, -1}
321 7 X 273 286 {0, -1}
287 8 X 221 1 {0, -1}
326 7 X 287 300 {0, -1}
354 6 X 321 326 {0, -1}
361 5 X 342 354 {0, -1}
371 4 X 360 361 {0, -1}
50 13 X 15 28 {0, -1}
125 11 X 1 50 {0, -1}
189 10 X 1 125 {0, -1}
264 8 X 189 1 {0, -1}
54 13 X 17 30 {0, -1}
126 11 X 1 54 {0, -1}
211 10 X 126 125 {0, -1}
279 8 X 211 1 {0, -1}
312 7 X 264 279 {0, -1}
345 6 X 312 279 {0, -1}
357 5 X 1 345 {0, -1}
79 12 X 28 1 {0, -1}
129 11 X 1 79 {0, -1}
191 10 X 1 129 {0, -1}
37 14 X 16 18 {0, -1}
74 13 X 37 31 {0, -1}
116 12 X 74 1 {0, -1}
149 11 X 1 116 {0, -1}
201 10 X 1 149 {0, -1}
51 13 X 16 1 {0, -1}
96 12 X 51 1 {0, -1}
172 11 X 96 116 {0, -1}
204 10 X 1 172 {0, -1}
249 9 X 201 204 {0, -1}
267 8 X 191 249 {0, -1}
123 11 X 1 30 {0, -1}
121 11 X 1 28 {0, -1}
210 10 X 123 121 {0, -1}
278 8 X 210 1 {0, -1}
315 7 X 267 278 {0, -1}
94 12 X 50 1 {0, -1}
140 11 X 1 94 {0, -1}
196 10 X 1 140 {0, -1}
49 13 X 15 1 {0, -1}
92 12 X 49 1 {0, -1}
170 11 X 92 94 {0, -1}
203 10 X 1 170 {0, -1}
247 9 X 196 203 {0, -1}
56 13 X 18 31 {0, -1}
104 12 X 56 1 {0, -1}
141 11 X 1 104 {0, -1}
197 10 X 1 141 {0, -1}
55 13 X 18 1 {0, -1}
102 12 X 55 1 {0, -1}
176 11 X 102 104 {0, -1}
205 10 X 1 176 {0, -1}
248 9 X 197 205 {0, -1}
292 8 X 247 248 {0, -1}
251 9 X 211 210 {0, -1}
294 8 X 251 1 {0, -1}
331 7 X 292 294 {0, -1}
348 6 X 315 331 {0, -1}
187 10 X 1 121 {0, -1}
262 8 X 187 1 {0, -1}
310 7 X 262 278 {0, -1}
53 13 X 17 1 {0, -1}
154 11 X 53 54 {0, -1}
153 11 X 49 50 {0, -1}
223 10 X 154 153 {0, -1}
252 9 X 211 223 {0, -1}
295 8 X 252 1 {0, -1}
332 7 X 295 294 {0, -1}
343 6 X 310 332 {0, -1}
363 5 X 348 343 {0, -1}
369 4 X 357 363 {0, -1}
375 3 X 371 369 {0, -1}
271 8 X 197 194 {0, -1}
319 7 X 271 1 {0, -1}
19 15 X 1 14 {0, -1}
39 14 X 18 19 {0, -1}
76 13 X 39 1 {0, -1}
117 12 X 76 1 {0, -1}
182 11 X 117 104 {0, -1}
207 10 X 1 182 {0, -1}
275 8 X 207 208 {0, -1}
323 7 X 275 1 {0, -1}
352 6 X 319 323 {0, -1}
105 12 X 56 43 {0, -1}
