62
wqumla ogojje vtrhnf peihxi yerwim kbsimu ngncig ijqoww gfglxu wmwgpw jdwelw vyjuex
11 7 9 10 4 8 2 5 12 3 1 6
3 13 1 -1 -1 {1}
2 13 0 -1 -1 {0}
9 10 X 2 3 {0, 1}
16 9 X 3 9 {0, 1}
23 8 X 16 3 {0, 1}
46 5 X 23 3 {0, 1}
52 4 X 3 46 {0, 1}
32 7 X 23 3 {0, 1}
47 5 X 32 3 {0, 1}
56 3 X 52 47 {0, 1}
1 13 -1 -1 -1 {-1}
4 12 X 1 3 {1, -1}
12 10 X 4 3 {1, -1}
31 7 X 12 3 {1, -1}
38 6 X 3 31 {1, -1}
50 5 X 38 3 {1, -1}
53 4 X 3 50 {1, -1}
57 3 X 52 53 {0, 1, -1}
60 2 X 56 57 {0, 1, -1}
5 12 X 3 2 {0, 1}
10 10 X 3 2 {0, 1}
22 8 X 5 10 {0, 1}
29 7 X 3 22 {0, 1}
39 6 X 29 3 {0, 1}
44 5 X 3 39 {0, 1}
6 11 X 2 5 {0, 1}
14 10 X 6 3 {0, 1}
18 9 X 3 14 {0, 1}
25 8 X 18 3 {0, 1}
13 10 X 5 3 {0, 1}
17 9 X 3 13 {0, 1}
24 8 X 17 3 {0, 1}
37 7 X 25 24 {0, 1}
34 7 X 24 22 {0, 1}
8 11 X 5 3 {0, 1}
15 10 X 8 3 {0, 1}
19 9 X 3 15 {0, 1}
26 8 X 19 3 {0, 1}
41 6 X 34 26 {0, 1}
49 5 X 37 41 {0, 1}
54 4 X 44 49 {0, 1}
36 7 X 25 3 {0, 1}
7 11 X 3 5 {0, 1}
11 10 X 3 7 {0, 1}
20 9 X 7 11 {0, 1}
21 9 X 10 3 {0, 1}
28 8 X 20 21 {0, 1}
35 7 X 24 28 {0, 1}
33 7 X 24 3 {0, 1}
42 6 X 35 33 {0, 1}
48 5 X 36 42 {0, 1}
58 3 X 54 48 {0, 1}
43 6 X 37 24 {0, 1}
51 5 X 43 41 {0, 1}
55 4 X 44 51 {0, 1}
27 8 X 20 10 {0, 1}
30 7 X 3 27 {0, 1}
40 6 X 30 3 {0, 1}
45 5 X 3 40 {0, 1}
59 3 X 55 45 {0, 1}
61 2 X 58 59 {0, 1}
62 1 X 60 61 {0, 1, -1}
