245
qulmyt cavewi elpzzd vnblea wpeato spetgf hecnxf gdclxa qmgrfn hzetdn btnybk ejwnsf ufhfwa aymcjb wffmyw mgtrxg uqmgez bghirb
11 2 6 16 5 3 9 10 1 4 7 13 14 15 17 8 12 18
3 19 1 -1 -1 {1}
2 19 0 -1 -1 {0}
7 18 X 3 2 {0, 1}
14 16 X 3 7 {0, 1}
27 15 X 14 3 {0, 1}
38 14 X 27 3 {0, 1}
61 13 X 38 3 {0, 1}
107 11 X 61 3 {0, 1}
159 9 X 3 107 {0, 1}
10 17 X 3 7 {0, 1}
18 16 X 10 7 {0, 1}
31 15 X 18 3 {0, 1}
44 14 X 31 3 {0, 1}
72 13 X 44 3 {0, 1}
91 12 X 61 72 {0, 1}
120 11 X 91 3 {0, 1}
155 10 X 120 3 {0, 1}
161 9 X 3 155 {0, 1}
193 8 X 159 161 {0, 1}
201 7 X 3 193 {0, 1}
224 6 X 201 3 {0, 1}
13 16 X 3 2 {0, 1}
26 15 X 13 3 {0, 1}
37 14 X 26 3 {0, 1}
60 13 X 37 3 {0, 1}
106 11 X 60 3 {0, 1}
158 9 X 3 106 {0, 1}
147 10 X 106 3 {0, 1}
160 9 X 3 147 {0, 1}
192 8 X 158 160 {0, 1}
200 7 X 3 192 {0, 1}
223 6 X 200 3 {0, 1}
233 5 X 224 223 {0, 1}
234 4 X 3 233 {0, 1}
6 18 X 2 3 {0, 1}
9 17 X 3 6 {0, 1}
15 16 X 3 9 {0, 1}
23 15 X 3 15 {0, 1}
49 13 X 23 3 {0, 1}
21 15 X 3 9 {0, 1}
47 13 X 21 3 {0, 1}
84 12 X 49 47 {0, 1}
32 14 X 21 3 {0, 1}
56 13 X 32 3 {0, 1}
119 11 X 84 56 {0, 1}
34 14 X 23 3 {0, 1}
80 12 X 34 32 {0, 1}
114 11 X 80 32 {0, 1}
154 10 X 119 114 {0, 1}
153 10 X 119 3 {0, 1}
176 9 X 154 153 {0, 1}
186 8 X 3 176 {0, 1}
198 7 X 3 186 {0, 1}
212 6 X 3 198 {0, 1}
75 12 X 23 3 {0, 1}
74 12 X 21 3 {0, 1}
109 11 X 75 74 {0, 1}
129 10 X 3 109 {0, 1}
76 12 X 23 21 {0, 1}
110 11 X 76 21 {0, 1}
130 10 X 3 110 {0, 1}
48 13 X 21 23 {0, 1}
77 12 X 23 48 {0, 1}
112 11 X 77 3 {0, 1}
148 10 X 112 110 {0, 1}
167 9 X 130 148 {0, 1}
113 11 X 77 48 {0, 1}
150 10 X 113 110 {0, 1}
149 10 X 113 3 {0, 1}
175 9 X 150 149 {0, 1}
195 8 X 167 175 {0, 1}
204 7 X 129 195 {0, 1}
216 6 X 3 204 {0, 1}
230 5 X 212 216 {0, 1}
17 16 X 9 3 {0, 1}
25 15 X 3 17 {0, 1}
73 12 X 3 25 {0, 1}
108 11 X 73 25 {0, 1}
128 10 X 3 108 {0, 1}
118 11 X 84 3 {0, 1}
111 11 X 76 25 {0, 1}
152 10 X 118 111 {0, 1}
166 9 X 128 152 {0, 1}
133 10 X 47 21 {0, 1}
169 9 X 133 47 {0, 1}
194 8 X 166 169 {0, 1}
202 7 X 3 194 {0, 1}
214 6 X 3 202 {0, 1}
45 13 X 15 23 {0, 1}
81 12 X 45 3 {0, 1}
28 15 X 15 9 {0, 1}
54 13 X 28 21 {0, 1}
86 12 X 54 3 {0, 1}
115 11 X 81 86 {0, 1}
131 10 X 3 115 {0, 1}
55 13 X 28 23 {0, 1}
88 12 X 55 3 {0, 1}
137 10 X 88 86 {0, 1}
191 8 X 131 137 {0, 1}
82 12 X 45 21 {0, 1}
87 12 X 54 21 {0, 1}
116 11 X 82 87 {0, 1}
132 10 X 3 116 {0, 1}
83 12 X 45 48 {0, 1}
117 11 X 83 3 {0, 1}
151 10 X 117 116 {0, 1}
168 9 X 132 151 {0, 1}
89 12 X 55 48 {0, 1}
139 10 X 89 87 {0, 1}
53 13 X 28 3 {0, 1}
85 12 X 53 47 {0, 1}
138 10 X 89 85 {0, 1}
172 9 X 139 138 {0, 1}
196 8 X 168 172 {0, 1}
210 7 X 191 196 {0, 1}
222 6 X 3 210 {0, 1}
232 5 X 214 222 {0, 1}
238 4 X 230 232 {0, 1}
242 3 X 234 238 {0, 1}
52 13 X 25 3 {0, 1}
36 14 X 25 3 {0, 1}
59 13 X 36 3 {0, 1}
105 11 X 52 59 {0, 1}
146 10 X 105 36 {0, 1}
145 10 X 105 3 {0, 1}
174 9 X 146 145 {0, 1}
185 8 X 3 174 {0, 1}
197 7 X 3 185 {0, 1}
211 6 X 3 197 {0, 1}
78 12 X 32 3 {0, 1}
125 10 X 3 78 {0, 1}
123 10 X 3 21 {0, 1}
135 10 X 48 21 {0, 1}
134 10 X 48 3 {0, 1}
170 9 X 135 134 {0, 1}
187 8 X 123 170 {0, 1}
203 7 X 125 187 {0, 1}
215 6 X 3 203 {0, 1}
229 5 X 211 215 {0, 1}
124 10 X 3 25 {0, 1}
136 10 X 52 25 {0, 1}
171 9 X 136 52 {0, 1}
188 8 X 124 171 {0, 1}
199 7 X 3 188 {0, 1}
213 6 X 3 199 {0, 1}
39 14 X 28 3 {0, 1}
62 13 X 39 32 {0, 1}
92 12 X 62 3 {0, 1}
126 10 X 3 92 {0, 1}
63 13 X 39 34 {0, 1}
93 12 X 63 3 {0, 1}
140 10 X 93 92 {0, 1}
189 8 X 126 140 {0, 1}
40 14 X 28 21 {0, 1}
65 13 X 40 21 {0, 1}
95 12 X 65 21 {0, 1}
127 10 X 3 95 {0, 1}
66 13 X 40 23 {0, 1}
96 12 X 66 48 {0, 1}
142 10 X 96 95 {0, 1}
64 13 X 40 3 {0, 1}
94 12 X 64 47 {0, 1}
141 10 X 96 94 {0, 1}
173 9 X 142 141 {0, 1}
190 8 X 127 173 {0, 1}
