103
zmukgq ldtsmy kfjtes auttbr reknyb njewfu gkcunh haspbi zqjnhi ijsxsb pythfx pjacqa ridkmc gjtnim
5 4 9 12 14 10 13 7 1 3 8 11 6 2
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
3 14 X 1 2 {0, -1}
5 12 X 1 3 {0, -1}
13 11 X 1 5 {0, -1}
21 10 X 1 13 {0, -1}
35 9 X 21 13 {0, -1}
54 7 X 35 1 {0, -1}
68 6 X 1 54 {0, -1}
82 5 X 1 68 {0, -1}
8 12 X 3 1 {0, -1}
18 10 X 1 8 {0, -1}
32 9 X 18 8 {0, -1}
42 8 X 1 32 {0, -1}
52 7 X 1 42 {0, -1}
4 13 X 1 3 {0, -1}
6 12 X 1 4 {0, -1}
14 11 X 1 6 {0, -1}
22 10 X 1 14 {0, -1}
25 10 X 13 14 {0, -1}
36 9 X 22 25 {0, -1}
12 11 X 1 4 {0, -1}
20 10 X 1 12 {0, -1}
11 11 X 1 3 {0, -1}
24 10 X 11 12 {0, -1}
34 9 X 20 24 {0, -1}
51 8 X 36 34 {0, -1}
67 7 X 51 1 {0, -1}
72 6 X 52 67 {0, -1}
55 7 X 36 1 {0, -1}
69 6 X 1 55 {0, -1}
85 5 X 72 69 {0, -1}
92 4 X 82 85 {0, -1}
19 10 X 1 11 {0, -1}
33 9 X 19 11 {0, -1}
49 8 X 35 33 {0, -1}
65 7 X 49 1 {0, -1}
71 6 X 52 65 {0, -1}
91 4 X 82 71 {0, -1}
99 3 X 92 91 {0, -1}
27 9 X 1 14 {0, -1}
44 8 X 27 1 {0, -1}
57 7 X 44 1 {0, -1}
70 6 X 1 57 {0, -1}
83 5 X 1 70 {0, -1}
93 4 X 83 70 {0, -1}
97 3 X 1 93 {0, -1}
102 2 X 99 97 {0, -1}
81 5 X 1 54 {0, -1}
9 12 X 4 1 {0, -1}
10 12 X 4 3 {0, -1}
17 11 X 9 10 {0, -1}
23 10 X 1 17 {0, -1}
15 11 X 8 3 {0, -1}
37 9 X 23 15 {0, -1}
50 8 X 35 37 {0, -1}
66 7 X 50 42 {0, -1}
80 6 X 66 65 {0, -1}
89 5 X 80 54 {0, -1}
90 4 X 81 89 {0, -1}
31 9 X 13 1 {0, -1}
45 8 X 31 13 {0, -1}
58 7 X 45 1 {0, -1}
53 7 X 13 1 {0, -1}
73 6 X 58 53 {0, -1}
84 5 X 1 73 {0, -1}
46 8 X 31 15 {0, -1}
39 8 X 1 8 {0, -1}
60 7 X 46 39 {0, -1}
43 8 X 13 11 {0, -1}
56 7 X 43 1 {0, -1}
75 6 X 60 56 {0, -1}
94 4 X 84 75 {0, -1}
98 3 X 90 94 {0, -1}
16 11 X 9 3 {0, -1}
26 10 X 16 17 {0, -1}
38 9 X 26 1 {0, -1}
48 8 X 31 38 {0, -1}
28 9 X 8 1 {0, -1}
40 8 X 1 28 {0, -1}
64 7 X 48 40 {0, -1}
79 6 X 64 1 {0, -1}
88 5 X 79 1 {0, -1}
63 7 X 48 1 {0, -1}
30 9 X 11 1 {0, -1}
47 8 X 31 30 {0, -1}
62 7 X 47 1 {0, -1}
78 6 X 63 62 {0, -1}
87 5 X 78 1 {0, -1}
96 4 X 88 87 {0, -1}
7 12 X 2 1 {0, -1}
29 9 X 8 7 {0, -1}
41 8 X 1 29 {0, -1}
61 7 X 46 41 {0, -1}
76 6 X 61 1 {0, -1}
77 6 X 61 53 {0, -1}
86 5 X 76 77 {0, -1}
59 7 X 46 1 {0, -1}
74 6 X 59 56 {0, -1}
95 4 X 86 74 {0, -1}
100 3 X 96 95 {0, -1}
101 2 X 98 100 {0, -1}
103 1 X 102 101 {0, -1}
