162
owzifc rhhxla mxnjvq cggbqv ylgyql fmhzeb secswa sqfetd wfawft xzcfup obwijc kemqev bqcfdw vbeamw rxylgr fbxjpo
11 6 4 5 14 7 8 2 12 16 1 3 13 9 10 15
1 17 -1 -1 -1 {-1}
2 17 0 -1 -1 {0}
3 16 X 1 2 {0, -1}
8 14 X 3 1 {0, -1}
18 13 X 8 1 {0, -1}
34 12 X 18 1 {0, -1}
70 10 X 1 34 {0, -1}
112 8 X 1 70 {0, -1}
74 10 X 18 1 {0, -1}
63 11 X 34 18 {0, -1}
90 10 X 63 1 {0, -1}
104 9 X 74 90 {0, -1}
114 8 X 1 104 {0, -1}
131 7 X 112 114 {0, -1}
52 11 X 18 34 {0, -1}
86 10 X 52 1 {0, -1}
62 11 X 34 1 {0, -1}
89 10 X 62 1 {0, -1}
109 9 X 86 89 {0, -1}
115 8 X 1 109 {0, -1}
127 7 X 1 115 {0, -1}
140 6 X 131 127 {0, -1}
148 5 X 140 1 {0, -1}
73 10 X 1 62 {0, -1}
113 8 X 1 73 {0, -1}
4 16 X 2 1 {0, -1}
5 15 X 1 4 {0, -1}
10 14 X 5 1 {0, -1}
22 13 X 10 1 {0, -1}
44 11 X 1 22 {0, -1}
79 10 X 44 1 {0, -1}
116 8 X 79 104 {0, -1}
132 7 X 113 116 {0, -1}
128 7 X 1 116 {0, -1}
142 6 X 132 128 {0, -1}
150 5 X 142 1 {0, -1}
155 4 X 148 150 {0, -1}
27 12 X 1 18 {0, -1}
56 11 X 27 18 {0, -1}
43 11 X 1 18 {0, -1}
103 9 X 56 43 {0, -1}
102 9 X 52 62 {0, -1}
122 8 X 103 102 {0, -1}
129 7 X 1 122 {0, -1}
141 6 X 131 129 {0, -1}
149 5 X 141 1 {0, -1}
7 15 X 3 2 {0, -1}
12 14 X 7 1 {0, -1}
23 13 X 12 1 {0, -1}
51 11 X 18 23 {0, -1}
85 10 X 51 18 {0, -1}
64 11 X 34 23 {0, -1}
92 10 X 64 18 {0, -1}
108 9 X 85 92 {0, -1}
91 10 X 63 18 {0, -1}
101 9 X 18 91 {0, -1}
124 8 X 108 101 {0, -1}
130 7 X 1 124 {0, -1}
143 6 X 132 130 {0, -1}
151 5 X 143 1 {0, -1}
156 4 X 149 151 {0, -1}
159 3 X 155 156 {0, -1}
160 2 X 1 159 {0, -1}
14 13 X 1 8 {0, -1}
31 12 X 14 1 {0, -1}
46 11 X 1 31 {0, -1}
13 13 X 1 3 {0, -1}
25 12 X 1 13 {0, -1}
54 11 X 25 31 {0, -1}
80 10 X 46 54 {0, -1}
97 9 X 1 80 {0, -1}
49 11 X 14 1 {0, -1}
71 10 X 1 49 {0, -1}
95 9 X 1 71 {0, -1}
119 8 X 97 95 {0, -1}
135 6 X 1 119 {0, -1}
6 15 X 3 1 {0, -1}
11 14 X 6 1 {0, -1}
16 13 X 1 11 {0, -1}
33 12 X 16 1 {0, -1}
47 11 X 1 33 {0, -1}
9 14 X 3 6 {0, -1}
15 13 X 1 9 {0, -1}
50 11 X 15 33 {0, -1}
82 10 X 47 50 {0, -1}
99 9 X 1 82 {0, -1}
120 8 X 97 99 {0, -1}
136 6 X 1 120 {0, -1}
94 9 X 1 46 {0, -1}
32 12 X 15 1 {0, -1}
61 11 X 32 33 {0, -1}
83 10 X 47 61 {0, -1}
100 9 X 1 83 {0, -1}
118 8 X 94 100 {0, -1}
134 6 X 1 118 {0, -1}
145 5 X 136 134 {0, -1}
153 4 X 135 145 {0, -1}
157 3 X 1 153 {0, -1}
39 12 X 22 1 {0, -1}
53 11 X 22 39 {0, -1}
87 10 X 53 1 {0, -1}
77 10 X 39 1 {0, -1}
110 9 X 87 77 {0, -1}
125 8 X 110 1 {0, -1}
144 5 X 125 1 {0, -1}
152 4 X 1 144 {0, -1}
48 11 X 1 34 {0, -1}
17 13 X 3 1 {0, -1}
26 12 X 1 17 {0, -1}
55 11 X 26 34 {0, -1}
84 10 X 48 55 {0, -1}
28 12 X 8 1 {0, -1}
45 11 X 1 28 {0, -1}
107 9 X 84 45 {0, -1}
75 10 X 34 52 {0, -1}
57 11 X 28 1 {0, -1}
105 9 X 75 57 {0, -1}
123 8 X 107 105 {0, -1}
138 6 X 1 123 {0, -1}
60 11 X 31 1 {0, -1}
72 10 X 1 60 {0, -1}
96 9 X 1 72 {0, -1}
117 8 X 94 96 {0, -1}
133 6 X 1 117 {0, -1}
146 5 X 138 133 {0, -1}
41 12 X 23 22 {0, -1}
40 12 X 23 1 {0, -1}
69 11 X 41 40 {0, -1}
35 12 X 18 17 {0, -1}
65 11 X 35 34 {0, -1}
93 10 X 69 65 {0, -1}
24 13 X 12 8 {0, -1}
42 12 X 24 1 {0, -1}
19 13 X 8 3 {0, -1}
37 12 X 19 3 {0, -1}
67 11 X 37 28 {0, -1}
78 10 X 42 67 {0, -1}
111 9 X 93 78 {0, -1}
21 13 X 9 1 {0, -1}
36 12 X 18 21 {0, -1}
66 11 X 36 34 {0, -1}
76 10 X 34 66 {0, -1}
29 12 X 11 1 {0, -1}
58 11 X 28 29 {0, -1}
20 13 X 8 9 {0, -1}
38 12 X 20 9 {0, -1}
68 11 X 38 29 {0, -1}
88 10 X 58 68 {0, -1}
106 9 X 76 88 {0, -1}
126 8 X 111 106 {0, -1}
139 6 X 125 126 {0, -1}
30 12 X 13 1 {0, -1}
59 11 X 30 31 {0, -1}
81 10 X 46 59 {0, -1}
98 9 X 1 81 {0, -1}
121 8 X 98 100 {0, -1}
137 6 X 1 121 {0, -1}
147 5 X 139 137 {0, -1}
154 4 X 146 147 {0, -1}
158 3 X 152 154 {0, -1}
161 2 X 157 158 {0, -1}
162 1 X 160 161 {0, -1}
