70
ocpref megyqg qafrms ekcfqb uqqeke mqdyhy nntpow mkytlw lrsvfq bszobr aaeqcj ziixtf
4 6 10 9 1 12 7 8 2 3 11 5
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
6 11 X 2 1 {0, -1}
11 10 X 6 2 {0, -1}
14 9 X 1 11 {0, -1}
4 11 X 1 2 {0, -1}
8 10 X 1 4 {0, -1}
16 9 X 4 8 {0, -1}
37 7 X 14 16 {0, -1}
49 6 X 37 1 {0, -1}
15 9 X 4 1 {0, -1}
25 8 X 1 15 {0, -1}
35 7 X 1 25 {0, -1}
48 6 X 35 1 {0, -1}
58 5 X 49 48 {0, -1}
12 9 X 1 8 {0, -1}
3 12 X 1 2 {0, -1}
5 11 X 1 3 {0, -1}
9 10 X 1 5 {0, -1}
13 9 X 1 9 {0, -1}
28 8 X 12 13 {0, -1}
19 9 X 5 9 {0, -1}
32 8 X 16 19 {0, -1}
41 7 X 28 32 {0, -1}
45 6 X 16 41 {0, -1}
18 9 X 5 1 {0, -1}
31 8 X 15 18 {0, -1}
36 7 X 1 31 {0, -1}
44 6 X 15 36 {0, -1}
57 5 X 45 44 {0, -1}
62 4 X 58 57 {0, -1}
66 3 X 62 1 {0, -1}
23 8 X 1 5 {0, -1}
33 7 X 1 23 {0, -1}
46 6 X 33 1 {0, -1}
54 5 X 1 46 {0, -1}
10 10 X 5 1 {0, -1}
24 8 X 1 10 {0, -1}
34 7 X 1 24 {0, -1}
47 6 X 33 34 {0, -1}
55 5 X 1 47 {0, -1}
61 4 X 54 55 {0, -1}
65 3 X 61 1 {0, -1}
68 2 X 66 65 {0, -1}
7 10 X 1 2 {0, -1}
20 9 X 7 8 {0, -1}
39 7 X 20 16 {0, -1}
50 6 X 39 1 {0, -1}
21 9 X 7 9 {0, -1}
30 8 X 13 21 {0, -1}
29 8 X 12 16 {0, -1}
42 7 X 30 29 {0, -1}
51 6 X 42 1 {0, -1}
59 5 X 50 51 {0, -1}
17 9 X 4 9 {0, -1}
38 7 X 17 16 {0, -1}
56 5 X 16 38 {0, -1}
63 4 X 59 56 {0, -1}
22 9 X 9 1 {0, -1}
27 8 X 1 22 {0, -1}
26 8 X 1 19 {0, -1}
40 7 X 27 26 {0, -1}
52 5 X 1 40 {0, -1}
60 4 X 52 1 {0, -1}
67 3 X 63 60 {0, -1}
43 6 X 1 33 {0, -1}
53 5 X 1 43 {0, -1}
64 3 X 54 53 {0, -1}
69 2 X 67 64 {0, -1}
70 1 X 68 69 {0, -1}
